Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Maize,2000,2000,2000,22-10-2024
2,Davangere,Maize,2000,2280,2183,17-12-2024
3,Davangere,Maize,2050,2280,2193,26-12-2024
4,Davangere,Maize,2100,2250,2160,07-12-2024
5,Davangere,Maize,2100,2250,2183,04-12-2024
6,Davangere,Maize,2100,2300,2200,26-11-2024
7,Davangere,Maize,2100,2395,2210,16-12-2024
8,Davangere,Maize,2150,2150,2150,16-11-2024
9,Davangere,Maize,2150,2220,2184,01-01-2025
10,Davangere,Maize,2150,2250,2188,18-12-2024
11,Davangere,Maize,2150,2250,2188,31-12-2024
12,Davangere,Maize,2150,2250,2190,09-12-2024
13,Davangere,Maize,2150,2250,2196,30-12-2024
14,Davangere,Maize,2150,2250,2200,20-11-2024
15,Davangere,Maize,2150,2250,2204,10-12-2024
16,Davangere,Maize,2150,2250,2207,19-11-2024
17,Davangere,Maize,2150,2300,2233,27-11-2024
18,Davangere,Maize,2150,2320,2214,28-11-2024
19,Davangere,Maize,2150,2350,2200,02-12-2024
20,Davangere,Maize,2150,2390,2270,06-12-2024
21,Davangere,Maize,2150,2400,2194,19-12-2024
22,Davangere,Maize,2150,2400,2221,23-12-2024
23,Davangere,Maize,2150,2400,2241,13-12-2024
24,Davangere,Maize,2150,2400,2257,21-12-2024
25,Davangere,Maize,2150,2400,2317,05-12-2024
26,Davangere,Maize,2150,2500,2300,03-12-2024
27,Davangere,Maize,2150,2550,2281,12-12-2024
28,Davangere,Maize,2200,2250,2220,20-12-2024
29,Davangere,Maize,2250,2250,2250,14-11-2024
30,Davangere,Maize,2250,2250,2250,15-11-2024
31,Davangere,Maize,2350,2350,2350,21-11-2024
32,Davangere,Maize,1200,2293,2188,26-03-2024
33,Davangere,Maize,1200,2483,2000,10-10-2024
34,Davangere,Maize,1201,2430,2053,04-11-2024
35,Davangere,Maize,1201,2454,2081,15-10-2024
36,Davangere,Maize,1201,2475,2099,14-10-2024
37,Davangere,Maize,1201,2483,2163,29-10-2024
38,Davangere,Maize,1201,2513,1857,07-10-2024
39,Davangere,Maize,1201,2523,2090,28-10-2024
40,Davangere,Maize,1212,2500,2108,30-09-2024
41,Davangere,Maize,1250,2700,2055,07-11-2024
42,Davangere,Maize,1300,2346,2160,15-11-2024
43,Davangere,Maize,1302,2503,2110,05-10-2024
44,Davangere,Maize,1329,2600,2235,28-11-2024
45,Davangere,Maize,1332,2479,2089,08-10-2024
46,Davangere,Maize,1400,2337,2120,20-11-2024
47,Davangere,Maize,1400,2421,2088,30-10-2024
48,Davangere,Maize,1401,2319,2083,08-11-2024
49,Davangere,Maize,1401,2700,2050,09-10-2024
50,Davangere,Maize,1500,2457,2132,22-10-2024
51,Davangere,Maize,1501,2400,2150,11-11-2024
52,Davangere,Maize,1501,2424,2009,19-10-2024
53,Davangere,Maize,1501,2500,2001,04-10-2024
54,Davangere,Maize,1505,2366,2307,09-05-2024
55,Davangere,Maize,1509,2329,2166,12-11-2024
56,Davangere,Maize,1539,2400,2168,14-11-2024
57,Davangere,Maize,1550,2501,2076,25-09-2024
58,Davangere,Maize,1600,2341,2263,25-11-2024
59,Davangere,Maize,1600,2734,2043,19-09-2024
60,Davangere,Maize,1601,2526,2049,20-09-2024
61,Davangere,Maize,1601,2530,2065,24-10-2024
62,Davangere,Maize,1605,2400,2170,13-11-2024
63,Davangere,Maize,1605,2576,2044,23-09-2024
64,Davangere,Maize,1606,2550,2057,24-09-2024
65,Davangere,Maize,1625,2401,2164,23-10-2024
66,Davangere,Maize,1650,2302,2202,29-01-2024
67,Davangere,Maize,1650,3050,2230,17-09-2024
68,Davangere,Maize,1651,3000,2325,21-09-2024
69,Davangere,Maize,1674,2554,2079,27-09-2024
70,Davangere,Maize,1701,2750,2350,18-09-2024
71,Davangere,Maize,1751,2552,2175,26-09-2024
72,Davangere,Maize,1800,2353,2110,19-11-2024
73,Davangere,Maize,1800,2700,2250,05-12-2024
74,Davangere,Maize,1806,2400,2103,16-12-2024
75,Davangere,Maize,1819,2444,2130,18-10-2024
76,Davangere,Maize,1820,2490,2190,03-10-2024
77,Davangere,Maize,1841,2490,2138,01-10-2024
78,Davangere,Maize,1855,2356,2254,18-04-2024
79,Davangere,Maize,1866,2362,2130,31-12-2024
80,Davangere,Maize,1869,2283,2172,04-01-2024
81,Davangere,Maize,1869,2357,2254,09-12-2024
82,Davangere,Maize,1870,2349,2246,04-12-2024
83,Davangere,Maize,1889,2284,2221,03-01-2024
84,Davangere,Maize,1900,2256,2182,01-02-2024
85,Davangere,Maize,1900,2293,2242,20-02-2024
86,Davangere,Maize,1900,2302,2224,07-02-2024
87,Davangere,Maize,1920,2342,2279,02-04-2024
88,Davangere,Maize,1925,2370,2150,01-01-2025
89,Davangere,Maize,1925,2400,2150,30-12-2024
90,Davangere,Maize,1951,2201,2051,12-09-2024
