Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dewas,Maize,1975,2010,2010,14-11-2024
2,Dewas,Maize,2050,2125,2050,07-11-2024
3,Dewas,Maize,2050,2125,2100,08-11-2024
4,Dewas,Maize,2055,2110,2100,18-11-2024
5,Dewas,Maize,2080,2115,2115,20-11-2024
6,Dewas,Maize,1465,2327,2327,26-09-2024
7,Dewas,Maize,1476,2361,2361,01-10-2024
8,Dewas,Maize,1500,2441,2330,14-10-2024
9,Dewas,Maize,1549,2405,2405,15-10-2024
10,Dewas,Maize,1551,1731,1731,30-09-2024
11,Dewas,Maize,1573,2401,2401,23-09-2024
12,Dewas,Maize,1575,1575,1575,06-10-2024
13,Dewas,Maize,1579,2400,2400,03-10-2024
14,Dewas,Maize,1589,2400,2275,22-10-2024
15,Dewas,Maize,1590,2440,2320,21-10-2024
16,Dewas,Maize,1591,1694,1591,21-09-2024
17,Dewas,Maize,1600,1645,1645,17-10-2024
18,Dewas,Maize,1600,2500,1755,09-10-2024
19,Dewas,Maize,1601,2391,2391,24-09-2024
20,Dewas,Maize,1621,2501,2300,23-10-2024
21,Dewas,Maize,1625,2401,2401,04-10-2024
22,Dewas,Maize,1650,1700,1675,19-10-2024
23,Dewas,Maize,1650,2292,2292,05-10-2024
24,Dewas,Maize,1653,2121,2121,20-09-2024
25,Dewas,Maize,1660,2511,2200,28-10-2024
26,Dewas,Maize,1678,2511,2511,10-10-2024
27,Dewas,Maize,1681,1681,1681,15-04-2024
28,Dewas,Maize,1695,2451,1865,07-10-2024
29,Dewas,Maize,1700,2180,2180,16-10-2024
30,Dewas,Maize,1700,2485,2250,25-10-2024
31,Dewas,Maize,1700,2531,1701,08-10-2024
32,Dewas,Maize,1700,3151,2200,04-11-2024
33,Dewas,Maize,1702,2275,2275,20-12-2024
34,Dewas,Maize,1726,2214,2099,05-11-2024
35,Dewas,Maize,1729,2324,2286,26-11-2024
36,Dewas,Maize,1751,2641,2265,03-12-2024
37,Dewas,Maize,1800,1830,1830,20-10-2024
38,Dewas,Maize,1800,2300,2200,31-12-2024
39,Dewas,Maize,1805,1805,1805,05-04-2024
40,Dewas,Maize,1811,2290,2290,05-12-2024
41,Dewas,Maize,1834,2360,2271,27-11-2024
