Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,Maize,1500,1800,1800,13-08-2024
2,Dharmapuri,Maize,1500,1800,1800,19-08-2024
3,Dharmapuri,Maize,1500,1800,1800,26-08-2024
4,Dharmapuri,Maize,1500,1800,1800,27-08-2024
5,Dharmapuri,Maize,1500,2000,2000,01-10-2024
6,Dharmapuri,Maize,1500,2000,2000,09-12-2024
7,Dharmapuri,Maize,1500,2000,2000,10-12-2024
8,Dharmapuri,Maize,1500,2000,2000,11-11-2024
9,Dharmapuri,Maize,1500,2000,2000,12-08-2024
10,Dharmapuri,Maize,1500,2000,2000,16-09-2024
11,Dharmapuri,Maize,1500,2000,2000,17-09-2024
12,Dharmapuri,Maize,1500,2000,2000,18-11-2024
13,Dharmapuri,Maize,1500,2000,2000,21-10-2024
14,Dharmapuri,Maize,1500,2000,2000,22-10-2024
15,Dharmapuri,Maize,1500,2000,2000,23-09-2024
16,Dharmapuri,Maize,1500,2000,2000,24-09-2024
17,Dharmapuri,Maize,1500,2000,2000,28-10-2024
18,Dharmapuri,Maize,1600,1800,1800,14-08-2024
19,Dharmapuri,Maize,1600,1800,1800,22-08-2024
20,Dharmapuri,Maize,1600,1800,1800,24-08-2024
21,Dharmapuri,Maize,1600,2000,2000,25-08-2024
22,Dharmapuri,Maize,1800,2000,2000,02-08-2024
23,Dharmapuri,Maize,1800,2000,2000,02-10-2024
24,Dharmapuri,Maize,1800,2000,2000,03-11-2024
25,Dharmapuri,Maize,1800,2000,2000,03-10-2024
26,Dharmapuri,Maize,1800,2000,2000,04-08-2024
27,Dharmapuri,Maize,1800,2000,2000,05-10-2024
28,Dharmapuri,Maize,1800,2000,2000,06-11-2024
29,Dharmapuri,Maize,1800,2000,2000,07-08-2024
30,Dharmapuri,Maize,1800,2000,2000,07-11-2024
31,Dharmapuri,Maize,1800,2000,2000,08-12-2024
32,Dharmapuri,Maize,1800,2000,2000,08-11-2024
33,Dharmapuri,Maize,1800,2000,2000,09-08-2024
34,Dharmapuri,Maize,1800,2000,2000,09-11-2024
35,Dharmapuri,Maize,1800,2000,2000,10-08-2024
36,Dharmapuri,Maize,1800,2000,2000,10-11-2024
37,Dharmapuri,Maize,1800,2000,2000,11-08-2024
38,Dharmapuri,Maize,1800,2000,2000,11-12-2024
39,Dharmapuri,Maize,1800,2000,2000,11-09-2024
40,Dharmapuri,Maize,1800,2000,2000,12-12-2024
41,Dharmapuri,Maize,1800,2000,2000,12-09-2024
42,Dharmapuri,Maize,1800,2000,2000,13-11-2024
43,Dharmapuri,Maize,1800,2000,2000,13-09-2024
44,Dharmapuri,Maize,1800,2000,2000,14-12-2024
45,Dharmapuri,Maize,1800,2000,2000,14-11-2024
46,Dharmapuri,Maize,1800,2000,2000,14-09-2024
47,Dharmapuri,Maize,1800,2000,2000,15-08-2024
48,Dharmapuri,Maize,1800,2000,2000,15-11-2024
49,Dharmapuri,Maize,1800,2000,2000,15-09-2024
50,Dharmapuri,Maize,1800,2000,2000,16-11-2024
51,Dharmapuri,Maize,1800,2000,2000,17-11-2024
52,Dharmapuri,Maize,1800,2000,2000,18-10-2024
53,Dharmapuri,Maize,1800,2000,2000,18-09-2024
54,Dharmapuri,Maize,1800,2000,2000,19-10-2024
55,Dharmapuri,Maize,1800,2000,2000,19-09-2024
56,Dharmapuri,Maize,1800,2000,2000,20-11-2024
57,Dharmapuri,Maize,1800,2000,2000,20-10-2024
58,Dharmapuri,Maize,1800,2000,2000,21-09-2024
59,Dharmapuri,Maize,1800,2000,2000,22-09-2024
60,Dharmapuri,Maize,1800,2000,2000,23-08-2024
61,Dharmapuri,Maize,1800,2000,2000,23-11-2024
62,Dharmapuri,Maize,1800,2000,2000,25-09-2024
63,Dharmapuri,Maize,1800,2000,2000,26-10-2024
64,Dharmapuri,Maize,1800,2000,2000,26-09-2024
65,Dharmapuri,Maize,1800,2000,2000,27-07-2024
66,Dharmapuri,Maize,1800,2000,2000,27-10-2024
67,Dharmapuri,Maize,1800,2000,2000,27-09-2024
68,Dharmapuri,Maize,1800,2000,2000,28-09-2024
69,Dharmapuri,Maize,1800,2000,2000,29-07-2024
70,Dharmapuri,Maize,2000,2400,2400,05-11-2024
71,Dharmapuri,Maize,2400,2600,2600,06-10-2024
72,Dharmapuri,Maize,2400,2600,2600,07-10-2024
73,Dharmapuri,Maize,2400,2600,2600,17-10-2024
74,Dharmapuri,Maize,2400,2600,2600,23-12-2024
75,Dharmapuri,Maize,2600,3000,3000,01-08-2024
76,Dharmapuri,Maize,1800,2000,2000,01-08-2024
77,Dharmapuri,Maize,1800,2000,2000,03-10-2024
78,Dharmapuri,Maize,1800,2000,2000,03-09-2024
79,Dharmapuri,Maize,1800,2000,2000,04-10-2024
80,Dharmapuri,Maize,1800,2000,2000,05-10-2024
81,Dharmapuri,Maize,1800,2000,2000,06-10-2024
82,Dharmapuri,Maize,1800,2000,2000,08-10-2024
83,Dharmapuri,Maize,1800,2000,2000,09-10-2024
84,Dharmapuri,Maize,1800,2000,2000,16-08-2024
85,Dharmapuri,Maize,1800,2000,2000,28-10-2024
86,Dharmapuri,Maize,1800,2000,2000,30-10-2024
87,Dharmapuri,Maize,1800,2000,2000,31-07-2024
88,Dharmapuri,Maize,2000,2200,2200,03-11-2024
89,Dharmapuri,Maize,2000,2200,2200,13-08-2024
90,Dharmapuri,Maize,2000,2200,2200,30-07-2024
91,Dharmapuri,Maize,2000,2300,2300,05-11-2024
92,Dharmapuri,Maize,2000,2500,2500,11-10-2024
93,Dharmapuri,Maize,2200,2500,2500,01-01-2025
94,Dharmapuri,Maize,2200,2500,2500,12-12-2024
95,Dharmapuri,Maize,2200,2500,2500,14-08-2024
96,Dharmapuri,Maize,2200,2500,2500,15-08-2024
97,Dharmapuri,Maize,2200,2500,2500,25-12-2024
98,Dharmapuri,Maize,2200,2500,2500,26-12-2024
99,Dharmapuri,Maize,2300,2500,2500,31-12-2024
100,Dharmapuri,Maize,2300,2600,2600,02-10-2024
101,Dharmapuri,Maize,2400,2600,2600,20-11-2024
102,Dharmapuri,Maize,2400,2600,2600,28-08-2024
103,Dharmapuri,Maize,2500,2800,2800,27-10-2024
104,Dharmapuri,Maize,2700,3000,3000,17-12-2024
105,Dharmapuri,Maize,2800,3000,3000,28-12-2024
106,Dharmapuri,Maize,2000,2500,2500,11-09-2024
107,Dharmapuri,Maize,2200,2500,2500,23-08-2024
108,Dharmapuri,Maize,2300,2500,2500,01-08-2024
109,Dharmapuri,Maize,2300,2500,2500,02-08-2024
110,Dharmapuri,Maize,2300,2500,2500,13-08-2024
111,Dharmapuri,Maize,2300,2500,2500,14-08-2024
112,Dharmapuri,Maize,2300,2500,2500,25-09-2024
113,Dharmapuri,Maize,2300,2500,2500,27-10-2024
114,Dharmapuri,Maize,2400,2500,2500,09-09-2024
115,Dharmapuri,Maize,1700,2000,2000,15-08-2024
116,Dharmapuri,Maize,1800,2000,2000,01-08-2024
117,Dharmapuri,Maize,1800,2000,2000,01-01-2025
118,Dharmapuri,Maize,1800,2000,2000,01-11-2024
119,Dharmapuri,Maize,1800,2000,2000,01-10-2024
120,Dharmapuri,Maize,1800,2000,2000,01-09-2024
121,Dharmapuri,Maize,1800,2000,2000,02-08-2024
122,Dharmapuri,Maize,1800,2000,2000,02-12-2024
123,Dharmapuri,Maize,1800,2000,2000,02-10-2024
124,Dharmapuri,Maize,1800,2000,2000,02-09-2024
125,Dharmapuri,Maize,1800,2000,2000,03-08-2024
126,Dharmapuri,Maize,1800,2000,2000,03-12-2024
127,Dharmapuri,Maize,1800,2000,2000,03-11-2024
128,Dharmapuri,Maize,1800,2000,2000,03-10-2024
