Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Fatehabad,Maize,1470,2168,1470,21-08-2024
2,Fatehabad,Maize,1629,2150,2000,28-06-2024
3,Fatehabad,Maize,1851,2197,2197,02-07-2024
4,Fatehabad,Maize,1865,2171,2130,04-07-2024
5,Fatehabad,Maize,1881,2111,1900,09-07-2024
6,Fatehabad,Maize,1980,2165,2165,07-07-2024
7,Fatehabad,Maize,1985,2160,1985,03-07-2024
8,Fatehabad,Maize,2040,2040,2040,05-07-2024
9,Fatehabad,Maize,2075,2075,2075,24-07-2024
10,Fatehabad,Maize,2095,2225,2103,22-08-2024
11,Fatehabad,Maize,2096,2196,2096,02-08-2024
12,Fatehabad,Maize,2100,2100,2100,13-08-2024
13,Fatehabad,Maize,2195,2195,2195,01-07-2024
14,Fatehabad,Maize,2196,2196,2196,03-08-2024
15,Fatehabad,Maize,2216,2216,2216,16-07-2024
16,Fatehabad,Maize,2250,2250,2250,30-06-2024
