Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Gariyaband,Maize,1700,1800,1700,31-03-2024
2,Gariyaband,Maize,2000,2000,2000,05-12-2024
3,Gariyaband,Maize,2000,2000,2000,11-12-2024
4,Gariyaband,Maize,2000,2000,2000,19-12-2024
5,Gariyaband,Maize,2000,2000,2000,01-12-2024
6,Gariyaband,Maize,2000,2000,2000,23-11-2024
7,Gariyaband,Maize,2000,2475,2000,27-11-2024
8,Gariyaband,Maize,1700,1700,1700,04-07-2024
9,Gariyaband,Maize,1700,1700,1700,04-09-2024
10,Gariyaband,Maize,1700,1700,1700,05-09-2024
11,Gariyaband,Maize,1700,1700,1700,17-09-2024
12,Gariyaband,Maize,1700,1700,1700,21-09-2024
13,Gariyaband,Maize,1700,1700,1700,24-04-2024
14,Gariyaband,Maize,1700,1700,1700,28-08-2024
15,Gariyaband,Maize,1700,1700,1700,30-06-2024
16,Gariyaband,Maize,1800,1800,1800,03-01-2024
17,Gariyaband,Maize,1800,1800,1800,05-01-2024
18,Gariyaband,Maize,1800,1800,1800,06-01-2024
19,Gariyaband,Maize,1800,1800,1800,08-01-2024
20,Gariyaband,Maize,1800,1800,1800,09-01-2024
21,Gariyaband,Maize,1800,1800,1800,11-01-2024
22,Gariyaband,Maize,1800,1800,1800,12-01-2024
23,Gariyaband,Maize,1800,1800,1800,12-09-2024
24,Gariyaband,Maize,1800,1800,1800,13-09-2024
25,Gariyaband,Maize,1800,1800,1800,14-02-2024
26,Gariyaband,Maize,1800,1800,1800,15-01-2024
27,Gariyaband,Maize,1800,1800,1800,15-10-2024
28,Gariyaband,Maize,1800,1800,1800,16-09-2024
29,Gariyaband,Maize,1800,1800,1800,17-01-2024
30,Gariyaband,Maize,1800,1800,1800,17-10-2024
31,Gariyaband,Maize,1800,1800,1800,19-01-2024
32,Gariyaband,Maize,1800,1800,1800,20-10-2024
33,Gariyaband,Maize,1800,1800,1800,21-02-2024
34,Gariyaband,Maize,1800,1800,1800,22-02-2024
35,Gariyaband,Maize,1800,1800,1800,22-01-2024
36,Gariyaband,Maize,1800,1800,1800,23-01-2024
