Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolar,Maize,2000,2200,2100,15-11-2024
2,Kolar,Maize,2000,2300,2200,23-12-2024
3,Kolar,Maize,2000,2500,2300,04-06-2024
4,Kolar,Maize,2000,2500,2300,04-10-2024
5,Kolar,Maize,2000,2500,2300,06-12-2024
6,Kolar,Maize,2000,2500,2300,07-12-2024
7,Kolar,Maize,2000,2500,2300,10-06-2024
8,Kolar,Maize,2000,2500,2300,14-05-2024
9,Kolar,Maize,2000,2600,2400,19-06-2024
10,Kolar,Maize,2200,2500,2400,20-11-2024
11,Kolar,Maize,2200,2500,2400,25-11-2024
12,Kolar,Maize,2200,2500,2400,26-11-2024
13,Kolar,Maize,2200,2600,2400,15-10-2024
14,Kolar,Maize,2200,2700,2500,24-10-2024
15,Kolar,Maize,2200,2700,2500,25-06-2024
16,Kolar,Maize,2500,2700,2600,02-07-2024
17,Kolar,Maize,2500,2700,2600,08-11-2024
18,Kolar,Maize,2500,2700,2600,21-09-2024
19,Kolar,Maize,2500,2700,2600,28-10-2024
20,Kolar,Maize,2500,2700,2600,29-10-2024
21,Kolar,Maize,2500,2800,2700,06-08-2024
22,Kolar,Maize,2500,2800,2700,10-07-2024
23,Kolar,Maize,2500,2800,2700,20-09-2024
24,Kolar,Maize,2500,2800,2700,22-07-2024
25,Kolar,Maize,2500,3000,2800,19-07-2024
26,Kolar,Maize,2500,3000,2800,23-07-2024
27,Kolar,Maize,2500,3000,2800,25-07-2024
28,Kolar,Maize,2500,3000,2800,30-07-2024
29,Kolar,Maize,2600,3000,2800,16-11-2024
30,Kolar,Maize,2700,3000,2800,23-09-2024
31,Kolar,Maize,2700,3000,2900,11-09-2024
32,Kolar,Maize,2700,3000,2900,24-09-2024
33,Kolar,Maize,2700,3100,2900,12-09-2024
34,Kolar,Maize,2700,3200,2900,13-09-2024
35,Kolar,Maize,2800,3000,2900,05-10-2024
36,Kolar,Maize,2800,3000,2900,13-11-2024
37,Kolar,Maize,2800,3200,3000,01-08-2024
38,Kolar,Maize,1400,1500,1450,10-11-2024
39,Kolar,Maize,1200,1400,1300,12-11-2024
40,Kolar,Maize,1200,1400,1300,15-11-2024
41,Kolar,Maize,1300,1500,1400,13-11-2024
42,Kolar,Maize,1300,2100,1500,11-07-2024
43,Kolar,Maize,1800,2000,1900,29-02-2024
44,Kolar,Maize,2100,2900,2300,04-07-2024
45,Kolar,Maize,2200,2400,2300,23-05-2024
46,Kolar,Maize,1900,2300,2000,15-05-2024
47,Kolar,Maize,2000,2200,2100,21-03-2024
48,Kolar,Maize,1500,2000,1800,14-02-2024
49,Kolar,Maize,1500,3000,2900,03-08-2024
50,Kolar,Maize,1800,2100,2000,19-04-2024
51,Kolar,Maize,1800,2200,2000,31-01-2024
52,Kolar,Maize,1800,2500,2200,13-05-2024
53,Kolar,Maize,1800,2500,2200,28-03-2024
54,Kolar,Maize,1800,2600,2200,31-05-2024
55,Kolar,Maize,1900,3000,2460,22-06-2024
56,Kolar,Maize,2000,2400,2200,04-10-2024
57,Kolar,Maize,2000,2500,2250,12-11-2024
58,Kolar,Maize,2000,3000,2500,07-02-2024
59,Kolar,Maize,2000,3000,2500,13-09-2024
60,Kolar,Maize,2100,2500,2300,16-12-2024
61,Kolar,Maize,2200,2400,2300,18-12-2024
62,Kolar,Maize,2200,2400,2300,19-12-2024
63,Kolar,Maize,2200,2400,2300,31-12-2024
64,Kolar,Maize,2200,2800,2500,08-11-2024
65,Kolar,Maize,2200,2800,2500,25-09-2024
66,Kolar,Maize,2300,2500,2400,23-12-2024
67,Kolar,Maize,2300,3000,2500,30-09-2024
68,Kolar,Maize,2500,3000,2700,11-09-2024
69,Kolar,Maize,2700,3500,3100,21-09-2024
70,Kolar,Maize,2000,2200,2057,19-09-2024
71,Kolar,Maize,2100,2400,2200,05-08-2024
72,Kolar,Maize,2200,3100,3000,18-09-2024
73,Kolar,Maize,1800,2200,2000,20-12-2024
74,Kolar,Maize,2300,2800,2525,11-06-2024
75,Kolar,Maize,2400,2800,2604,20-03-2024
76,Kolar,Maize,2500,2900,2777,07-10-2024
