Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koraput,Maize,2090,2120,2100,13-05-2024
2,Koraput,Maize,2090,2120,2100,29-04-2024
3,Koraput,Maize,2090,2130,2120,04-05-2024
4,Koraput,Maize,2090,2150,2100,28-05-2024
5,Koraput,Maize,2100,2200,2150,12-01-2024
6,Koraput,Maize,2100,2200,2150,12-07-2024
7,Koraput,Maize,2100,2200,2150,16-02-2024
8,Koraput,Maize,2100,2200,2150,16-06-2024
9,Koraput,Maize,2100,2200,2150,19-03-2024
10,Koraput,Maize,2100,2200,2150,23-02-2024
11,Koraput,Maize,2100,2200,2150,31-01-2024
12,Koraput,Maize,2225,2235,2230,01-01-2025
13,Koraput,Maize,2225,2235,2230,02-12-2024
14,Koraput,Maize,2225,2235,2230,23-12-2024
15,Koraput,Maize,2225,2235,2230,26-12-2024
16,Koraput,Maize,2225,2235,2230,27-11-2024
17,Koraput,Maize,2225,2235,2230,28-12-2024
18,Koraput,Maize,2225,2235,2230,31-12-2024
19,Koraput,Maize,2225,2240,2230,28-11-2024
20,Koraput,Maize,2100,2150,2125,02-03-2024
21,Koraput,Maize,2100,2200,2150,03-03-2024
22,Koraput,Maize,2100,2200,2150,12-01-2024
23,Koraput,Maize,2100,2200,2150,19-01-2024
24,Koraput,Maize,2100,2200,2150,20-03-2024
25,Koraput,Maize,2100,2200,2150,30-01-2024
26,Koraput,Maize,2100,2200,2150,31-01-2024
27,Koraput,Maize,2225,2235,2230,01-01-2025
28,Koraput,Maize,2225,2235,2230,13-11-2024
29,Koraput,Maize,2225,2235,2230,19-12-2024
30,Koraput,Maize,2225,2235,2230,20-12-2024
31,Koraput,Maize,2225,2235,2230,28-12-2024
32,Koraput,Maize,2225,2235,2230,30-12-2024
33,Koraput,Maize,2230,2240,2235,13-12-2024
