Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koria,Maize,2100,2100,2100,08-11-2024
2,Koria,Maize,2100,2100,2100,19-11-2024
3,Koria,Maize,2100,2100,2100,20-11-2024
4,Koria,Maize,2100,2100,2100,21-11-2024
5,Koria,Maize,2100,2100,2100,24-11-2024
6,Koria,Maize,2100,2100,2100,25-10-2024
7,Koria,Maize,2100,2100,2100,27-11-2024
8,Koria,Maize,2300,2300,2300,23-12-2024
9,Koria,Maize,2300,2300,2300,25-11-2024
10,Koria,Maize,2300,2300,2300,28-12-2024
11,Koria,Maize,2300,2300,2300,31-12-2024
12,Koria,Maize,2100,2100,2100,02-09-2024
13,Koria,Maize,2100,2100,2100,03-10-2024
14,Koria,Maize,2100,2100,2100,04-03-2024
15,Koria,Maize,2100,2100,2100,04-09-2024
16,Koria,Maize,2100,2100,2100,05-10-2024
17,Koria,Maize,2100,2100,2100,06-02-2024
18,Koria,Maize,2100,2100,2100,07-02-2024
19,Koria,Maize,2100,2100,2100,08-02-2024
20,Koria,Maize,2100,2100,2100,08-06-2024
21,Koria,Maize,2100,2100,2100,09-02-2024
22,Koria,Maize,2100,2100,2100,10-05-2024
23,Koria,Maize,2100,2100,2100,10-10-2024
24,Koria,Maize,2100,2100,2100,11-01-2024
25,Koria,Maize,2100,2100,2100,11-06-2024
26,Koria,Maize,2100,2100,2100,11-09-2024
27,Koria,Maize,2100,2100,2100,12-02-2024
28,Koria,Maize,2100,2100,2100,12-03-2024
29,Koria,Maize,2100,2100,2100,12-09-2024
30,Koria,Maize,2100,2100,2100,13-03-2024
31,Koria,Maize,2100,2100,2100,14-02-2024
32,Koria,Maize,2100,2100,2100,15-04-2024
33,Koria,Maize,2100,2100,2100,16-01-2024
34,Koria,Maize,2100,2100,2100,16-05-2024
35,Koria,Maize,2100,2100,2100,17-08-2024
36,Koria,Maize,2100,2100,2100,17-01-2024
37,Koria,Maize,2100,2100,2100,17-09-2024
38,Koria,Maize,2100,2100,2100,18-04-2024
39,Koria,Maize,2100,2100,2100,18-08-2024
40,Koria,Maize,2100,2100,2100,18-01-2024
41,Koria,Maize,2100,2100,2100,18-07-2024
42,Koria,Maize,2100,2100,2100,18-03-2024
43,Koria,Maize,2100,2100,2100,18-10-2024
44,Koria,Maize,2100,2100,2100,18-09-2024
45,Koria,Maize,2100,2100,2100,19-10-2024
46,Koria,Maize,2100,2100,2100,19-09-2024
47,Koria,Maize,2100,2100,2100,21-08-2024
48,Koria,Maize,2100,2100,2100,21-10-2024
49,Koria,Maize,2100,2100,2100,21-09-2024
50,Koria,Maize,2100,2100,2100,22-04-2024
51,Koria,Maize,2100,2100,2100,22-08-2024
52,Koria,Maize,2100,2100,2100,22-07-2024
53,Koria,Maize,2100,2100,2100,22-10-2024
54,Koria,Maize,2100,2100,2100,23-08-2024
55,Koria,Maize,2100,2100,2100,23-02-2024
56,Koria,Maize,2100,2100,2100,23-07-2024
57,Koria,Maize,2100,2100,2100,23-05-2024
58,Koria,Maize,2100,2100,2100,23-10-2024
59,Koria,Maize,2100,2100,2100,24-04-2024
60,Koria,Maize,2100,2100,2100,24-07-2024
61,Koria,Maize,2100,2100,2100,24-06-2024
62,Koria,Maize,2100,2100,2100,24-09-2024
63,Koria,Maize,2100,2100,2100,25-04-2024
64,Koria,Maize,2100,2100,2100,25-06-2024
65,Koria,Maize,2100,2100,2100,25-05-2024
66,Koria,Maize,2100,2100,2100,25-09-2024
67,Koria,Maize,2100,2100,2100,26-07-2024
68,Koria,Maize,2100,2100,2100,26-06-2024
69,Koria,Maize,2100,2100,2100,26-09-2024
70,Koria,Maize,2100,2100,2100,27-08-2024
71,Koria,Maize,2100,2100,2100,27-02-2024
72,Koria,Maize,2100,2100,2100,27-06-2024
73,Koria,Maize,2100,2100,2100,27-05-2024
74,Koria,Maize,2100,2100,2100,28-08-2024
75,Koria,Maize,2100,2100,2100,28-02-2024
76,Koria,Maize,2100,2100,2100,28-09-2024
77,Koria,Maize,2100,2100,2100,29-08-2024
78,Koria,Maize,2100,2100,2100,29-07-2024
79,Koria,Maize,2100,2100,2100,29-06-2024
80,Koria,Maize,2100,2100,2100,29-03-2024
81,Koria,Maize,2100,2100,2100,29-05-2024
82,Koria,Maize,2100,2100,2100,29-09-2024
83,Koria,Maize,2100,2100,2100,30-04-2024
84,Koria,Maize,2100,2100,2100,30-08-2024
85,Koria,Maize,2100,2100,2100,30-07-2024
86,Koria,Maize,2100,2100,2100,30-03-2024
87,Koria,Maize,2100,2100,2100,30-05-2024
88,Koria,Maize,2100,2100,2100,30-09-2024
89,Koria,Maize,2100,2100,2100,31-08-2024
90,Koria,Maize,2100,2100,2100,31-03-2024
91,Koria,Maize,2100,2100,2100,31-05-2024
92,Koria,Maize,2210,2210,2210,21-03-2024
93,Koria,Maize,2350,2350,2350,19-11-2024
94,Koria,Maize,2350,2350,2350,23-11-2024
95,Koria,Maize,2350,2350,2350,30-11-2024
96,Koria,Maize,2511,2511,2511,24-11-2024
97,Koria,Maize,2750,2750,2750,25-10-2024
98,Koria,Maize,2750,2750,2750,26-11-2024
