Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kota,Maize,1536,1951,1850,30-09-2024
2,Kota,Maize,1551,2400,1900,02-10-2024
3,Kota,Maize,1601,2200,2000,04-10-2024
4,Kota,Maize,1601,2260,2050,16-10-2024
5,Kota,Maize,1611,2401,2000,21-10-2024
6,Kota,Maize,1650,2601,1900,01-10-2024
7,Kota,Maize,1653,2344,2200,28-09-2024
8,Kota,Maize,1661,2396,2100,14-10-2024
9,Kota,Maize,1675,2402,2100,19-10-2024
10,Kota,Maize,1700,2352,2100,11-10-2024
11,Kota,Maize,1700,2451,2100,15-10-2024
12,Kota,Maize,1701,2385,2250,10-04-2024
13,Kota,Maize,1710,2281,2000,18-10-2024
14,Kota,Maize,1750,2351,2000,24-10-2024
15,Kota,Maize,1751,2230,2150,29-04-2024
16,Kota,Maize,1755,2451,2150,09-10-2024
17,Kota,Maize,1785,2641,2100,04-11-2024
18,Kota,Maize,1799,2351,2100,23-10-2024
19,Kota,Maize,1800,2400,2200,27-12-2024
20,Kota,Maize,1800,2422,2200,22-03-2024
21,Kota,Maize,1800,2431,2100,22-10-2024
22,Kota,Maize,1800,2592,2250,30-08-2024
23,Kota,Maize,1810,2375,2150,07-10-2024
24,Kota,Maize,1811,2351,2100,10-10-2024
25,Kota,Maize,1825,2350,2150,08-10-2024
26,Kota,Maize,1850,1850,1850,14-09-2024
27,Kota,Maize,1851,1851,1851,05-10-2024
28,Kota,Maize,1851,2270,2175,04-06-2024
29,Kota,Maize,1872,2570,2350,26-09-2024
30,Kota,Maize,1876,2377,2100,12-11-2024
31,Kota,Maize,1900,2251,2150,23-03-2024
32,Kota,Maize,1901,2233,2150,01-02-2024
33,Kota,Maize,1901,2278,2100,11-03-2024
34,Kota,Maize,1908,2390,2100,26-10-2024
35,Kota,Maize,1911,2301,2150,20-03-2024
36,Kota,Maize,1941,2465,2250,16-03-2024
37,Kota,Maize,1951,2277,2050,16-02-2024
38,Kota,Maize,1953,2251,2150,28-03-2024
39,Kota,Maize,1962,2026,2000,23-05-2024
40,Kota,Maize,1971,2341,2200,12-12-2024
41,Kota,Maize,1975,2076,2025,21-05-2024
42,Kota,Maize,1981,2221,2100,27-01-2024
43,Kota,Maize,1985,2271,2150,24-01-2024
44,Kota,Maize,1999,2215,2100,07-02-2024
45,Kota,Maize,2000,2150,2100,06-02-2024
46,Kota,Maize,2000,2212,2150,12-06-2024
47,Kota,Maize,2000,2281,2200,04-07-2024
48,Kota,Maize,2000,2350,2250,05-07-2024
49,Kota,Maize,2000,2351,2200,05-04-2024
50,Kota,Maize,2000,2591,2400,23-09-2024
51,Kota,Maize,2001,2262,2200,21-02-2024
52,Kota,Maize,2001,2499,2275,16-12-2024
53,Kota,Maize,2003,2330,2200,13-11-2024
54,Kota,Maize,2012,2123,2100,03-01-2024
55,Kota,Maize,2021,2351,2200,28-10-2024
56,Kota,Maize,2021,2425,2100,25-10-2024
57,Kota,Maize,2025,2177,2100,18-05-2024
58,Kota,Maize,2031,2365,2175,01-01-2024
59,Kota,Maize,2051,2125,2100,24-04-2024
60,Kota,Maize,2051,2196,2150,25-05-2024
61,Kota,Maize,2051,2251,2150,30-05-2024
62,Kota,Maize,2051,2316,2250,14-12-2024
63,Kota,Maize,2051,2341,2250,10-12-2024
64,Kota,Maize,2051,2343,2200,30-04-2024
65,Kota,Maize,2051,2465,2250,07-11-2024
66,Kota,Maize,2051,2512,2300,10-08-2024
67,Kota,Maize,2053,2251,2200,15-05-2024
68,Kota,Maize,2060,2143,2100,04-01-2024
69,Kota,Maize,2061,2132,2100,05-01-2024
70,Kota,Maize,2062,2200,2150,02-05-2024
71,Kota,Maize,2075,2241,2200,20-05-2024
72,Kota,Maize,2075,2251,2200,29-03-2024
73,Kota,Maize,2075,2299,2175,24-06-2024
74,Kota,Maize,2077,2400,2250,10-07-2024
75,Kota,Maize,2080,2181,2140,06-01-2024
76,Kota,Maize,2080,2245,2145,16-01-2024
77,Kota,Maize,2081,2151,2100,08-01-2024
78,Kota,Maize,2081,2300,2200,28-05-2024
79,Kota,Maize,2090,2341,2120,07-05-2024
80,Kota,Maize,2093,2279,2200,29-02-2024
81,Kota,Maize,2099,2200,2150,03-02-2024
82,Kota,Maize,2099,2241,2140,23-04-2024
83,Kota,Maize,2100,2100,2100,03-08-2024
84,Kota,Maize,2100,2100,2100,05-08-2024
85,Kota,Maize,2100,2200,2180,13-02-2024
