Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Maize,1500,2200,1850,06-12-2024
2,Latur,Maize,2000,2000,2000,23-10-2024
3,Latur,Maize,2200,2200,2200,05-06-2024
4,Latur,Maize,2200,2200,2200,06-05-2024
5,Latur,Maize,2200,2200,2200,08-06-2024
6,Latur,Maize,2200,2200,2200,21-12-2024
7,Latur,Maize,2201,2201,2201,05-12-2024
8,Latur,Maize,2260,2260,2260,06-07-2024
9,Latur,Maize,2300,2300,2300,19-11-2024
10,Latur,Maize,2311,2311,2311,22-08-2024
11,Latur,Maize,2466,2466,2466,13-09-2024
12,Latur,Maize,2521,2521,2521,25-11-2024
13,Latur,Maize,2000,2000,2000,17-11-2024
14,Latur,Maize,2001,2001,2001,12-12-2024
15,Latur,Maize,2300,2300,2300,02-05-2024
