Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Madurai,Maize,1600,2400,2400,01-08-2024
2,Madurai,Maize,1600,2400,2400,01-01-2025
3,Madurai,Maize,1600,2400,2400,01-11-2024
4,Madurai,Maize,1600,2400,2400,01-09-2024
5,Madurai,Maize,1600,2400,2400,02-11-2024
6,Madurai,Maize,1600,2400,2400,02-10-2024
7,Madurai,Maize,1600,2400,2400,03-08-2024
8,Madurai,Maize,1600,2400,2400,03-11-2024
9,Madurai,Maize,1600,2400,2400,03-10-2024
10,Madurai,Maize,1600,2400,2400,04-08-2024
11,Madurai,Maize,1600,2400,2400,04-12-2024
12,Madurai,Maize,1600,2400,2400,04-10-2024
13,Madurai,Maize,1600,2400,2400,04-09-2024
14,Madurai,Maize,1600,2400,2400,05-12-2024
15,Madurai,Maize,1600,2400,2400,05-10-2024
16,Madurai,Maize,1600,2400,2400,05-09-2024
17,Madurai,Maize,1600,2400,2400,06-12-2024
18,Madurai,Maize,1600,2400,2400,06-11-2024
19,Madurai,Maize,1600,2400,2400,06-10-2024
20,Madurai,Maize,1600,2400,2400,06-09-2024
21,Madurai,Maize,1600,2400,2400,07-08-2024
22,Madurai,Maize,1600,2400,2400,07-12-2024
23,Madurai,Maize,1600,2400,2400,07-11-2024
24,Madurai,Maize,1600,2400,2400,07-09-2024
25,Madurai,Maize,1600,2400,2400,08-08-2024
26,Madurai,Maize,1600,2400,2400,08-12-2024
27,Madurai,Maize,1600,2400,2400,08-11-2024
28,Madurai,Maize,1600,2400,2400,08-09-2024
29,Madurai,Maize,1600,2400,2400,09-08-2024
30,Madurai,Maize,1600,2400,2400,09-11-2024
31,Madurai,Maize,1600,2400,2400,09-10-2024
32,Madurai,Maize,1600,2400,2400,10-08-2024
33,Madurai,Maize,1600,2400,2400,10-11-2024
34,Madurai,Maize,1600,2400,2400,10-10-2024
35,Madurai,Maize,1600,2400,2400,11-08-2024
36,Madurai,Maize,1600,2400,2400,11-12-2024
37,Madurai,Maize,1600,2400,2400,11-11-2024
38,Madurai,Maize,1600,2400,2400,11-10-2024
39,Madurai,Maize,1600,2400,2400,11-09-2024
40,Madurai,Maize,1600,2400,2400,12-10-2024
41,Madurai,Maize,1600,2400,2400,12-09-2024
42,Madurai,Maize,1600,2400,2400,13-08-2024
43,Madurai,Maize,1600,2400,2400,13-12-2024
44,Madurai,Maize,1600,2400,2400,13-10-2024
45,Madurai,Maize,1600,2400,2400,13-09-2024
46,Madurai,Maize,1600,2400,2400,14-08-2024
47,Madurai,Maize,1600,2400,2400,14-12-2024
48,Madurai,Maize,1600,2400,2400,14-11-2024
49,Madurai,Maize,1600,2400,2400,14-09-2024
50,Madurai,Maize,1600,2400,2400,15-08-2024
51,Madurai,Maize,1600,2400,2400,15-12-2024
52,Madurai,Maize,1600,2400,2400,15-11-2024
53,Madurai,Maize,1600,2400,2400,15-09-2024
54,Madurai,Maize,1600,2400,2400,16-08-2024
55,Madurai,Maize,1600,2400,2400,16-11-2024
56,Madurai,Maize,1600,2400,2400,16-10-2024
57,Madurai,Maize,1600,2400,2400,17-08-2024
58,Madurai,Maize,1600,2400,2400,17-07-2024
59,Madurai,Maize,1600,2400,2400,17-11-2024
60,Madurai,Maize,1600,2400,2400,17-10-2024
61,Madurai,Maize,1600,2400,2400,18-08-2024
62,Madurai,Maize,1600,2400,2400,18-12-2024
63,Madurai,Maize,1600,2400,2400,18-07-2024
64,Madurai,Maize,1600,2400,2400,18-09-2024
65,Madurai,Maize,1600,2400,2400,19-08-2024
66,Madurai,Maize,1600,2400,2400,19-12-2024
67,Madurai,Maize,1600,2400,2400,19-07-2024
68,Madurai,Maize,1600,2400,2400,19-10-2024
69,Madurai,Maize,1600,2400,2400,19-09-2024
70,Madurai,Maize,1600,2400,2400,20-12-2024
71,Madurai,Maize,1600,2400,2400,20-07-2024
72,Madurai,Maize,1600,2400,2400,20-11-2024
73,Madurai,Maize,1600,2400,2400,20-10-2024
74,Madurai,Maize,1600,2400,2400,20-09-2024
75,Madurai,Maize,1600,2400,2400,21-08-2024
76,Madurai,Maize,1600,2400,2400,21-12-2024
77,Madurai,Maize,1600,2400,2400,21-07-2024
78,Madurai,Maize,1600,2400,2400,21-11-2024
79,Madurai,Maize,1600,2400,2400,21-09-2024
80,Madurai,Maize,1600,2400,2400,22-08-2024
81,Madurai,Maize,1600,2400,2400,22-12-2024
82,Madurai,Maize,1600,2400,2400,22-07-2024
83,Madurai,Maize,1600,2400,2400,22-11-2024
84,Madurai,Maize,1600,2400,2400,22-09-2024
85,Madurai,Maize,1600,2400,2400,23-08-2024
86,Madurai,Maize,1600,2400,2400,23-07-2024
87,Madurai,Maize,1600,2400,2400,23-11-2024
88,Madurai,Maize,1600,2400,2400,23-10-2024
89,Madurai,Maize,1600,2400,2400,24-08-2024
90,Madurai,Maize,1600,2400,2400,24-07-2024
91,Madurai,Maize,1600,2400,2400,24-11-2024
92,Madurai,Maize,1600,2400,2400,24-10-2024
93,Madurai,Maize,1600,2400,2400,25-08-2024
94,Madurai,Maize,1600,2400,2400,25-12-2024
95,Madurai,Maize,1600,2400,2400,25-07-2024
96,Madurai,Maize,1600,2400,2400,25-10-2024
97,Madurai,Maize,1600,2400,2400,25-09-2024
98,Madurai,Maize,1600,2400,2400,26-12-2024
99,Madurai,Maize,1600,2400,2400,26-07-2024
100,Madurai,Maize,1600,2400,2400,26-10-2024
101,Madurai,Maize,1600,2400,2400,26-09-2024
102,Madurai,Maize,1600,2400,2400,27-12-2024
103,Madurai,Maize,1600,2400,2400,27-07-2024
104,Madurai,Maize,1600,2400,2400,27-11-2024
105,Madurai,Maize,1600,2400,2400,27-10-2024
106,Madurai,Maize,1600,2400,2400,27-09-2024
107,Madurai,Maize,1600,2400,2400,28-08-2024
108,Madurai,Maize,1600,2400,2400,28-12-2024
109,Madurai,Maize,1600,2400,2400,28-07-2024
110,Madurai,Maize,1600,2400,2400,28-11-2024
111,Madurai,Maize,1600,2400,2400,28-09-2024
112,Madurai,Maize,1600,2400,2400,29-08-2024
