Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mahbubnagar,Maize,1411,2306,2150,23-10-2024
2,Mahbubnagar,Maize,1419,2353,2146,24-10-2024
3,Mahbubnagar,Maize,1531,2423,2023,29-09-2024
4,Mahbubnagar,Maize,1611,2255,1970,22-10-2024
5,Mahbubnagar,Maize,1659,2427,1719,01-10-2024
6,Mahbubnagar,Maize,1741,2219,2215,18-04-2024
7,Mahbubnagar,Maize,1758,2379,2151,04-11-2024
8,Mahbubnagar,Maize,1769,2415,2380,27-10-2024
9,Mahbubnagar,Maize,1800,2362,2336,08-11-2024
10,Mahbubnagar,Maize,1800,2426,1800,30-09-2024
11,Mahbubnagar,Maize,1811,2376,2211,25-10-2024
12,Mahbubnagar,Maize,1829,2391,2375,05-11-2024
13,Mahbubnagar,Maize,1845,2416,2150,28-10-2024
14,Mahbubnagar,Maize,1853,2386,2336,09-12-2024
15,Mahbubnagar,Maize,1880,2360,2356,20-11-2024
16,Mahbubnagar,Maize,1900,2377,2337,27-11-2024
17,Mahbubnagar,Maize,1901,2371,2368,21-11-2024
18,Mahbubnagar,Maize,1908,2372,2347,13-11-2024
19,Mahbubnagar,Maize,1911,2428,1911,29-10-2024
20,Mahbubnagar,Maize,1920.99,2211.99,2211.99,03-05-2024
21,Mahbubnagar,Maize,1931,2371,2361,12-11-2024
22,Mahbubnagar,Maize,1952,2367,1952,11-11-2024
23,Mahbubnagar,Maize,1952,2381,2369,24-11-2024
24,Mahbubnagar,Maize,1953,2413,2412,22-12-2024
25,Mahbubnagar,Maize,1955,2402,2341,06-11-2024
26,Mahbubnagar,Maize,1969,2439,2437,03-10-2024
27,Mahbubnagar,Maize,2028,2386,2372,17-11-2024
28,Mahbubnagar,Maize,2029,2363,2341,10-11-2024
29,Mahbubnagar,Maize,2050,2186,2186,15-05-2024
30,Mahbubnagar,Maize,2071,2377,2272,18-11-2024
31,Mahbubnagar,Maize,2100,2192,2186,07-04-2024
32,Mahbubnagar,Maize,2103,2362,2211,07-11-2024
33,Mahbubnagar,Maize,2120,2436,2432,03-11-2024
34,Mahbubnagar,Maize,2131,2419,2361,04-10-2024
35,Mahbubnagar,Maize,2145,2186,2166,22-04-2024
36,Mahbubnagar,Maize,2146,2200,2180,15-04-2024
37,Mahbubnagar,Maize,2150.99,2220.99,2186.99,09-05-2024
38,Mahbubnagar,Maize,2156,2367,2342,19-11-2024
39,Mahbubnagar,Maize,2156,2377,2363,22-11-2024
40,Mahbubnagar,Maize,2159,2382,2321,14-11-2024
41,Mahbubnagar,Maize,2200.99,2207.99,2207.99,16-04-2024
42,Mahbubnagar,Maize,2201,2201,2201,24-03-2024
43,Mahbubnagar,Maize,2220,2220,2220,21-04-2024
44,Mahbubnagar,Maize,2220,2320,2320,23-09-2024
45,Mahbubnagar,Maize,2226.99,2227.99,2226.99,02-05-2024
46,Mahbubnagar,Maize,2230.99,2230.99,2230.99,28-04-2024
47,Mahbubnagar,Maize,2239,2386,2360,25-11-2024
48,Mahbubnagar,Maize,2289,2351,2346,22-09-2024
49,Mahbubnagar,Maize,2316,2316,2316,06-12-2024
50,Mahbubnagar,Maize,2316,2326,2326,05-12-2024
51,Mahbubnagar,Maize,2326,2372,2367,26-11-2024
52,Mahbubnagar,Maize,2341,2419,2419,20-09-2024
53,Mahbubnagar,Maize,2342,2383,2380,28-11-2024
54,Mahbubnagar,Maize,2360,2370,2370,16-12-2024
55,Mahbubnagar,Maize,2369,2396,2389,23-12-2024
56,Mahbubnagar,Maize,2370,2370,2370,17-12-2024
57,Mahbubnagar,Maize,2373,2390,2383,29-11-2024
58,Mahbubnagar,Maize,2375,2380,2380,12-12-2024
59,Mahbubnagar,Maize,2519,2519,2519,18-09-2024
60,Mahbubnagar,Maize,2050,2110,2110,03-04-2024
61,Mahbubnagar,Maize,2056,2056,2056,22-03-2024
62,Mahbubnagar,Maize,2106,2298,2106,02-04-2024
63,Mahbubnagar,Maize,2146,2199,2159,04-04-2024
64,Mahbubnagar,Maize,2519,2519,2519,18-09-2024
65,Mahbubnagar,Maize,1500,2100,2090,11-05-2024
66,Mahbubnagar,Maize,1800,2100,2090,18-09-2024
67,Mahbubnagar,Maize,1800,2200,2090,14-08-2024
68,Mahbubnagar,Maize,1800,2200,2090,22-08-2024
69,Mahbubnagar,Maize,1800,2200,2090,23-08-2024
70,Mahbubnagar,Maize,1800,2200,2100,05-03-2024
71,Mahbubnagar,Maize,1800,2200,2100,19-04-2024
72,Mahbubnagar,Maize,1800,2200,2100,19-03-2024
73,Mahbubnagar,Maize,1800,2200,2100,20-03-2024
74,Mahbubnagar,Maize,1800,2200,2100,21-03-2024
75,Mahbubnagar,Maize,1800,2200,2100,22-03-2024
76,Mahbubnagar,Maize,1800,2200,2100,29-04-2024
77,Mahbubnagar,Maize,1800,2200,2100,29-06-2024
78,Mahbubnagar,Maize,1800,2300,2100,28-03-2024
79,Mahbubnagar,Maize,1800,2300,2100,31-05-2024
80,Mahbubnagar,Maize,1800,2300,2225,14-11-2024
81,Mahbubnagar,Maize,1800,2300,2250,07-12-2024
82,Mahbubnagar,Maize,1800,2400,2225,13-12-2024
83,Mahbubnagar,Maize,1900,2200,2090,13-08-2024
84,Mahbubnagar,Maize,2000,2200,2100,23-09-2024
85,Mahbubnagar,Maize,2000,2200,2100,24-04-2024
86,Mahbubnagar,Maize,2000,2200,2127,06-04-2024
87,Mahbubnagar,Maize,2000,2250,2225,22-10-2024
88,Mahbubnagar,Maize,2000,2292,2090,07-05-2024
89,Mahbubnagar,Maize,2000,2300,2100,05-02-2024
90,Mahbubnagar,Maize,2000,2300,2225,02-11-2024
91,Mahbubnagar,Maize,2000,2300,2225,04-11-2024
92,Mahbubnagar,Maize,2000,2300,2225,05-11-2024
93,Mahbubnagar,Maize,2000,2300,2225,06-11-2024
94,Mahbubnagar,Maize,2000,2300,2225,07-11-2024
95,Mahbubnagar,Maize,2000,2300,2225,21-11-2024
96,Mahbubnagar,Maize,2000,2300,2250,01-10-2024
97,Mahbubnagar,Maize,2000,2300,2250,02-10-2024
98,Mahbubnagar,Maize,2000,2300,2250,05-10-2024
99,Mahbubnagar,Maize,2000,2300,2250,06-10-2024
100,Mahbubnagar,Maize,2000,2300,2250,08-10-2024
101,Mahbubnagar,Maize,2000,2300,2250,10-10-2024
102,Mahbubnagar,Maize,2000,2300,2250,14-10-2024
103,Mahbubnagar,Maize,2000,2300,2250,18-11-2024
104,Mahbubnagar,Maize,2000,2300,2250,18-10-2024
105,Mahbubnagar,Maize,2000,2300,2250,25-10-2024
106,Mahbubnagar,Maize,2000,2300,2250,26-10-2024
107,Mahbubnagar,Maize,2000,2400,2200,12-09-2024
108,Mahbubnagar,Maize,2000,2400,2200,13-09-2024
109,Mahbubnagar,Maize,2000,2400,2225,26-11-2024
110,Mahbubnagar,Maize,2000,2413,2250,27-11-2024
111,Mahbubnagar,Maize,2000,2500,2225,08-11-2024
112,Mahbubnagar,Maize,2000,2500,2250,14-12-2024
113,Mahbubnagar,Maize,1200,2511,1447,24-09-2024
114,Mahbubnagar,Maize,1200,2516,1787,05-10-2024
115,Mahbubnagar,Maize,1203,2556,1270,26-09-2024
116,Mahbubnagar,Maize,1203,2569,1673,23-09-2024
117,Mahbubnagar,Maize,1206,2521,1229,25-09-2024
118,Mahbubnagar,Maize,1257,2479,1450,04-10-2024
