Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajkot,Maize,2155,2555,2555,09-03-2024
2,Rajkot,Maize,1000,2405,2405,05-04-2024
3,Rajkot,Maize,1005,2305,1855,18-04-2024
4,Rajkot,Maize,1005,2355,2305,06-01-2024
5,Rajkot,Maize,1050,2555,2055,27-07-2024
6,Rajkot,Maize,1255,1255,1255,13-07-2024
7,Rajkot,Maize,1255,2655,2655,29-01-2024
8,Rajkot,Maize,1355,2655,2555,26-12-2024
9,Rajkot,Maize,1405,2905,2755,11-07-2024
10,Rajkot,Maize,1500,2405,2255,09-12-2024
11,Rajkot,Maize,1505,2455,2305,04-01-2024
12,Rajkot,Maize,1505,2955,1955,06-11-2024
13,Rajkot,Maize,1605,2905,2405,25-10-2024
14,Rajkot,Maize,1755,1755,1755,03-06-2024
15,Rajkot,Maize,1755,1755,1755,23-10-2024
16,Rajkot,Maize,1755,2500,2500,05-09-2024
17,Rajkot,Maize,1755,2655,2555,03-12-2024
18,Rajkot,Maize,1755,2705,2705,11-09-2024
19,Rajkot,Maize,1805,2155,2155,22-05-2024
20,Rajkot,Maize,1855,2355,2255,25-11-2024
21,Rajkot,Maize,1855,2355,2355,10-01-2024
22,Rajkot,Maize,1880,1880,1880,18-09-2024
23,Rajkot,Maize,1905,2405,1905,07-12-2024
24,Rajkot,Maize,1905,2505,2205,04-05-2024
25,Rajkot,Maize,1905,2505,2505,21-02-2024
26,Rajkot,Maize,1905,2555,2155,26-06-2024
27,Rajkot,Maize,1905,3255,3255,24-09-2024
28,Rajkot,Maize,1955,2405,2255,27-06-2024
29,Rajkot,Maize,2000,2000,2000,08-10-2024
30,Rajkot,Maize,2000,2000,2000,14-02-2024
31,Rajkot,Maize,2000,2355,2355,27-04-2024
32,Rajkot,Maize,2000,2555,2255,02-01-2024
33,Rajkot,Maize,2000,2655,2355,04-09-2024
34,Rajkot,Maize,2000,2805,2705,24-10-2024
35,Rajkot,Maize,2005,2005,2005,02-12-2024
36,Rajkot,Maize,2005,2505,2305,13-04-2024
37,Rajkot,Maize,2005,2955,2255,04-06-2024
38,Rajkot,Maize,2055,2055,2055,06-09-2024
39,Rajkot,Maize,2055,2705,2505,21-08-2024
40,Rajkot,Maize,2105,2105,2105,03-05-2024
41,Rajkot,Maize,2105,2105,2105,21-03-2024
42,Rajkot,Maize,2105,2105,2105,27-01-2024
43,Rajkot,Maize,2105,2355,2355,08-07-2024
44,Rajkot,Maize,2105,2455,2305,24-04-2024
45,Rajkot,Maize,2105,2805,2555,03-01-2024
46,Rajkot,Maize,2105,3005,2705,30-09-2024
47,Rajkot,Maize,2130,3405,2605,26-09-2024
48,Rajkot,Maize,2155,2155,2155,14-06-2024
49,Rajkot,Maize,2155,2355,2155,29-05-2024
50,Rajkot,Maize,2155,2405,2305,02-04-2024
51,Rajkot,Maize,2155,2455,2255,09-11-2024
52,Rajkot,Maize,2155,2505,2255,13-05-2024
53,Rajkot,Maize,2155,2505,2405,05-01-2024
54,Rajkot,Maize,2155,2555,2155,09-05-2024
55,Rajkot,Maize,2155,2655,2355,24-01-2024
56,Rajkot,Maize,2155,2805,2305,19-04-2024
57,Rajkot,Maize,2155,4555,4105,15-06-2024
58,Rajkot,Maize,2205,2205,2205,09-04-2024
59,Rajkot,Maize,2205,2205,2205,16-01-2024
60,Rajkot,Maize,2205,2205,2205,20-09-2024
61,Rajkot,Maize,2205,2255,2255,19-06-2024
62,Rajkot,Maize,2205,2405,2205,01-05-2024
63,Rajkot,Maize,2205,2455,2305,08-05-2024
64,Rajkot,Maize,2205,2505,2205,22-07-2024
65,Rajkot,Maize,2205,2555,2205,02-05-2024
66,Rajkot,Maize,2205,2555,2305,19-11-2024
67,Rajkot,Maize,2205,2655,2605,01-01-2024
68,Rajkot,Maize,2205,2755,2355,20-05-2024
69,Rajkot,Maize,2250,2305,2305,14-03-2024
70,Rajkot,Maize,2255,2255,2255,06-05-2024
71,Rajkot,Maize,2255,2255,2255,16-05-2024
72,Rajkot,Maize,2255,2255,2255,18-03-2024
73,Rajkot,Maize,2255,2255,2255,26-07-2024
74,Rajkot,Maize,2255,2305,2255,30-11-2024
75,Rajkot,Maize,2255,2355,2255,06-06-2024
76,Rajkot,Maize,2255,2355,2255,09-02-2024
77,Rajkot,Maize,2255,2355,2305,09-01-2024
78,Rajkot,Maize,2255,2405,2305,11-05-2024
79,Rajkot,Maize,2255,2455,2455,15-04-2024
80,Rajkot,Maize,2255,2500,2255,14-10-2024
81,Rajkot,Maize,2255,2805,2405,25-05-2024
82,Rajkot,Maize,2255,2805,2505,10-09-2024
83,Rajkot,Maize,2305,2305,2305,05-06-2024
84,Rajkot,Maize,2305,2305,2305,23-09-2024
85,Rajkot,Maize,2305,2355,2305,28-11-2024
86,Rajkot,Maize,2305,2405,2305,17-05-2024
87,Rajkot,Maize,2305,2405,2305,30-04-2024
88,Rajkot,Maize,2305,2455,2305,08-04-2024
89,Rajkot,Maize,2305,2455,2405,28-06-2024
90,Rajkot,Maize,2305,2505,2305,06-08-2024
91,Rajkot,Maize,2305,2555,2405,11-03-2024
92,Rajkot,Maize,2305,2555,2405,30-05-2024
93,Rajkot,Maize,2305,2555,2505,09-07-2024
94,Rajkot,Maize,2305,2705,2305,22-11-2024
95,Rajkot,Maize,2305,2755,2455,22-10-2024
96,Rajkot,Maize,2305,2805,2605,12-07-2024
97,Rajkot,Maize,2305,2805,2655,16-10-2024
98,Rajkot,Maize,2305,3005,2305,10-06-2024
99,Rajkot,Maize,2305,3105,2305,20-06-2024
100,Rajkot,Maize,2355,2355,2355,01-07-2024
101,Rajkot,Maize,2355,2355,2355,03-04-2024
102,Rajkot,Maize,2355,2355,2355,05-03-2024
103,Rajkot,Maize,2355,2355,2355,06-12-2024
104,Rajkot,Maize,2355,2355,2355,07-09-2024
105,Rajkot,Maize,2355,2355,2355,12-01-2024
106,Rajkot,Maize,2355,2355,2355,19-03-2024
107,Rajkot,Maize,2355,2355,2355,23-05-2024
108,Rajkot,Maize,2355,2355,2355,29-06-2024
109,Rajkot,Maize,2355,2405,2355,05-12-2024
110,Rajkot,Maize,2355,2455,2355,12-04-2024
111,Rajkot,Maize,2355,2455,2405,21-11-2024
112,Rajkot,Maize,2355,2455,2455,02-07-2024
113,Rajkot,Maize,2355,2555,2505,23-12-2024
114,Rajkot,Maize,2355,2605,2605,13-12-2024
115,Rajkot,Maize,2355,2655,2405,17-01-2024
116,Rajkot,Maize,2355,2655,2500,10-02-2024
117,Rajkot,Maize,2355,2955,2655,04-07-2024
118,Rajkot,Maize,2355,3105,2355,21-09-2024
119,Rajkot,Maize,2355,3255,2505,16-08-2024
120,Rajkot,Maize,2405,2405,2405,07-03-2024
121,Rajkot,Maize,2405,2405,2405,09-03-2024
122,Rajkot,Maize,2405,2405,2405,10-05-2024
123,Rajkot,Maize,2405,2405,2405,11-06-2024
124,Rajkot,Maize,2405,2405,2405,13-02-2024
125,Rajkot,Maize,2405,2405,2405,17-12-2024
126,Rajkot,Maize,2405,2405,2405,18-07-2024
127,Rajkot,Maize,2405,2405,2405,24-06-2024
128,Rajkot,Maize,2405,2405,2405,26-04-2024
129,Rajkot,Maize,2405,2455,2405,29-11-2024
130,Rajkot,Maize,2405,2455,2455,20-03-2024
131,Rajkot,Maize,2405,2505,2405,31-01-2024
132,Rajkot,Maize,2405,2555,2405,10-04-2024
133,Rajkot,Maize,2405,2555,2405,20-12-2024
134,Rajkot,Maize,2405,2555,2405,25-01-2024
135,Rajkot,Maize,2405,2605,2405,04-12-2024
136,Rajkot,Maize,2405,2605,2405,14-05-2024
137,Rajkot,Maize,2405,2605,2555,11-01-2024
138,Rajkot,Maize,2405,2755,2500,23-01-2024
139,Rajkot,Maize,2405,2805,2705,26-11-2024
140,Rajkot,Maize,2405,2855,2405,06-07-2024
141,Rajkot,Maize,2405,2855,2405,31-05-2024
142,Rajkot,Maize,2405,3505,2755,28-09-2024
143,Rajkot,Maize,2455,2455,2455,04-04-2024
144,Rajkot,Maize,2455,2455,2455,13-09-2024
145,Rajkot,Maize,2455,2455,2455,18-11-2024
146,Rajkot,Maize,2455,2455,2455,20-02-2024
147,Rajkot,Maize,2455,2455,2455,21-06-2024
148,Rajkot,Maize,2455,2455,2455,29-07-2024
149,Rajkot,Maize,2455,2505,2505,27-02-2024
150,Rajkot,Maize,2455,2555,2455,12-03-2024
151,Rajkot,Maize,2455,2555,2505,21-05-2024
152,Rajkot,Maize,2455,2605,2455,04-03-2024
153,Rajkot,Maize,2455,2605,2455,23-07-2024
154,Rajkot,Maize,2455,2705,2455,25-06-2024
155,Rajkot,Maize,2455,2705,2705,18-01-2024
