Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangrur,Maize,1200,1300,1200,13-12-2024
2,Sangrur,Maize,1300,1500,1300,23-12-2024
3,Sangrur,Maize,1750,1750,1750,02-08-2024
4,Sangrur,Maize,1750,2230,2230,27-08-2024
5,Sangrur,Maize,1770,2185,2185,01-07-2024
6,Sangrur,Maize,1840,2170,2170,30-06-2024
7,Sangrur,Maize,1850,2175,2175,29-06-2024
8,Sangrur,Maize,1875,1875,1875,05-08-2024
9,Sangrur,Maize,1880,2255,2255,09-07-2024
10,Sangrur,Maize,1890,2170,2170,04-07-2024
11,Sangrur,Maize,1900,1900,1900,29-08-2024
12,Sangrur,Maize,1900,2185,2185,21-06-2024
13,Sangrur,Maize,1910,2165,2165,22-06-2024
14,Sangrur,Maize,1910,2175,2175,23-06-2024
15,Sangrur,Maize,1950,2120,2120,07-07-2024
16,Sangrur,Maize,1950,2150,2150,06-07-2024
17,Sangrur,Maize,1950,2225,2225,19-06-2024
18,Sangrur,Maize,1975,2200,2200,03-07-2024
19,Sangrur,Maize,1980,2170,2170,05-07-2024
20,Sangrur,Maize,1985,2285,2285,10-07-2024
21,Sangrur,Maize,1995,2185,2185,16-06-2024
22,Sangrur,Maize,1995,2245,2245,12-07-2024
23,Sangrur,Maize,2000,2210,2210,18-06-2024
24,Sangrur,Maize,2000,2280,2280,11-07-2024
25,Sangrur,Maize,2025,2230,2230,24-06-2024
26,Sangrur,Maize,2050,2200,2200,09-08-2024
27,Sangrur,Maize,2050,2205,2205,17-06-2024
28,Sangrur,Maize,2055,2205,2205,13-06-2024
29,Sangrur,Maize,2055,2220,2220,02-07-2024
30,Sangrur,Maize,2060,2175,2175,15-06-2024
31,Sangrur,Maize,2060,2215,2215,25-06-2024
32,Sangrur,Maize,2060,2235,2235,27-06-2024
33,Sangrur,Maize,2070,2250,2250,14-07-2024
34,Sangrur,Maize,2085,2200,2200,06-08-2024
35,Sangrur,Maize,2095,2230,2230,21-08-2024
36,Sangrur,Maize,2100,2155,2155,28-06-2024
37,Sangrur,Maize,2100,2175,2175,08-07-2024
38,Sangrur,Maize,2100,2200,2200,20-06-2024
39,Sangrur,Maize,2100,2255,2255,15-07-2024
40,Sangrur,Maize,2130,2225,2225,14-06-2024
41,Sangrur,Maize,2150,2230,2230,31-07-2024
42,Sangrur,Maize,2150,2350,2350,30-08-2024
43,Sangrur,Maize,2175,2340,2300,22-07-2024
44,Sangrur,Maize,2185,2280,2280,11-09-2024
45,Sangrur,Maize,2200,2300,2300,01-08-2024
46,Sangrur,Maize,2200,2350,2200,16-07-2024
47,Sangrur,Maize,2220,2350,2350,12-08-2024
48,Sangrur,Maize,2225,2250,2250,19-07-2024
49,Sangrur,Maize,2225,2350,2350,23-07-2024
50,Sangrur,Maize,2235,2235,2235,18-07-2024
51,Sangrur,Maize,2235,2355,2355,20-07-2024
52,Sangrur,Maize,2245,2245,2245,13-07-2024
53,Sangrur,Maize,2250,2270,2270,17-07-2024
54,Sangrur,Maize,2265,2560,2560,07-08-2024
55,Sangrur,Maize,2300,2350,2350,11-08-2024
56,Sangrur,Maize,2300,2350,2350,29-07-2024
57,Sangrur,Maize,2425,2425,2425,10-09-2024
58,Sangrur,Maize,2095,2195,2160,22-06-2024
59,Sangrur,Maize,2130,2150,2140,18-06-2024
60,Sangrur,Maize,2140,2165,2150,19-06-2024
61,Sangrur,Maize,2140,2185,2165,24-06-2024
62,Sangrur,Maize,2320,2320,2320,30-10-2024
