Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambedkarnagar,Masur Dal,6850,6950,6900,21-10-2024
2,Ambedkarnagar,Masur Dal,6980,7100,7040,22-08-2024
3,Ambedkarnagar,Masur Dal,7460,7550,7500,04-06-2024
4,Ambedkarnagar,Masur Dal,7470,7580,7520,07-06-2024
5,Ambedkarnagar,Masur Dal,7480,7560,7520,03-06-2024
6,Ambedkarnagar,Masur Dal,7500,7600,7550,01-06-2024
7,Ambedkarnagar,Masur Dal,7550,7650,7600,10-06-2024
8,Ambedkarnagar,Masur Dal,7550,7650,7600,22-06-2024
9,Ambedkarnagar,Masur Dal,7560,7650,7610,25-06-2024
10,Ambedkarnagar,Masur Dal,7560,7660,7610,26-06-2024
11,Ambedkarnagar,Masur Dal,7560,7680,7620,24-06-2024
12,Ambedkarnagar,Masur Dal,7570,7660,7610,28-06-2024
13,Ambedkarnagar,Masur Dal,7600,7700,7650,17-06-2024
14,Ambedkarnagar,Masur Dal,7620,7720,7660,19-06-2024
15,Ambedkarnagar,Masur Dal,7630,7740,7680,11-05-2024
16,Ambedkarnagar,Masur Dal,7640,7800,7720,12-10-2024
17,Ambedkarnagar,Masur Dal,7650,7750,7700,02-07-2024
18,Ambedkarnagar,Masur Dal,7650,7760,7720,12-07-2024
19,Ambedkarnagar,Masur Dal,7650,7760,7720,24-05-2024
20,Ambedkarnagar,Masur Dal,7650,7800,7720,26-09-2024
21,Ambedkarnagar,Masur Dal,7650,7800,7728,01-10-2024
22,Ambedkarnagar,Masur Dal,7660,7750,7700,10-04-2024
23,Ambedkarnagar,Masur Dal,7660,7770,7720,06-07-2024
24,Ambedkarnagar,Masur Dal,7660,7780,7730,22-05-2024
25,Ambedkarnagar,Masur Dal,7660,7800,7740,27-09-2024
26,Ambedkarnagar,Masur Dal,7670,7750,7710,12-04-2024
27,Ambedkarnagar,Masur Dal,7670,7760,7720,02-05-2024
28,Ambedkarnagar,Masur Dal,7670,7760,7720,15-04-2024
29,Ambedkarnagar,Masur Dal,7670,7760,7720,30-01-2024
30,Ambedkarnagar,Masur Dal,7680,7750,7720,03-04-2024
31,Ambedkarnagar,Masur Dal,7680,7750,7720,16-01-2024
32,Ambedkarnagar,Masur Dal,7680,7750,7720,17-05-2024
33,Ambedkarnagar,Masur Dal,7680,7750,7720,18-04-2024
34,Ambedkarnagar,Masur Dal,7680,7760,7720,01-02-2024
35,Ambedkarnagar,Masur Dal,7680,7780,7720,09-01-2024
36,Ambedkarnagar,Masur Dal,7700,7750,7730,08-10-2024
37,Ambedkarnagar,Masur Dal,7700,7770,7730,16-04-2024
38,Ambedkarnagar,Masur Dal,7700,7780,7730,17-04-2024
39,Ambedkarnagar,Masur Dal,7700,7780,7735,20-04-2024
40,Ambedkarnagar,Masur Dal,7700,7780,7740,01-05-2024
41,Ambedkarnagar,Masur Dal,7700,7780,7740,02-04-2024
42,Ambedkarnagar,Masur Dal,7700,7780,7740,04-05-2024
43,Ambedkarnagar,Masur Dal,7700,7780,7740,08-01-2024
44,Ambedkarnagar,Masur Dal,7700,7780,7740,13-04-2024
45,Ambedkarnagar,Masur Dal,7700,7780,7740,25-04-2024
46,Ambedkarnagar,Masur Dal,7700,7785,7780,14-03-2024
47,Ambedkarnagar,Masur Dal,7700,7800,7740,10-07-2024
48,Ambedkarnagar,Masur Dal,7700,7800,7750,03-10-2024
49,Ambedkarnagar,Masur Dal,7700,7800,7750,12-09-2024
50,Ambedkarnagar,Masur Dal,7700,7800,7750,15-07-2024
51,Ambedkarnagar,Masur Dal,7700,7850,7760,10-09-2024
52,Ambedkarnagar,Masur Dal,7700,7850,7760,11-09-2024
53,Ambedkarnagar,Masur Dal,7700,7880,7800,16-09-2024
54,Ambedkarnagar,Masur Dal,7700,7900,7800,23-12-2024
55,Ambedkarnagar,Masur Dal,7710,7780,7750,10-01-2024
56,Ambedkarnagar,Masur Dal,7710,7780,7750,23-04-2024
57,Ambedkarnagar,Masur Dal,7710,7800,7770,05-01-2024
58,Ambedkarnagar,Masur Dal,7710,7820,7760,19-07-2024
59,Ambedkarnagar,Masur Dal,7720,7800,7760,05-02-2024
60,Ambedkarnagar,Masur Dal,7720,7800,7760,06-01-2024
61,Ambedkarnagar,Masur Dal,7720,7800,7760,17-01-2024
62,Ambedkarnagar,Masur Dal,7720,7800,7770,27-01-2024
63,Ambedkarnagar,Masur Dal,7720,7820,7770,20-01-2024
64,Ambedkarnagar,Masur Dal,7720,7820,7780,03-02-2024
65,Ambedkarnagar,Masur Dal,7720,7820,7780,12-02-2024
66,Ambedkarnagar,Masur Dal,7720,7820,7780,18-01-2024
