Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Azamgarh,Masur Dal,8000,8100,8050,25-06-2024
2,Azamgarh,Masur Dal,8025,8125,8070,08-11-2024
3,Azamgarh,Masur Dal,8025,8125,8075,05-11-2024
4,Azamgarh,Masur Dal,8025,8125,8075,20-05-2024
5,Azamgarh,Masur Dal,8025,8125,8075,22-05-2024
6,Azamgarh,Masur Dal,8035,8135,8085,24-05-2024
7,Azamgarh,Masur Dal,8050,8150,8100,06-06-2024
8,Azamgarh,Masur Dal,8050,8150,8100,08-05-2024
9,Azamgarh,Masur Dal,8050,8150,8100,09-05-2024
10,Azamgarh,Masur Dal,8050,8150,8100,10-06-2024
11,Azamgarh,Masur Dal,8050,8150,8100,11-06-2024
12,Azamgarh,Masur Dal,8050,8150,8100,13-06-2024
13,Azamgarh,Masur Dal,8050,8150,8100,14-05-2024
14,Azamgarh,Masur Dal,8050,8150,8100,15-05-2024
15,Azamgarh,Masur Dal,8050,8150,8100,16-05-2024
16,Azamgarh,Masur Dal,8050,8150,8100,17-05-2024
17,Azamgarh,Masur Dal,8050,8150,8100,27-05-2024
18,Azamgarh,Masur Dal,8050,8150,8100,28-10-2024
19,Azamgarh,Masur Dal,8050,8150,8100,29-10-2024
20,Azamgarh,Masur Dal,8050,8150,8100,30-10-2024
21,Azamgarh,Masur Dal,8050,8160,8110,27-06-2024
22,Azamgarh,Masur Dal,8050,8170,8110,10-05-2024
23,Azamgarh,Masur Dal,8050,8200,8125,13-12-2024
24,Azamgarh,Masur Dal,8060,8160,8110,20-06-2024
25,Azamgarh,Masur Dal,8065,8165,8115,22-06-2024
26,Azamgarh,Masur Dal,8070,8170,8120,19-06-2024
27,Azamgarh,Masur Dal,8075,8175,8120,15-06-2024
28,Azamgarh,Masur Dal,8075,8175,8120,24-06-2024
29,Azamgarh,Masur Dal,8075,8175,8125,03-06-2024
30,Azamgarh,Masur Dal,8075,8175,8125,04-06-2024
31,Azamgarh,Masur Dal,8075,8175,8130,11-12-2024
32,Azamgarh,Masur Dal,8085,8185,8135,07-12-2024
33,Azamgarh,Masur Dal,8100,8200,8140,19-07-2024
34,Azamgarh,Masur Dal,8100,8200,8140,23-11-2024
35,Azamgarh,Masur Dal,8100,8200,8140,29-06-2024
36,Azamgarh,Masur Dal,8100,8200,8145,05-07-2024
37,Azamgarh,Masur Dal,8100,8200,8145,25-11-2024
38,Azamgarh,Masur Dal,8100,8200,8150,01-06-2024
39,Azamgarh,Masur Dal,8100,8200,8150,03-08-2024
40,Azamgarh,Masur Dal,8100,8200,8150,06-05-2024
41,Azamgarh,Masur Dal,8100,8200,8150,08-07-2024
42,Azamgarh,Masur Dal,8100,8200,8150,18-07-2024
43,Azamgarh,Masur Dal,8100,8200,8150,20-07-2024
44,Azamgarh,Masur Dal,8100,8200,8150,28-06-2024
45,Azamgarh,Masur Dal,8100,8200,8150,28-05-2024
46,Azamgarh,Masur Dal,8100,8200,8160,04-05-2024
47,Azamgarh,Masur Dal,8100,8200,8160,05-08-2024
48,Azamgarh,Masur Dal,8100,8200,8160,15-07-2024
49,Azamgarh,Masur Dal,8100,8200,8160,31-12-2024
50,Azamgarh,Masur Dal,8100,8210,8160,11-07-2024
51,Azamgarh,Masur Dal,8110,8210,8160,06-07-2024
52,Azamgarh,Masur Dal,8110,8210,8160,27-11-2024
53,Azamgarh,Masur Dal,8115,8215,8165,06-08-2024
54,Azamgarh,Masur Dal,8115,8215,8165,07-08-2024
55,Azamgarh,Masur Dal,8115,8215,8165,08-08-2024
56,Azamgarh,Masur Dal,8115,8215,8165,30-11-2024
57,Azamgarh,Masur Dal,8120,8220,8170,13-08-2024
58,Azamgarh,Masur Dal,8125,8225,8170,20-08-2024
59,Azamgarh,Masur Dal,8125,8225,8175,03-12-2024
60,Azamgarh,Masur Dal,8125,8225,8175,09-08-2024
61,Azamgarh,Masur Dal,8125,8225,8175,12-08-2024
62,Azamgarh,Masur Dal,8125,8225,8175,16-12-2024
63,Azamgarh,Masur Dal,8125,8225,8175,17-08-2024
64,Azamgarh,Masur Dal,8125,8225,8175,23-07-2024
65,Azamgarh,Masur Dal,8125,8225,8175,24-07-2024
66,Azamgarh,Masur Dal,8125,8225,8175,26-07-2024
