Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Baghpat,Masur Dal,8100,8400,8250,26-12-2024
2,Baghpat,Masur Dal,8150,8350,8250,31-12-2024
3,Baghpat,Masur Dal,8150,8400,8250,01-01-2025
4,Baghpat,Masur Dal,8150,8400,8275,28-12-2024
5,Baghpat,Masur Dal,8150,8400,8275,30-12-2024
6,Baghpat,Masur Dal,8175,8400,8275,27-12-2024
7,Baghpat,Masur Dal,8180,8400,8280,24-12-2024
8,Baghpat,Masur Dal,8180,8400,8280,25-12-2024
9,Baghpat,Masur Dal,8250,8500,8350,23-12-2024
10,Baghpat,Masur Dal,8250,8500,8355,18-12-2024
11,Baghpat,Masur Dal,8280,8500,8380,19-12-2024
12,Baghpat,Masur Dal,8280,8500,8380,20-12-2024
13,Baghpat,Masur Dal,8280,8500,8380,21-12-2024
14,Baghpat,Masur Dal,8300,8500,8380,10-12-2024
15,Baghpat,Masur Dal,8300,8500,8390,16-12-2024
16,Baghpat,Masur Dal,8300,8500,8400,02-12-2024
17,Baghpat,Masur Dal,8300,8500,8400,04-12-2024
18,Baghpat,Masur Dal,8300,8500,8400,05-12-2024
19,Baghpat,Masur Dal,8300,8500,8400,05-11-2024
20,Baghpat,Masur Dal,8300,8500,8400,06-12-2024
21,Baghpat,Masur Dal,8300,8500,8400,06-11-2024
22,Baghpat,Masur Dal,8300,8500,8400,07-12-2024
23,Baghpat,Masur Dal,8300,8500,8400,09-12-2024
24,Baghpat,Masur Dal,8300,8500,8400,11-12-2024
25,Baghpat,Masur Dal,8300,8500,8400,12-12-2024
26,Baghpat,Masur Dal,8300,8500,8400,13-12-2024
27,Baghpat,Masur Dal,8300,8500,8400,14-12-2024
28,Baghpat,Masur Dal,8300,8500,8400,22-11-2024
29,Baghpat,Masur Dal,8300,8500,8400,23-11-2024
30,Baghpat,Masur Dal,8300,8500,8400,25-11-2024
31,Baghpat,Masur Dal,8300,8500,8400,26-11-2024
32,Baghpat,Masur Dal,8300,8500,8400,27-11-2024
33,Baghpat,Masur Dal,8300,8500,8400,28-11-2024
34,Baghpat,Masur Dal,8300,8500,8400,29-11-2024
35,Baghpat,Masur Dal,8300,8500,8400,30-11-2024
36,Baghpat,Masur Dal,8300,8550,8370,17-12-2024
37,Baghpat,Masur Dal,8300,8550,8400,03-12-2024
38,Baghpat,Masur Dal,8300,8550,8400,04-11-2024
39,Baghpat,Masur Dal,8300,8550,8400,21-11-2024
40,Baghpat,Masur Dal,8300,8550,8420,12-11-2024
41,Baghpat,Masur Dal,8300,8550,8420,13-11-2024
42,Baghpat,Masur Dal,8300,8550,8420,14-11-2024
43,Baghpat,Masur Dal,8300,8550,8420,15-11-2024
44,Baghpat,Masur Dal,8300,8550,8420,16-11-2024
45,Baghpat,Masur Dal,8300,8550,8440,18-11-2024
46,Baghpat,Masur Dal,8300,8550,8440,19-11-2024
47,Baghpat,Masur Dal,8300,8600,8450,01-11-2024
48,Baghpat,Masur Dal,8300,8600,8450,02-11-2024
49,Baghpat,Masur Dal,8300,8600,8450,08-11-2024
50,Baghpat,Masur Dal,8300,8600,8450,09-11-2024
51,Baghpat,Masur Dal,8300,8600,8450,11-11-2024
52,Baghpat,Masur Dal,8300,8600,8450,23-10-2024
53,Baghpat,Masur Dal,8300,8600,8450,24-10-2024
54,Baghpat,Masur Dal,8300,8600,8450,25-10-2024
55,Baghpat,Masur Dal,8300,8600,8450,26-10-2024
56,Baghpat,Masur Dal,8300,8600,8450,28-10-2024
57,Baghpat,Masur Dal,8300,8600,8450,30-10-2024
58,Baghpat,Masur Dal,8300,8600,8450,31-10-2024
59,Baghpat,Masur Dal,8300,8600,8500,17-10-2024
60,Baghpat,Masur Dal,8350,8550,8450,20-11-2024
61,Baghpat,Masur Dal,8350,8550,8450,29-10-2024
62,Baghpat,Masur Dal,8350,8600,8475,22-10-2024
63,Baghpat,Masur Dal,8350,8650,8500,17-09-2024
64,Baghpat,Masur Dal,8380,8600,8480,29-08-2024
65,Baghpat,Masur Dal,8380,8600,8485,28-08-2024
