Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bahraich,Masur Dal,7050,8300,8180,18-06-2024
2,Bahraich,Masur Dal,7800,8000,7900,05-06-2024
3,Bahraich,Masur Dal,7800,8000,7900,06-06-2024
4,Bahraich,Masur Dal,7850,8050,7950,07-06-2024
5,Bahraich,Masur Dal,7850,8100,7975,08-06-2024
6,Bahraich,Masur Dal,7850,8125,7980,03-06-2024
7,Bahraich,Masur Dal,7900,8075,7980,10-06-2024
8,Bahraich,Masur Dal,7900,8100,7980,31-05-2024
9,Bahraich,Masur Dal,7900,8100,8000,30-05-2024
10,Bahraich,Masur Dal,7950,8125,8035,09-05-2024
11,Bahraich,Masur Dal,7950,8125,8060,16-04-2024
12,Bahraich,Masur Dal,7950,8125,8065,17-04-2024
13,Bahraich,Masur Dal,7950,8150,8050,04-05-2024
14,Bahraich,Masur Dal,7950,8150,8050,08-05-2024
15,Bahraich,Masur Dal,7950,8150,8050,11-06-2024
16,Bahraich,Masur Dal,7950,8150,8050,14-05-2024
17,Bahraich,Masur Dal,7950,8150,8050,20-04-2024
18,Bahraich,Masur Dal,7950,8150,8050,30-04-2024
19,Bahraich,Masur Dal,7950,8150,8060,03-05-2024
20,Bahraich,Masur Dal,7950,8150,8060,12-06-2024
21,Bahraich,Masur Dal,7950,8150,8060,18-04-2024
22,Bahraich,Masur Dal,7950,8150,8065,11-04-2024
23,Bahraich,Masur Dal,7950,8150,8065,11-05-2024
24,Bahraich,Masur Dal,7950,8150,8065,19-04-2024
25,Bahraich,Masur Dal,7950,8175,8065,01-05-2024
26,Bahraich,Masur Dal,7950,8200,8075,10-04-2024
27,Bahraich,Masur Dal,7970,8165,8075,03-04-2024
28,Bahraich,Masur Dal,7975,8170,8065,07-05-2024
29,Bahraich,Masur Dal,8000,8150,8070,15-04-2024
30,Bahraich,Masur Dal,8000,8150,8075,02-05-2024
31,Bahraich,Masur Dal,8000,8150,8075,06-05-2024
32,Bahraich,Masur Dal,8000,8150,8075,10-05-2024
33,Bahraich,Masur Dal,8000,8150,8075,12-04-2024
34,Bahraich,Masur Dal,8000,8150,8075,13-04-2024
35,Bahraich,Masur Dal,8000,8150,8075,15-05-2024
36,Bahraich,Masur Dal,8000,8150,8075,22-04-2024
37,Bahraich,Masur Dal,8000,8150,8075,30-03-2024
38,Bahraich,Masur Dal,8000,8175,8080,16-05-2024
39,Bahraich,Masur Dal,8000,8200,8100,01-04-2024
40,Bahraich,Masur Dal,8000,8200,8100,02-08-2024
41,Bahraich,Masur Dal,8000,8200,8100,02-12-2024
42,Bahraich,Masur Dal,8000,8200,8100,02-11-2024
43,Bahraich,Masur Dal,8000,8200,8100,03-12-2024
44,Bahraich,Masur Dal,8000,8200,8100,03-02-2024
45,Bahraich,Masur Dal,8000,8200,8100,04-04-2024
46,Bahraich,Masur Dal,8000,8200,8100,04-11-2024
47,Bahraich,Masur Dal,8000,8200,8100,06-04-2024
48,Bahraich,Masur Dal,8000,8200,8100,06-08-2024
49,Bahraich,Masur Dal,8000,8200,8100,09-04-2024
50,Bahraich,Masur Dal,8000,8200,8100,17-05-2024
51,Bahraich,Masur Dal,8000,8200,8100,18-05-2024
52,Bahraich,Masur Dal,8000,8200,8100,21-11-2024
53,Bahraich,Masur Dal,8000,8200,8100,24-04-2024
54,Bahraich,Masur Dal,8000,8200,8100,25-10-2024
55,Bahraich,Masur Dal,8000,8200,8100,26-04-2024
56,Bahraich,Masur Dal,8000,8200,8100,26-11-2024
57,Bahraich,Masur Dal,8000,8200,8100,26-10-2024
58,Bahraich,Masur Dal,8000,8200,8100,27-02-2024
59,Bahraich,Masur Dal,8000,8200,8100,28-02-2024
60,Bahraich,Masur Dal,8000,8200,8100,29-04-2024
61,Bahraich,Masur Dal,8000,8200,8100,29-03-2024
