Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bankura,Masur Dal,7800,9600,9500,01-05-2024
2,Bankura,Masur Dal,7800,9600,9500,02-05-2024
3,Bankura,Masur Dal,7800,9600,9500,03-05-2024
4,Bankura,Masur Dal,7800,9600,9500,04-05-2024
5,Bankura,Masur Dal,7800,9600,9500,06-05-2024
6,Bankura,Masur Dal,7800,9600,9500,07-05-2024
7,Bankura,Masur Dal,7800,9600,9500,08-05-2024
8,Bankura,Masur Dal,7800,9600,9500,09-05-2024
9,Bankura,Masur Dal,7800,9600,9500,10-05-2024
10,Bankura,Masur Dal,7800,9600,9500,11-05-2024
11,Bankura,Masur Dal,7800,9600,9500,13-05-2024
12,Bankura,Masur Dal,7800,9600,9500,15-05-2024
13,Bankura,Masur Dal,7800,9600,9500,17-05-2024
14,Bankura,Masur Dal,7800,9600,9500,18-04-2024
15,Bankura,Masur Dal,7800,9600,9500,18-05-2024
16,Bankura,Masur Dal,7800,9600,9500,19-04-2024
17,Bankura,Masur Dal,7800,9600,9500,20-04-2024
18,Bankura,Masur Dal,7800,9600,9500,20-05-2024
19,Bankura,Masur Dal,7800,9600,9500,22-04-2024
20,Bankura,Masur Dal,7800,9600,9500,23-04-2024
21,Bankura,Masur Dal,7800,9600,9500,24-04-2024
22,Bankura,Masur Dal,7800,9600,9500,25-04-2024
23,Bankura,Masur Dal,7800,9600,9500,26-04-2024
24,Bankura,Masur Dal,7800,9600,9500,27-04-2024
25,Bankura,Masur Dal,7800,9600,9500,29-04-2024
26,Bankura,Masur Dal,7800,9600,9500,30-04-2024
27,Bankura,Masur Dal,7900,9600,9500,01-06-2024
28,Bankura,Masur Dal,7900,9600,9500,31-05-2024
29,Bankura,Masur Dal,7900,9700,9600,21-05-2024
30,Bankura,Masur Dal,7900,9700,9600,22-05-2024
31,Bankura,Masur Dal,7900,9700,9600,23-05-2024
32,Bankura,Masur Dal,7900,9700,9600,27-05-2024
33,Bankura,Masur Dal,7900,9700,9600,28-05-2024
34,Bankura,Masur Dal,7900,9700,9600,29-05-2024
35,Bankura,Masur Dal,7900,9700,9600,30-05-2024
36,Bankura,Masur Dal,8000,9600,9500,03-06-2024
37,Bankura,Masur Dal,8000,9600,9500,05-06-2024
38,Bankura,Masur Dal,8000,9600,9500,06-06-2024
39,Bankura,Masur Dal,8000,9600,9500,07-06-2024
40,Bankura,Masur Dal,8000,9600,9500,10-06-2024
41,Bankura,Masur Dal,8000,9600,9500,11-06-2024
42,Bankura,Masur Dal,8000,9600,9500,11-03-2024
43,Bankura,Masur Dal,8000,9600,9500,12-03-2024
44,Bankura,Masur Dal,8000,9600,9500,13-03-2024
45,Bankura,Masur Dal,8000,9600,9500,17-06-2024
46,Bankura,Masur Dal,8000,9600,9500,18-06-2024
47,Bankura,Masur Dal,8000,9600,9500,19-06-2024
48,Bankura,Masur Dal,8000,9600,9500,20-06-2024
49,Bankura,Masur Dal,8000,9700,9600,09-03-2024
50,Bankura,Masur Dal,8000,9700,9600,21-06-2024
51,Bankura,Masur Dal,8000,9700,9600,22-06-2024
52,Bankura,Masur Dal,8000,9700,9600,24-06-2024
53,Bankura,Masur Dal,8000,9700,9600,25-06-2024
54,Bankura,Masur Dal,8000,9700,9600,26-06-2024
55,Bankura,Masur Dal,8000,9700,9600,27-06-2024
56,Bankura,Masur Dal,8000,9700,9600,28-06-2024
57,Bankura,Masur Dal,8100,9600,9500,05-07-2024
58,Bankura,Masur Dal,8100,9600,9500,06-07-2024
59,Bankura,Masur Dal,8100,9600,9500,08-07-2024
60,Bankura,Masur Dal,8100,9600,9500,09-07-2024
61,Bankura,Masur Dal,8100,9600,9500,10-07-2024
62,Bankura,Masur Dal,8100,9600,9500,11-07-2024
63,Bankura,Masur Dal,8100,9600,9500,15-07-2024
64,Bankura,Masur Dal,8100,9600,9500,16-07-2024
65,Bankura,Masur Dal,8100,9600,9500,17-07-2024
66,Bankura,Masur Dal,8100,9600,9500,18-07-2024
67,Bankura,Masur Dal,8100,9600,9500,31-07-2024
68,Bankura,Masur Dal,8100,9700,9500,27-07-2024
69,Bankura,Masur Dal,8100,9700,9500,29-07-2024
70,Bankura,Masur Dal,8100,9700,9500,30-07-2024
71,Bankura,Masur Dal,8100,9700,9600,01-07-2024
72,Bankura,Masur Dal,8100,9700,9600,02-07-2024
73,Bankura,Masur Dal,8100,9700,9600,03-07-2024
74,Bankura,Masur Dal,8100,9700,9600,04-07-2024
75,Bankura,Masur Dal,8100,9700,9600,05-08-2024
76,Bankura,Masur Dal,8100,9700,9600,06-08-2024
77,Bankura,Masur Dal,8100,9700,9600,07-08-2024
78,Bankura,Masur Dal,8100,9700,9600,08-08-2024
79,Bankura,Masur Dal,8100,9700,9600,09-08-2024
80,Bankura,Masur Dal,8100,9700,9600,10-08-2024
81,Bankura,Masur Dal,8100,9700,9600,12-08-2024
82,Bankura,Masur Dal,8100,9700,9600,13-08-2024
83,Bankura,Masur Dal,8100,9700,9600,14-08-2024
84,Bankura,Masur Dal,8100,9700,9600,19-07-2024
85,Bankura,Masur Dal,8100,9700,9600,20-07-2024
86,Bankura,Masur Dal,8100,9700,9600,23-07-2024
87,Bankura,Masur Dal,8100,9700,9600,24-07-2024
88,Bankura,Masur Dal,8100,9800,9500,25-07-2024
89,Bankura,Masur Dal,8200,9600,9500,01-02-2024
90,Bankura,Masur Dal,8200,9600,9500,01-10-2024
91,Bankura,Masur Dal,8200,9600,9500,02-02-2024
92,Bankura,Masur Dal,8200,9600,9500,02-10-2024
93,Bankura,Masur Dal,8200,9600,9500,02-09-2024
94,Bankura,Masur Dal,8200,9600,9500,03-02-2024
95,Bankura,Masur Dal,8200,9600,9500,03-10-2024
96,Bankura,Masur Dal,8200,9600,9500,03-09-2024
97,Bankura,Masur Dal,8200,9600,9500,04-03-2024
98,Bankura,Masur Dal,8200,9600,9500,04-09-2024
99,Bankura,Masur Dal,8200,9600,9500,05-02-2024
100,Bankura,Masur Dal,8200,9600,9500,05-03-2024
101,Bankura,Masur Dal,8200,9600,9500,05-09-2024
102,Bankura,Masur Dal,8200,9600,9500,06-02-2024
103,Bankura,Masur Dal,8200,9600,9500,06-09-2024
104,Bankura,Masur Dal,8200,9600,9500,07-02-2024
105,Bankura,Masur Dal,8200,9600,9500,07-09-2024
106,Bankura,Masur Dal,8200,9600,9500,08-02-2024
107,Bankura,Masur Dal,8200,9600,9500,09-12-2024
108,Bankura,Masur Dal,8200,9600,9500,09-09-2024
109,Bankura,Masur Dal,8200,9600,9500,10-12-2024
110,Bankura,Masur Dal,8200,9600,9500,11-12-2024
111,Bankura,Masur Dal,8200,9600,9500,12-12-2024
112,Bankura,Masur Dal,8200,9600,9500,12-11-2024
113,Bankura,Masur Dal,8200,9600,9500,13-12-2024
114,Bankura,Masur Dal,8200,9600,9500,13-11-2024
115,Bankura,Masur Dal,8200,9600,9500,14-12-2024
116,Bankura,Masur Dal,8200,9600,9500,14-11-2024
117,Bankura,Masur Dal,8200,9600,9500,15-11-2024
118,Bankura,Masur Dal,8200,9600,9500,16-12-2024
119,Bankura,Masur Dal,8200,9600,9500,16-03-2024
120,Bankura,Masur Dal,8200,9600,9500,16-11-2024
121,Bankura,Masur Dal,8200,9600,9500,17-12-2024
122,Bankura,Masur Dal,8200,9600,9500,17-02-2024
123,Bankura,Masur Dal,8200,9600,9500,18-12-2024
124,Bankura,Masur Dal,8200,9600,9500,18-03-2024
125,Bankura,Masur Dal,8200,9600,9500,18-11-2024
126,Bankura,Masur Dal,8200,9600,9500,19-12-2024
127,Bankura,Masur Dal,8200,9600,9500,19-11-2024
128,Bankura,Masur Dal,8200,9600,9500,20-12-2024
129,Bankura,Masur Dal,8200,9600,9500,21-12-2024
130,Bankura,Masur Dal,8200,9600,9500,23-12-2024
131,Bankura,Masur Dal,8200,9600,9500,26-09-2024
132,Bankura,Masur Dal,8200,9600,9500,27-09-2024
133,Bankura,Masur Dal,8200,9600,9500,28-08-2024
134,Bankura,Masur Dal,8200,9600,9500,28-09-2024
135,Bankura,Masur Dal,8200,9600,9500,29-08-2024
136,Bankura,Masur Dal,8200,9600,9500,30-08-2024
137,Bankura,Masur Dal,8200,9600,9500,30-01-2024
138,Bankura,Masur Dal,8200,9600,9500,30-09-2024
139,Bankura,Masur Dal,8200,9600,9500,31-08-2024
140,Bankura,Masur Dal,8200,9600,9500,31-01-2024
141,Bankura,Masur Dal,8200,9700,9500,04-10-2024
142,Bankura,Masur Dal,8200,9700,9500,07-10-2024
143,Bankura,Masur Dal,8200,9700,9500,08-10-2024
144,Bankura,Masur Dal,8200,9700,9600,01-08-2024
145,Bankura,Masur Dal,8200,9700,9600,02-08-2024
146,Bankura,Masur Dal,8200,9700,9600,02-11-2024
147,Bankura,Masur Dal,8200,9700,9600,03-12-2024
148,Bankura,Masur Dal,8200,9700,9600,04-12-2024
149,Bankura,Masur Dal,8200,9700,9600,04-11-2024
