Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ghaziabad,Masur Dal,8400,8480,8440,29-11-2024
2,Ghaziabad,Masur Dal,8400,8485,8435,27-12-2024
3,Ghaziabad,Masur Dal,8450,8550,8500,29-03-2024
4,Ghaziabad,Masur Dal,8450,8550,8500,30-08-2024
5,Ghaziabad,Masur Dal,8550,8650,8600,26-01-2024
6,Ghaziabad,Masur Dal,8550,8650,8600,27-09-2024
7,Ghaziabad,Masur Dal,8550,8650,8600,28-06-2024
8,Ghaziabad,Masur Dal,8650,8750,8700,25-10-2024
9,Ghaziabad,Masur Dal,8750,8850,8800,23-02-2024
10,Ghaziabad,Masur Dal,8750,8850,8800,26-04-2024
11,Ghaziabad,Masur Dal,8750,8850,8800,31-05-2024
12,Ghaziabad,Masur Dal,6750,9320,8910,13-01-2024
13,Ghaziabad,Masur Dal,8500,9250,8760,18-03-2024
14,Ghaziabad,Masur Dal,8500,9250,8760,19-03-2024
15,Ghaziabad,Masur Dal,8650,9300,8875,24-01-2024
16,Ghaziabad,Masur Dal,8650,9300,8890,22-01-2024
17,Ghaziabad,Masur Dal,8650,9300,8890,23-01-2024
18,Ghaziabad,Masur Dal,8650,9300,8925,26-01-2024
19,Ghaziabad,Masur Dal,8650,9300,8930,28-01-2024
20,Ghaziabad,Masur Dal,8650,9300,8940,29-01-2024
21,Ghaziabad,Masur Dal,8650,9300,8950,25-01-2024
22,Ghaziabad,Masur Dal,8675,9300,8900,07-02-2024
23,Ghaziabad,Masur Dal,8675,9300,8900,08-02-2024
24,Ghaziabad,Masur Dal,8675,9300,8910,03-02-2024
25,Ghaziabad,Masur Dal,8675,9300,8910,05-02-2024
26,Ghaziabad,Masur Dal,8675,9300,8910,06-02-2024
27,Ghaziabad,Masur Dal,8675,9300,8935,02-02-2024
28,Ghaziabad,Masur Dal,8675,9300,8935,30-01-2024
29,Ghaziabad,Masur Dal,8675,9300,8945,31-01-2024
30,Ghaziabad,Masur Dal,8700,9350,8860,03-03-2024
31,Ghaziabad,Masur Dal,8700,9350,8860,04-03-2024
32,Ghaziabad,Masur Dal,8700,9350,8865,06-03-2024
33,Ghaziabad,Masur Dal,8700,9350,8870,02-03-2024
34,Ghaziabad,Masur Dal,8700,9350,8875,05-03-2024
35,Ghaziabad,Masur Dal,8700,9350,8875,29-02-2024
36,Ghaziabad,Masur Dal,8700,9350,8885,07-03-2024
37,Ghaziabad,Masur Dal,8700,9350,8890,08-03-2024
38,Ghaziabad,Masur Dal,8700,9350,8890,09-03-2024
39,Ghaziabad,Masur Dal,8700,9350,8890,28-02-2024
40,Ghaziabad,Masur Dal,8700,9350,8910,26-02-2024
41,Ghaziabad,Masur Dal,8700,9350,8910,27-02-2024
42,Ghaziabad,Masur Dal,8700,9350,8920,25-02-2024
43,Ghaziabad,Masur Dal,8700,9350,8930,24-02-2024
44,Ghaziabad,Masur Dal,8700,9350,8950,02-01-2024
45,Ghaziabad,Masur Dal,8700,9350,8950,18-02-2024
46,Ghaziabad,Masur Dal,8700,9350,8950,19-02-2024
47,Ghaziabad,Masur Dal,8700,9350,8950,23-02-2024
48,Ghaziabad,Masur Dal,8700,9350,8960,20-02-2024
49,Ghaziabad,Masur Dal,8700,9350,8960,21-02-2024
50,Ghaziabad,Masur Dal,8700,9350,8970,22-02-2024
51,Ghaziabad,Masur Dal,8710,9300,8925,21-01-2024
52,Ghaziabad,Masur Dal,8720,9300,8900,15-01-2024
53,Ghaziabad,Masur Dal,8720,9300,8900,16-01-2024
54,Ghaziabad,Masur Dal,8720,9300,8900,17-01-2024
55,Ghaziabad,Masur Dal,8720,9300,8900,18-01-2024
56,Ghaziabad,Masur Dal,8720,9350,8900,10-03-2024
57,Ghaziabad,Masur Dal,8720,9350,8900,11-03-2024
58,Ghaziabad,Masur Dal,8720,9400,8950,17-02-2024
59,Ghaziabad,Masur Dal,8720,9400,8965,15-02-2024
