Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mau,Masur Dal,7410,8000,7500,28-03-2024
2,Mau,Masur Dal,7410,8410,8400,27-03-2024
3,Mau,Masur Dal,7420,8400,7460,20-03-2024
4,Mau,Masur Dal,8000,8100,8035,08-07-2024
5,Mau,Masur Dal,8100,8150,8125,07-06-2024
6,Mau,Masur Dal,8100,8150,8125,21-06-2024
7,Mau,Masur Dal,8100,8150,8130,06-06-2024
8,Mau,Masur Dal,8100,8150,8130,11-07-2024
9,Mau,Masur Dal,8100,8150,8130,15-06-2024
10,Mau,Masur Dal,8100,8150,8130,25-07-2024
11,Mau,Masur Dal,8100,8150,8130,26-06-2024
12,Mau,Masur Dal,8100,8150,8130,28-06-2024
13,Mau,Masur Dal,8100,8150,8135,01-07-2024
14,Mau,Masur Dal,8100,8150,8135,12-07-2024
15,Mau,Masur Dal,8100,8150,8135,13-06-2024
16,Mau,Masur Dal,8100,8150,8135,18-07-2024
17,Mau,Masur Dal,8100,8150,8135,19-07-2024
18,Mau,Masur Dal,8100,8150,8135,19-06-2024
19,Mau,Masur Dal,8100,8150,8135,20-06-2024
20,Mau,Masur Dal,8100,8150,8135,22-07-2024
21,Mau,Masur Dal,8100,8150,8135,22-06-2024
22,Mau,Masur Dal,8100,8150,8135,23-07-2024
23,Mau,Masur Dal,8100,8150,8135,24-07-2024
24,Mau,Masur Dal,8100,8150,8135,24-06-2024
25,Mau,Masur Dal,8100,8150,8135,25-06-2024
26,Mau,Masur Dal,8100,8150,8135,26-07-2024
27,Mau,Masur Dal,8100,8150,8135,27-06-2024
28,Mau,Masur Dal,8100,8150,8135,30-07-2024
29,Mau,Masur Dal,8100,8150,8140,31-07-2024
30,Mau,Masur Dal,8100,8200,8135,29-07-2024
31,Mau,Masur Dal,8100,8200,8140,20-07-2024
32,Mau,Masur Dal,8100,8200,8145,05-07-2024
33,Mau,Masur Dal,8100,8200,8145,12-06-2024
34,Mau,Masur Dal,8100,8200,8155,10-06-2024
35,Mau,Masur Dal,8130,8150,8140,09-07-2024
36,Mau,Masur Dal,8130,8200,8165,10-07-2024
37,Mau,Masur Dal,8135,8170,8150,15-07-2024
38,Mau,Masur Dal,8135,8200,8170,02-07-2024
39,Mau,Masur Dal,8135,8200,8170,03-07-2024
40,Mau,Masur Dal,8135,8200,8170,04-07-2024
41,Mau,Masur Dal,8135,8200,8170,06-07-2024
42,Mau,Masur Dal,8140,8200,8170,14-06-2024
43,Mau,Masur Dal,8145,8200,8175,29-06-2024
44,Mau,Masur Dal,8300,8400,8350,01-04-2024
45,Mau,Masur Dal,8300,8400,8350,04-05-2024
46,Mau,Masur Dal,8300,8400,8350,05-04-2024
47,Mau,Masur Dal,8300,8400,8350,13-05-2024
48,Mau,Masur Dal,8300,8400,8350,22-04-2024
49,Mau,Masur Dal,8300,8500,8400,09-05-2024
50,Mau,Masur Dal,8340,8400,8365,05-06-2024
51,Mau,Masur Dal,8340,8400,8365,18-06-2024
52,Mau,Masur Dal,8340,8400,8370,02-05-2024
53,Mau,Masur Dal,8340,8400,8370,03-06-2024
54,Mau,Masur Dal,8340,8400,8370,07-05-2024
55,Mau,Masur Dal,8340,8400,8370,10-04-2024
56,Mau,Masur Dal,8340,8400,8370,10-05-2024
57,Mau,Masur Dal,8340,8400,8370,23-04-2024
58,Mau,Masur Dal,8340,8400,8375,27-05-2024
59,Mau,Masur Dal,8340,8400,8376,20-05-2024
60,Mau,Masur Dal,8340,8400,8378,15-05-2024
61,Mau,Masur Dal,8340,8400,8380,25-05-2024
62,Mau,Masur Dal,8340,8400,8385,31-05-2024
63,Mau,Masur Dal,8340,8450,8400,02-04-2024
64,Mau,Masur Dal,8340,8450,8400,16-04-2024
65,Mau,Masur Dal,8342,8400,8380,04-06-2024
66,Mau,Masur Dal,8345,8400,8367,18-05-2024
67,Mau,Masur Dal,8345,8400,8370,20-04-2024
68,Mau,Masur Dal,8345,8400,8370,22-05-2024
69,Mau,Masur Dal,8345,8400,8370,30-04-2024
70,Mau,Masur Dal,8345,8400,8375,06-05-2024
71,Mau,Masur Dal,8345,8400,8375,29-05-2024
72,Mau,Masur Dal,8345,8400,8380,14-05-2024
73,Mau,Masur Dal,8345,8450,8400,16-05-2024
74,Mau,Masur Dal,8350,8400,8370,25-04-2024
75,Mau,Masur Dal,8350,8400,8370,27-04-2024
76,Mau,Masur Dal,8350,8400,8375,03-05-2024
77,Mau,Masur Dal,8350,8400,8375,21-05-2024
78,Mau,Masur Dal,8350,8400,8375,24-05-2024
79,Mau,Masur Dal,8350,8400,8375,26-04-2024
80,Mau,Masur Dal,8350,8400,8380,01-05-2024
81,Mau,Masur Dal,8350,8400,8380,17-05-2024
82,Mau,Masur Dal,8350,8400,8380,24-04-2024
83,Mau,Masur Dal,8350,8450,8400,06-04-2024
84,Mau,Masur Dal,8350,8450,8400,08-05-2024
85,Mau,Masur Dal,8350,8450,8400,15-04-2024
86,Mau,Masur Dal,8350,8450,8400,18-04-2024
87,Mau,Masur Dal,8350,8450,8400,29-04-2024
88,Mau,Masur Dal,8355,8400,8385,28-05-2024
89,Mau,Masur Dal,8450,8500,8470,11-06-2024
90,Mau,Masur Dal,9000,9100,9045,03-12-2024
91,Mau,Masur Dal,9000,9100,9045,06-12-2024
92,Mau,Masur Dal,9000,9100,9045,13-12-2024
93,Mau,Masur Dal,9000,9100,9045,14-10-2024
94,Mau,Masur Dal,9000,9100,9045,17-12-2024
95,Mau,Masur Dal,9000,9100,9045,19-11-2024
96,Mau,Masur Dal,9000,9100,9045,27-11-2024
97,Mau,Masur Dal,9000,9100,9045,31-12-2024
98,Mau,Masur Dal,9000,9100,9050,01-10-2024
99,Mau,Masur Dal,9000,9100,9050,03-10-2024
100,Mau,Masur Dal,9000,9100,9050,04-12-2024
101,Mau,Masur Dal,9000,9100,9050,04-11-2024
102,Mau,Masur Dal,9000,9100,9050,05-12-2024
103,Mau,Masur Dal,9000,9100,9050,05-10-2024
104,Mau,Masur Dal,9000,9100,9050,06-11-2024
105,Mau,Masur Dal,9000,9100,9050,07-11-2024
106,Mau,Masur Dal,9000,9100,9050,07-10-2024
107,Mau,Masur Dal,9000,9100,9050,09-11-2024
108,Mau,Masur Dal,9000,9100,9050,09-10-2024
109,Mau,Masur Dal,9000,9100,9050,10-12-2024
110,Mau,Masur Dal,9000,9100,9050,18-10-2024
111,Mau,Masur Dal,9000,9100,9050,19-12-2024
112,Mau,Masur Dal,9000,9100,9050,20-12-2024
113,Mau,Masur Dal,9000,9100,9050,21-12-2024
114,Mau,Masur Dal,9000,9100,9050,21-11-2024
115,Mau,Masur Dal,9000,9100,9050,21-10-2024
116,Mau,Masur Dal,9000,9100,9050,24-10-2024
117,Mau,Masur Dal,9000,9100,9050,25-12-2024
118,Mau,Masur Dal,9000,9100,9050,26-10-2024
119,Mau,Masur Dal,9000,9100,9050,29-11-2024
120,Mau,Masur Dal,9000,9100,9050,30-11-2024
