Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Medinipur(W),Masur Dal,8500,9500,9000,26-04-2024
2,Medinipur(W),Masur Dal,8500,9500,9000,27-04-2024
3,Medinipur(W),Masur Dal,8500,9500,9000,28-04-2024
4,Medinipur(W),Masur Dal,8500,9500,9000,29-04-2024
5,Medinipur(W),Masur Dal,9000,10000,9500,01-04-2024
6,Medinipur(W),Masur Dal,9000,10000,9500,01-02-2024
7,Medinipur(W),Masur Dal,9000,10000,9500,01-01-2024
8,Medinipur(W),Masur Dal,9000,10000,9500,01-03-2024
9,Medinipur(W),Masur Dal,9000,10000,9500,01-05-2024
10,Medinipur(W),Masur Dal,9000,10000,9500,02-04-2024
11,Medinipur(W),Masur Dal,9000,10000,9500,02-02-2024
12,Medinipur(W),Masur Dal,9000,10000,9500,02-01-2024
13,Medinipur(W),Masur Dal,9000,10000,9500,02-03-2024
14,Medinipur(W),Masur Dal,9000,10000,9500,02-05-2024
15,Medinipur(W),Masur Dal,9000,10000,9500,03-04-2024
16,Medinipur(W),Masur Dal,9000,10000,9500,03-02-2024
17,Medinipur(W),Masur Dal,9000,10000,9500,03-01-2024
18,Medinipur(W),Masur Dal,9000,10000,9500,03-03-2024
19,Medinipur(W),Masur Dal,9000,10000,9500,03-05-2024
20,Medinipur(W),Masur Dal,9000,10000,9500,04-04-2024
21,Medinipur(W),Masur Dal,9000,10000,9500,04-02-2024
22,Medinipur(W),Masur Dal,9000,10000,9500,04-01-2024
23,Medinipur(W),Masur Dal,9000,10000,9500,04-03-2024
24,Medinipur(W),Masur Dal,9000,10000,9500,04-05-2024
25,Medinipur(W),Masur Dal,9000,10000,9500,05-02-2024
26,Medinipur(W),Masur Dal,9000,10000,9500,05-01-2024
27,Medinipur(W),Masur Dal,9000,10000,9500,05-03-2024
28,Medinipur(W),Masur Dal,9000,10000,9500,05-05-2024
29,Medinipur(W),Masur Dal,9000,10000,9500,06-04-2024
30,Medinipur(W),Masur Dal,9000,10000,9500,06-02-2024
31,Medinipur(W),Masur Dal,9000,10000,9500,06-01-2024
32,Medinipur(W),Masur Dal,9000,10000,9500,06-03-2024
33,Medinipur(W),Masur Dal,9000,10000,9500,06-05-2024
34,Medinipur(W),Masur Dal,9000,10000,9500,07-04-2024
35,Medinipur(W),Masur Dal,9000,10000,9500,07-02-2024
36,Medinipur(W),Masur Dal,9000,10000,9500,07-01-2024
37,Medinipur(W),Masur Dal,9000,10000,9500,07-03-2024
38,Medinipur(W),Masur Dal,9000,10000,9500,07-05-2024
39,Medinipur(W),Masur Dal,9000,10000,9500,08-04-2024
40,Medinipur(W),Masur Dal,9000,10000,9500,08-02-2024
41,Medinipur(W),Masur Dal,9000,10000,9500,08-01-2024
42,Medinipur(W),Masur Dal,9000,10000,9500,08-03-2024
43,Medinipur(W),Masur Dal,9000,10000,9500,08-05-2024
44,Medinipur(W),Masur Dal,9000,10000,9500,09-04-2024
45,Medinipur(W),Masur Dal,9000,10000,9500,09-02-2024
46,Medinipur(W),Masur Dal,9000,10000,9500,09-01-2024
47,Medinipur(W),Masur Dal,9000,10000,9500,09-03-2024
48,Medinipur(W),Masur Dal,9000,10000,9500,09-05-2024
49,Medinipur(W),Masur Dal,9000,10000,9500,10-02-2024
50,Medinipur(W),Masur Dal,9000,10000,9500,10-01-2024
51,Medinipur(W),Masur Dal,9000,10000,9500,10-03-2024
52,Medinipur(W),Masur Dal,9000,10000,9500,10-05-2024
53,Medinipur(W),Masur Dal,9000,10000,9500,11-04-2024
54,Medinipur(W),Masur Dal,9000,10000,9500,11-01-2024
55,Medinipur(W),Masur Dal,9000,10000,9500,11-03-2024
56,Medinipur(W),Masur Dal,9000,10000,9500,11-05-2024
57,Medinipur(W),Masur Dal,9000,10000,9500,12-04-2024
58,Medinipur(W),Masur Dal,9000,10000,9500,12-02-2024
59,Medinipur(W),Masur Dal,9000,10000,9500,12-03-2024
60,Medinipur(W),Masur Dal,9000,10000,9500,12-05-2024
61,Medinipur(W),Masur Dal,9000,10000,9500,13-04-2024
62,Medinipur(W),Masur Dal,9000,10000,9500,13-02-2024
63,Medinipur(W),Masur Dal,9000,10000,9500,13-05-2024
64,Medinipur(W),Masur Dal,9000,10000,9500,14-04-2024
65,Medinipur(W),Masur Dal,9000,10000,9500,14-02-2024
66,Medinipur(W),Masur Dal,9000,10000,9500,14-05-2024
67,Medinipur(W),Masur Dal,9000,10000,9500,15-04-2024
68,Medinipur(W),Masur Dal,9000,10000,9500,15-02-2024
69,Medinipur(W),Masur Dal,9000,10000,9500,15-01-2024
70,Medinipur(W),Masur Dal,9000,10000,9500,15-03-2024
71,Medinipur(W),Masur Dal,9000,10000,9500,15-05-2024
72,Medinipur(W),Masur Dal,9000,10000,9500,16-04-2024
73,Medinipur(W),Masur Dal,9000,10000,9500,16-02-2024
74,Medinipur(W),Masur Dal,9000,10000,9500,16-01-2024
75,Medinipur(W),Masur Dal,9000,10000,9500,16-03-2024
76,Medinipur(W),Masur Dal,9000,10000,9500,16-05-2024
77,Medinipur(W),Masur Dal,9000,10000,9500,17-04-2024
78,Medinipur(W),Masur Dal,9000,10000,9500,17-02-2024
79,Medinipur(W),Masur Dal,9000,10000,9500,17-01-2024
80,Medinipur(W),Masur Dal,9000,10000,9500,17-03-2024
81,Medinipur(W),Masur Dal,9000,10000,9500,18-04-2024
82,Medinipur(W),Masur Dal,9000,10000,9500,18-02-2024
83,Medinipur(W),Masur Dal,9000,10000,9500,18-01-2024
84,Medinipur(W),Masur Dal,9000,10000,9500,18-03-2024
85,Medinipur(W),Masur Dal,9000,10000,9500,19-04-2024
86,Medinipur(W),Masur Dal,9000,10000,9500,19-02-2024
87,Medinipur(W),Masur Dal,9000,10000,9500,19-01-2024
88,Medinipur(W),Masur Dal,9000,10000,9500,19-03-2024
89,Medinipur(W),Masur Dal,9000,10000,9500,20-04-2024
90,Medinipur(W),Masur Dal,9000,10000,9500,20-02-2024
91,Medinipur(W),Masur Dal,9000,10000,9500,20-01-2024
92,Medinipur(W),Masur Dal,9000,10000,9500,20-03-2024
93,Medinipur(W),Masur Dal,9000,10000,9500,21-04-2024
94,Medinipur(W),Masur Dal,9000,10000,9500,21-02-2024
95,Medinipur(W),Masur Dal,9000,10000,9500,21-01-2024
96,Medinipur(W),Masur Dal,9000,10000,9500,21-03-2024
97,Medinipur(W),Masur Dal,9000,10000,9500,22-04-2024
98,Medinipur(W),Masur Dal,9000,10000,9500,22-02-2024
99,Medinipur(W),Masur Dal,9000,10000,9500,22-01-2024
100,Medinipur(W),Masur Dal,9000,10000,9500,22-03-2024
101,Medinipur(W),Masur Dal,9000,10000,9500,23-04-2024
102,Medinipur(W),Masur Dal,9000,10000,9500,24-04-2024
103,Medinipur(W),Masur Dal,9000,10000,9500,24-01-2024
104,Medinipur(W),Masur Dal,9000,10000,9500,25-04-2024
105,Medinipur(W),Masur Dal,9000,10000,9500,25-01-2024
106,Medinipur(W),Masur Dal,9000,10000,9500,26-02-2024
107,Medinipur(W),Masur Dal,9000,10000,9500,26-03-2024
108,Medinipur(W),Masur Dal,9000,10000,9500,27-02-2024
109,Medinipur(W),Masur Dal,9000,10000,9500,27-03-2024
110,Medinipur(W),Masur Dal,9000,10000,9500,28-02-2024
111,Medinipur(W),Masur Dal,9000,10000,9500,28-03-2024
112,Medinipur(W),Masur Dal,9000,10000,9500,29-01-2024
113,Medinipur(W),Masur Dal,9000,10000,9500,29-03-2024
114,Medinipur(W),Masur Dal,9000,10000,9500,30-04-2024
115,Medinipur(W),Masur Dal,9000,10000,9500,30-01-2024
116,Medinipur(W),Masur Dal,9000,10000,9500,30-03-2024
117,Medinipur(W),Masur Dal,9000,10000,9500,31-01-2024
118,Medinipur(W),Masur Dal,9000,10000,9500,31-03-2024
119,Medinipur(W),Masur Dal,9500,10500,10000,01-06-2024
120,Medinipur(W),Masur Dal,9500,10500,10000,02-06-2024
121,Medinipur(W),Masur Dal,9500,10500,10000,03-06-2024
122,Medinipur(W),Masur Dal,9500,10500,10000,04-06-2024
123,Medinipur(W),Masur Dal,9500,10500,10000,05-06-2024
124,Medinipur(W),Masur Dal,9500,10500,10000,06-06-2024
125,Medinipur(W),Masur Dal,9500,10500,10000,07-06-2024
126,Medinipur(W),Masur Dal,9500,10500,10000,08-06-2024
127,Medinipur(W),Masur Dal,9500,10500,10000,09-06-2024
128,Medinipur(W),Masur Dal,9500,10500,10000,10-06-2024
