Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nadia,Masur Dal,3200,3350,3300,12-09-2024
2,Nadia,Masur Dal,9900,10100,10000,01-08-2024
3,Nadia,Masur Dal,9900,10100,10000,01-12-2024
4,Nadia,Masur Dal,9900,10100,10000,01-01-2025
5,Nadia,Masur Dal,9900,10100,10000,01-07-2024
6,Nadia,Masur Dal,9900,10100,10000,01-06-2024
7,Nadia,Masur Dal,9900,10100,10000,01-10-2024
8,Nadia,Masur Dal,9900,10100,10000,01-09-2024
9,Nadia,Masur Dal,9900,10100,10000,02-12-2024
10,Nadia,Masur Dal,9900,10100,10000,02-07-2024
11,Nadia,Masur Dal,9900,10100,10000,02-06-2024
12,Nadia,Masur Dal,9900,10100,10000,02-11-2024
13,Nadia,Masur Dal,9900,10100,10000,02-10-2024
14,Nadia,Masur Dal,9900,10100,10000,02-09-2024
15,Nadia,Masur Dal,9900,10100,10000,03-08-2024
16,Nadia,Masur Dal,9900,10100,10000,03-07-2024
17,Nadia,Masur Dal,9900,10100,10000,03-06-2024
18,Nadia,Masur Dal,9900,10100,10000,03-11-2024
19,Nadia,Masur Dal,9900,10100,10000,03-10-2024
20,Nadia,Masur Dal,9900,10100,10000,03-09-2024
21,Nadia,Masur Dal,9900,10100,10000,04-08-2024
22,Nadia,Masur Dal,9900,10100,10000,04-12-2024
23,Nadia,Masur Dal,9900,10100,10000,04-07-2024
24,Nadia,Masur Dal,9900,10100,10000,04-06-2024
25,Nadia,Masur Dal,9900,10100,10000,04-11-2024
26,Nadia,Masur Dal,9900,10100,10000,04-09-2024
27,Nadia,Masur Dal,9900,10100,10000,05-08-2024
28,Nadia,Masur Dal,9900,10100,10000,05-12-2024
29,Nadia,Masur Dal,9900,10100,10000,05-06-2024
30,Nadia,Masur Dal,9900,10100,10000,05-11-2024
31,Nadia,Masur Dal,9900,10100,10000,05-10-2024
32,Nadia,Masur Dal,9900,10100,10000,05-09-2024
33,Nadia,Masur Dal,9900,10100,10000,06-08-2024
34,Nadia,Masur Dal,9900,10100,10000,06-07-2024
35,Nadia,Masur Dal,9900,10100,10000,06-06-2024
36,Nadia,Masur Dal,9900,10100,10000,06-11-2024
37,Nadia,Masur Dal,9900,10100,10000,06-10-2024
38,Nadia,Masur Dal,9900,10100,10000,07-08-2024
39,Nadia,Masur Dal,9900,10100,10000,07-12-2024
40,Nadia,Masur Dal,9900,10100,10000,07-07-2024
41,Nadia,Masur Dal,9900,10100,10000,07-11-2024
42,Nadia,Masur Dal,9900,10100,10000,07-10-2024
43,Nadia,Masur Dal,9900,10100,10000,07-09-2024
44,Nadia,Masur Dal,9900,10100,10000,08-08-2024
45,Nadia,Masur Dal,9900,10100,10000,08-12-2024
46,Nadia,Masur Dal,9900,10100,10000,08-07-2024
47,Nadia,Masur Dal,9900,10100,10000,08-06-2024
48,Nadia,Masur Dal,9900,10100,10000,08-10-2024
49,Nadia,Masur Dal,9900,10100,10000,08-09-2024
50,Nadia,Masur Dal,9900,10100,10000,09-12-2024
51,Nadia,Masur Dal,9900,10100,10000,09-07-2024
52,Nadia,Masur Dal,9900,10100,10000,09-06-2024
53,Nadia,Masur Dal,9900,10100,10000,09-10-2024
54,Nadia,Masur Dal,9900,10100,10000,09-09-2024
55,Nadia,Masur Dal,9900,10100,10000,10-08-2024
56,Nadia,Masur Dal,9900,10100,10000,10-12-2024
57,Nadia,Masur Dal,9900,10100,10000,10-07-2024
58,Nadia,Masur Dal,9900,10100,10000,10-06-2024
59,Nadia,Masur Dal,9900,10100,10000,10-11-2024
60,Nadia,Masur Dal,9900,10100,10000,10-10-2024
61,Nadia,Masur Dal,9900,10100,10000,10-09-2024
62,Nadia,Masur Dal,9900,10100,10000,11-08-2024
63,Nadia,Masur Dal,9900,10100,10000,11-12-2024
64,Nadia,Masur Dal,9900,10100,10000,11-07-2024
65,Nadia,Masur Dal,9900,10100,10000,11-06-2024
66,Nadia,Masur Dal,9900,10100,10000,11-11-2024
67,Nadia,Masur Dal,9900,10100,10000,11-09-2024
68,Nadia,Masur Dal,9900,10100,10000,12-08-2024
69,Nadia,Masur Dal,9900,10100,10000,12-12-2024
70,Nadia,Masur Dal,9900,10100,10000,12-06-2024
71,Nadia,Masur Dal,9900,10100,10000,12-11-2024
72,Nadia,Masur Dal,9900,10100,10000,12-10-2024
73,Nadia,Masur Dal,9900,10100,10000,13-08-2024
74,Nadia,Masur Dal,9900,10100,10000,13-07-2024
75,Nadia,Masur Dal,9900,10100,10000,13-06-2024
76,Nadia,Masur Dal,9900,10100,10000,13-11-2024
77,Nadia,Masur Dal,9900,10100,10000,13-10-2024
78,Nadia,Masur Dal,9900,10100,10000,14-08-2024
79,Nadia,Masur Dal,9900,10100,10000,14-12-2024
80,Nadia,Masur Dal,9900,10100,10000,14-07-2024
81,Nadia,Masur Dal,9900,10100,10000,14-11-2024
82,Nadia,Masur Dal,9900,10100,10000,14-10-2024
83,Nadia,Masur Dal,9900,10100,10000,14-09-2024
84,Nadia,Masur Dal,9900,10100,10000,15-08-2024
85,Nadia,Masur Dal,9900,10100,10000,15-12-2024
86,Nadia,Masur Dal,9900,10100,10000,15-07-2024
87,Nadia,Masur Dal,9900,10100,10000,15-06-2024
88,Nadia,Masur Dal,9900,10100,10000,15-10-2024
89,Nadia,Masur Dal,9900,10100,10000,15-09-2024
90,Nadia,Masur Dal,9900,10100,10000,16-12-2024
91,Nadia,Masur Dal,9900,10100,10000,16-07-2024
92,Nadia,Masur Dal,9900,10100,10000,16-06-2024
93,Nadia,Masur Dal,9900,10100,10000,16-11-2024
94,Nadia,Masur Dal,9900,10100,10000,16-10-2024
95,Nadia,Masur Dal,9900,10100,10000,16-09-2024
96,Nadia,Masur Dal,9900,10100,10000,17-08-2024
97,Nadia,Masur Dal,9900,10100,10000,17-12-2024
98,Nadia,Masur Dal,9900,10100,10000,17-07-2024
99,Nadia,Masur Dal,9900,10100,10000,17-06-2024
100,Nadia,Masur Dal,9900,10100,10000,17-11-2024
101,Nadia,Masur Dal,9900,10100,10000,17-10-2024
102,Nadia,Masur Dal,9900,10100,10000,17-09-2024
103,Nadia,Masur Dal,9900,10100,10000,18-08-2024
104,Nadia,Masur Dal,9900,10100,10000,18-12-2024
105,Nadia,Masur Dal,9900,10100,10000,18-07-2024
106,Nadia,Masur Dal,9900,10100,10000,18-06-2024
