Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajnandgaon,Masur Dal,5000,5448,5400,31-05-2024
2,Rajnandgaon,Masur Dal,5460,5490,5480,30-06-2024
3,Rajnandgaon,Masur Dal,3151,3151,3151,05-12-2024
4,Rajnandgaon,Masur Dal,4500,4500,4500,08-11-2024
5,Rajnandgaon,Masur Dal,4601,5401,5000,21-12-2024
6,Rajnandgaon,Masur Dal,4801,5201,5001,30-12-2024
7,Rajnandgaon,Masur Dal,5000,5391,5195,28-12-2024
8,Rajnandgaon,Masur Dal,5100,5471,5285,26-12-2024
9,Rajnandgaon,Masur Dal,5200,5200,5200,07-12-2024
10,Rajnandgaon,Masur Dal,5250,5400,5325,20-11-2024
11,Rajnandgaon,Masur Dal,5321,5321,5321,31-12-2024
12,Rajnandgaon,Masur Dal,5350,5350,5350,12-12-2024
13,Rajnandgaon,Masur Dal,5350,5601,5475,09-12-2024
14,Rajnandgaon,Masur Dal,5400,5500,5450,24-10-2024
15,Rajnandgaon,Masur Dal,5500,5751,5625,20-12-2024
16,Rajnandgaon,Masur Dal,5501,5501,5501,30-11-2024
17,Rajnandgaon,Masur Dal,5560,5650,5605,25-10-2024
18,Rajnandgaon,Masur Dal,5600,5600,5600,25-11-2024
19,Rajnandgaon,Masur Dal,5600,5600,5600,26-11-2024
20,Rajnandgaon,Masur Dal,5600,5650,5625,19-11-2024
21,Rajnandgaon,Masur Dal,5600,5700,5650,19-12-2024
22,Rajnandgaon,Masur Dal,5601,5601,5601,02-12-2024
