Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Akola,Onion,400,1600,1300,15-04-2024
2,Akola,Onion,500,1500,1200,14-05-2024
3,Akola,Onion,500,1500,1200,15-05-2024
4,Akola,Onion,700,1300,1200,27-03-2024
5,Akola,Onion,700,1400,1200,25-05-2024
6,Akola,Onion,700,1400,1200,27-05-2024
7,Akola,Onion,700,1400,1200,28-05-2024
8,Akola,Onion,700,1400,1200,30-05-2024
9,Akola,Onion,700,1600,1200,17-05-2024
10,Akola,Onion,700,1600,1200,19-04-2024
11,Akola,Onion,700,1600,1300,31-05-2024
12,Akola,Onion,700,1700,1400,01-06-2024
13,Akola,Onion,700,2000,1400,03-06-2024
14,Akola,Onion,700,2000,1500,04-06-2024
15,Akola,Onion,800,1300,1000,30-01-2024
16,Akola,Onion,800,1300,1100,26-03-2024
17,Akola,Onion,800,1300,1200,23-03-2024
18,Akola,Onion,800,1400,1200,02-05-2024
19,Akola,Onion,800,1400,1200,11-05-2024
20,Akola,Onion,800,1400,1200,17-02-2024
21,Akola,Onion,800,1400,1200,21-03-2024
22,Akola,Onion,800,1400,1200,22-03-2024
23,Akola,Onion,800,1400,1200,24-04-2024
24,Akola,Onion,800,1400,1200,29-05-2024
25,Akola,Onion,800,1400,1200,31-01-2024
26,Akola,Onion,800,1500,1200,03-05-2024
27,Akola,Onion,800,1500,1200,04-05-2024
28,Akola,Onion,800,1500,1200,07-05-2024
29,Akola,Onion,800,1500,1200,08-05-2024
30,Akola,Onion,800,1500,1200,09-05-2024
31,Akola,Onion,800,1500,1200,12-02-2024
32,Akola,Onion,800,1500,1200,13-05-2024
33,Akola,Onion,800,1500,1200,14-02-2024
34,Akola,Onion,800,1500,1200,16-02-2024
35,Akola,Onion,800,1500,1300,28-03-2024
36,Akola,Onion,800,1600,1200,16-05-2024
37,Akola,Onion,800,1600,1200,18-05-2024
38,Akola,Onion,800,1600,1200,20-05-2024
39,Akola,Onion,800,1600,1200,21-05-2024
40,Akola,Onion,800,1600,1200,22-05-2024
41,Akola,Onion,800,1600,1200,24-05-2024
42,Akola,Onion,800,1600,1300,10-02-2024
43,Akola,Onion,800,1600,1300,13-04-2024
44,Akola,Onion,800,1600,1300,13-02-2024
45,Akola,Onion,800,1600,1300,15-02-2024
46,Akola,Onion,800,1600,1300,22-04-2024
47,Akola,Onion,800,1600,1300,29-01-2024
48,Akola,Onion,800,1600,1400,18-03-2024
49,Akola,Onion,800,1800,1200,06-05-2024
50,Akola,Onion,800,2000,1500,05-06-2024
51,Akola,Onion,800,2500,2000,26-12-2024
52,Akola,Onion,900,1600,1300,30-03-2024
53,Akola,Onion,1000,1400,1200,01-02-2024
54,Akola,Onion,1000,1500,1200,05-04-2024
55,Akola,Onion,1000,1500,1200,29-04-2024
56,Akola,Onion,1000,1500,1200,30-04-2024
57,Akola,Onion,1000,1500,1300,05-02-2024
58,Akola,Onion,1000,1600,1300,01-04-2024
59,Akola,Onion,1000,1600,1300,02-04-2024
60,Akola,Onion,1000,1600,1300,03-04-2024
61,Akola,Onion,1000,1600,1300,03-02-2024
62,Akola,Onion,1000,1600,1300,04-04-2024
63,Akola,Onion,1000,1600,1300,06-04-2024
64,Akola,Onion,1000,1600,1300,27-04-2024
65,Akola,Onion,1000,1600,1300,29-03-2024
66,Akola,Onion,1000,1600,1400,02-02-2024
67,Akola,Onion,1000,1600,1400,09-02-2024
68,Akola,Onion,1000,1600,1400,19-03-2024
69,Akola,Onion,1000,1600,1400,20-03-2024
70,Akola,Onion,1000,1600,1500,16-03-2024
