Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambala,Onion,800,900,850,04-04-2024
2,Ambala,Onion,1000,1200,1100,16-02-2024
3,Ambala,Onion,1000,1200,1200,15-02-2024
4,Ambala,Onion,1000,1300,1100,08-05-2024
5,Ambala,Onion,1000,1300,1100,25-05-2024
6,Ambala,Onion,1000,1300,1200,01-03-2024
7,Ambala,Onion,1000,1300,1200,04-05-2024
8,Ambala,Onion,1000,1300,1200,10-05-2024
9,Ambala,Onion,1000,1300,1200,11-05-2024
10,Ambala,Onion,1000,1300,1200,17-02-2024
11,Ambala,Onion,1000,1300,1200,17-05-2024
12,Ambala,Onion,1000,1300,1200,18-02-2024
13,Ambala,Onion,1000,1300,1200,18-05-2024
14,Ambala,Onion,1000,1300,1200,19-05-2024
15,Ambala,Onion,1000,1300,1200,20-02-2024
16,Ambala,Onion,1000,1300,1200,22-02-2024
17,Ambala,Onion,1000,1300,1200,24-05-2024
18,Ambala,Onion,1000,1300,1200,26-05-2024
19,Ambala,Onion,1000,1300,1200,28-05-2024
20,Ambala,Onion,1000,1300,1300,29-02-2024
21,Ambala,Onion,1000,1400,1100,08-06-2024
22,Ambala,Onion,1000,1400,1100,31-05-2024
23,Ambala,Onion,1000,1400,1200,06-06-2024
24,Ambala,Onion,1000,1400,1200,12-06-2024
25,Ambala,Onion,1000,1400,1200,23-02-2024
26,Ambala,Onion,1000,1400,1200,25-02-2024
27,Ambala,Onion,1000,1400,1200,29-05-2024
28,Ambala,Onion,1000,1500,1200,07-02-2024
29,Ambala,Onion,1000,1500,1200,09-02-2024
30,Ambala,Onion,1000,1500,1200,10-02-2024
31,Ambala,Onion,1000,1500,1200,13-02-2024
32,Ambala,Onion,1000,1600,1200,18-04-2024
33,Ambala,Onion,1000,1600,1200,24-02-2024
34,Ambala,Onion,1000,1600,1200,25-04-2024
35,Ambala,Onion,1000,1800,1200,11-06-2024
36,Ambala,Onion,1100,1500,1200,12-01-2024
37,Ambala,Onion,1100,1500,1200,16-01-2024
38,Ambala,Onion,1100,2300,1500,03-01-2024
39,Ambala,Onion,1100,2300,1800,02-01-2024
40,Ambala,Onion,1200,1400,1300,01-02-2024
41,Ambala,Onion,1200,1400,1400,06-02-2024
42,Ambala,Onion,1200,1500,1300,20-08-2024
43,Ambala,Onion,1200,1500,1400,04-01-2024
44,Ambala,Onion,1200,1500,1400,04-06-2024
45,Ambala,Onion,1200,1500,1400,05-01-2024
46,Ambala,Onion,1200,1500,1400,06-01-2024
47,Ambala,Onion,1200,1500,1400,07-01-2024
48,Ambala,Onion,1200,1500,1400,09-01-2024
49,Ambala,Onion,1200,1500,1400,11-01-2024
50,Ambala,Onion,1200,1500,1400,18-01-2024
51,Ambala,Onion,1200,1500,1400,22-04-2024
52,Ambala,Onion,1200,1500,1400,27-04-2024
53,Ambala,Onion,1200,1500,1400,28-04-2024
54,Ambala,Onion,1200,1500,1400,28-01-2024
55,Ambala,Onion,1200,1600,1400,02-06-2024
56,Ambala,Onion,1200,1600,1400,14-01-2024
57,Ambala,Onion,1200,1600,1400,17-01-2024
58,Ambala,Onion,1200,1600,1400,19-01-2024
59,Ambala,Onion,1200,1600,1500,08-03-2024
60,Ambala,Onion,1200,1700,1500,25-01-2024
61,Ambala,Onion,1200,1800,1500,03-02-2024
62,Ambala,Onion,1200,1800,1500,21-01-2024
63,Ambala,Onion,1200,1800,1500,26-01-2024
64,Ambala,Onion,1200,2200,1600,01-01-2025
65,Ambala,Onion,1200,2200,1800,31-12-2024
66,Ambala,Onion,1400,1500,1450,05-03-2024
67,Ambala,Onion,1400,1500,1450,10-03-2024
68,Ambala,Onion,1400,1500,1500,06-03-2024
69,Ambala,Onion,1400,1600,1500,04-02-2024
70,Ambala,Onion,1400,1700,1500,02-04-2024
71,Ambala,Onion,1400,1700,1500,28-03-2024
72,Ambala,Onion,1400,1700,1500,29-03-2024
73,Ambala,Onion,1400,1700,1500,30-03-2024
74,Ambala,Onion,1400,1800,1500,24-01-2024
75,Ambala,Onion,1400,2400,1500,17-03-2024
76,Ambala,Onion,1400,2400,1800,16-03-2024
77,Ambala,Onion,1400,2400,2000,13-03-2024
78,Ambala,Onion,1400,2400,2000,14-03-2024
79,Ambala,Onion,1400,2400,2000,20-03-2024
80,Ambala,Onion,1400,2400,2000,21-03-2024
81,Ambala,Onion,1500,1700,1600,06-04-2024
82,Ambala,Onion,1500,1700,1600,07-04-2024
83,Ambala,Onion,1500,1700,1600,09-04-2024
84,Ambala,Onion,1500,1700,1600,11-04-2024
85,Ambala,Onion,1500,1700,1600,12-04-2024
86,Ambala,Onion,1500,1800,1600,29-12-2024
87,Ambala,Onion,1500,2000,1800,25-12-2024
88,Ambala,Onion,1500,2200,1800,11-10-2024
89,Ambala,Onion,1500,2300,2000,19-06-2024
90,Ambala,Onion,1500,2300,2200,20-06-2024
91,Ambala,Onion,1500,2400,1800,21-06-2024
92,Ambala,Onion,1500,2400,1800,22-03-2024
93,Ambala,Onion,1500,2400,1800,26-06-2024
94,Ambala,Onion,1500,2400,2000,02-07-2024
