Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Barnala,Onion,800,1700,1250,07-02-2024
2,Barnala,Onion,900,1800,1350,04-03-2024
3,Barnala,Onion,900,2140,1525,25-01-2024
4,Barnala,Onion,900,2200,1550,16-01-2024
5,Barnala,Onion,950,1800,1375,30-01-2024
6,Barnala,Onion,1000,1500,1250,20-05-2024
7,Barnala,Onion,1000,1700,1250,30-04-2024
8,Barnala,Onion,1000,1700,1335,10-02-2024
9,Barnala,Onion,1000,1700,1350,03-05-2024
10,Barnala,Onion,1000,1800,1400,22-01-2024
11,Barnala,Onion,1000,2000,1500,29-02-2024
12,Barnala,Onion,1000,2200,1600,24-01-2024
13,Barnala,Onion,1100,1400,1250,31-05-2024
14,Barnala,Onion,1100,1500,1300,08-02-2024
15,Barnala,Onion,1100,1600,1350,13-02-2024
16,Barnala,Onion,1100,1700,1400,01-03-2024
17,Barnala,Onion,1100,1700,1400,05-02-2024
18,Barnala,Onion,1100,1800,1450,02-03-2024
19,Barnala,Onion,1100,1800,1450,25-04-2024
20,Barnala,Onion,1100,1900,1500,29-03-2024
21,Barnala,Onion,1100,2100,1600,25-03-2024
22,Barnala,Onion,1100,2200,1650,08-01-2024
23,Barnala,Onion,1150,1600,1375,11-05-2024
24,Barnala,Onion,1200,1400,1300,01-06-2024
25,Barnala,Onion,1200,1400,1300,02-02-2024
26,Barnala,Onion,1200,1500,1350,14-02-2024
27,Barnala,Onion,1200,1600,1400,13-05-2024
28,Barnala,Onion,1200,1600,1400,14-05-2024
29,Barnala,Onion,1200,1600,1400,15-02-2024
30,Barnala,Onion,1200,1600,1400,21-05-2024
31,Barnala,Onion,1200,1600,1400,25-05-2024
32,Barnala,Onion,1200,1600,1400,27-05-2024
33,Barnala,Onion,1200,1600,1400,30-05-2024
34,Barnala,Onion,1200,1600,1400,31-01-2024
35,Barnala,Onion,1200,1700,1450,03-02-2024
36,Barnala,Onion,1200,1700,1450,08-06-2024
37,Barnala,Onion,1200,1700,1450,10-04-2024
38,Barnala,Onion,1200,1700,1450,24-04-2024
39,Barnala,Onion,1200,1700,1450,26-04-2024
40,Barnala,Onion,1200,1700,1450,28-02-2024
41,Barnala,Onion,1200,1700,1450,29-04-2024
42,Barnala,Onion,1200,1800,1500,01-05-2024
43,Barnala,Onion,1200,1800,1500,04-05-2024
44,Barnala,Onion,1200,1800,1500,06-03-2024
45,Barnala,Onion,1200,1800,1500,07-06-2024
46,Barnala,Onion,1200,1800,1500,07-05-2024
47,Barnala,Onion,1200,1800,1500,16-04-2024
48,Barnala,Onion,1200,1800,1500,22-05-2024
49,Barnala,Onion,1200,1800,1500,26-03-2024
50,Barnala,Onion,1200,2000,1583,01-01-2024
51,Barnala,Onion,1200,2000,1600,11-03-2024
52,Barnala,Onion,1200,2000,1600,13-04-2024
53,Barnala,Onion,1200,2000,1600,19-04-2024
54,Barnala,Onion,1200,2000,1600,22-04-2024
55,Barnala,Onion,1200,2000,1600,22-03-2024
56,Barnala,Onion,1200,2000,1800,02-05-2024
57,Barnala,Onion,1200,2100,1650,09-03-2024
58,Barnala,Onion,1200,2100,1650,20-03-2024
59,Barnala,Onion,1200,2100,1650,31-03-2024
60,Barnala,Onion,1200,2200,1700,10-01-2024
61,Barnala,Onion,1300,1400,1350,11-04-2024
62,Barnala,Onion,1300,1500,1400,09-04-2024
63,Barnala,Onion,1300,1500,1400,22-02-2024
64,Barnala,Onion,1300,1600,1450,09-02-2024
65,Barnala,Onion,1300,1600,1450,10-05-2024
66,Barnala,Onion,1300,1600,1450,16-05-2024
67,Barnala,Onion,1300,1600,1450,18-05-2024
68,Barnala,Onion,1300,1600,1450,19-02-2024
69,Barnala,Onion,1300,1700,1500,06-02-2024
70,Barnala,Onion,1300,1700,1500,08-05-2024
71,Barnala,Onion,1300,1700,1500,17-05-2024
72,Barnala,Onion,1300,1700,1500,23-02-2024
73,Barnala,Onion,1300,1700,1500,27-04-2024
74,Barnala,Onion,1300,1800,1500,29-05-2024
75,Barnala,Onion,1300,1800,1550,01-02-2024
76,Barnala,Onion,1300,1800,1550,04-04-2024
77,Barnala,Onion,1300,1800,1550,06-04-2024
78,Barnala,Onion,1300,1800,1550,08-04-2024
79,Barnala,Onion,1300,1800,1550,15-04-2024
80,Barnala,Onion,1300,1800,1550,17-04-2024
81,Barnala,Onion,1300,1800,1550,27-03-2024
82,Barnala,Onion,1300,1860,1580,29-01-2024
83,Barnala,Onion,1300,1900,1600,12-04-2024
84,Barnala,Onion,1300,1900,1600,20-04-2024
85,Barnala,Onion,1300,1900,1600,28-03-2024
86,Barnala,Onion,1300,2000,1650,01-04-2024
87,Barnala,Onion,1300,2000,1650,06-05-2024
88,Barnala,Onion,1300,2000,1650,15-05-2024
89,Barnala,Onion,1300,2000,1650,19-03-2024
90,Barnala,Onion,1300,2000,1650,23-04-2024
91,Barnala,Onion,1300,2000,1650,23-01-2024
92,Barnala,Onion,1300,2000,1650,23-03-2024
93,Barnala,Onion,1300,2100,1700,16-03-2024
94,Barnala,Onion,1300,2100,1700,21-03-2024
95,Barnala,Onion,1300,2100,1700,27-01-2024
96,Barnala,Onion,1300,3000,2150,04-01-2024
97,Barnala,Onion,1350,2300,1825,03-01-2024
98,Barnala,Onion,1400,1700,1500,09-05-2024
99,Barnala,Onion,1400,1800,1600,28-12-2024
100,Barnala,Onion,1400,2000,1700,26-01-2024
101,Barnala,Onion,1400,2100,1750,08-03-2024
102,Barnala,Onion,1400,2100,1750,13-03-2024
103,Barnala,Onion,1400,2100,1750,18-03-2024
104,Barnala,Onion,1400,2200,1800,02-01-2024
105,Barnala,Onion,1400,2200,1800,15-03-2024
106,Barnala,Onion,1400,2200,1800,19-01-2024
107,Barnala,Onion,1440,2200,1800,14-03-2024
108,Barnala,Onion,1450,1700,1575,20-02-2024
109,Barnala,Onion,1450,2000,1725,06-01-2024
110,Barnala,Onion,1500,1700,1600,27-02-2024
111,Barnala,Onion,1500,2300,1900,17-01-2024
112,Barnala,Onion,1500,2400,1950,05-01-2024
113,Barnala,Onion,1600,1700,1650,21-02-2024
114,Barnala,Onion,1600,1800,1700,24-05-2024
115,Barnala,Onion,1600,1900,1750,05-03-2024
116,Barnala,Onion,1600,2200,1900,20-01-2024
117,Barnala,Onion,1600,2300,1950,01-01-2025
118,Barnala,Onion,1600,2300,1950,13-01-2024
119,Barnala,Onion,1600,2500,2050,18-01-2024
120,Barnala,Onion,1600,2600,2100,14-06-2024
121,Barnala,Onion,1600,2800,2200,17-06-2024
122,Barnala,Onion,1700,2000,1850,07-03-2024
123,Barnala,Onion,1700,2300,2000,15-01-2024
124,Barnala,Onion,1700,2600,2150,15-06-2024
125,Barnala,Onion,1800,2200,2000,12-03-2024
126,Barnala,Onion,1800,2200,2000,25-12-2024
127,Barnala,Onion,1800,2200,2000,26-12-2024
128,Barnala,Onion,1800,2300,2050,24-12-2024
129,Barnala,Onion,1800,3500,2650,25-06-2024
130,Barnala,Onion,1800,3900,2500,12-12-2024
131,Barnala,Onion,1800,4000,2900,11-12-2024
132,Barnala,Onion,1850,2600,2250,20-12-2024
133,Barnala,Onion,2000,2500,2250,11-01-2024
134,Barnala,Onion,2000,2500,2250,11-06-2024
135,Barnala,Onion,2000,2600,2300,18-06-2024
136,Barnala,Onion,2000,2600,2350,19-06-2024
137,Barnala,Onion,2000,2800,2400,20-06-2024
138,Barnala,Onion,2000,2800,2400,23-06-2024
139,Barnala,Onion,2000,3000,2500,29-06-2024
140,Barnala,Onion,2000,3000,2500,30-06-2024
141,Barnala,Onion,2000,3700,2850,06-12-2024
142,Barnala,Onion,2100,4000,3050,14-09-2024
143,Barnala,Onion,2200,3000,2600,02-07-2024
144,Barnala,Onion,2250,2326,2283,12-01-2024
145,Barnala,Onion,2300,3200,2750,10-07-2024
146,Barnala,Onion,2300,3200,2750,28-06-2024
147,Barnala,Onion,2300,3400,2850,20-08-2024
148,Barnala,Onion,2350,3000,2762,23-07-2024
149,Barnala,Onion,2400,3000,2700,05-07-2024
150,Barnala,Onion,2400,3000,2700,19-07-2024
151,Barnala,Onion,2400,3000,2750,22-06-2024
