Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhilwara,Onion,500,2000,1250,11-02-2024
2,Bhilwara,Onion,500,2000,1250,15-02-2024
3,Bhilwara,Onion,600,1500,1050,04-02-2024
4,Bhilwara,Onion,600,1500,1050,28-01-2024
5,Bhilwara,Onion,800,1600,1200,12-06-2024
6,Bhilwara,Onion,900,1600,1250,01-05-2024
7,Bhilwara,Onion,900,1600,1250,28-04-2024
8,Bhilwara,Onion,1000,1600,1300,04-06-2024
9,Bhilwara,Onion,1000,1600,1300,05-06-2024
10,Bhilwara,Onion,1000,1600,1300,06-06-2024
11,Bhilwara,Onion,1000,1600,1300,07-06-2024
12,Bhilwara,Onion,1000,1600,1300,08-06-2024
13,Bhilwara,Onion,1000,1600,1300,09-06-2024
14,Bhilwara,Onion,1000,1600,1300,10-06-2024
15,Bhilwara,Onion,1000,1600,1300,11-06-2024
16,Bhilwara,Onion,1000,1600,1300,17-06-2024
17,Bhilwara,Onion,1000,1600,1300,19-06-2024
18,Bhilwara,Onion,1000,1600,1300,19-05-2024
19,Bhilwara,Onion,1000,1600,1300,20-06-2024
20,Bhilwara,Onion,1000,1600,1300,21-06-2024
21,Bhilwara,Onion,1000,1600,1300,21-05-2024
22,Bhilwara,Onion,1000,1600,1300,22-06-2024
23,Bhilwara,Onion,1000,1600,1300,22-05-2024
24,Bhilwara,Onion,1000,1600,1300,23-06-2024
25,Bhilwara,Onion,1000,1600,1300,23-05-2024
26,Bhilwara,Onion,1000,1800,1400,05-05-2024
27,Bhilwara,Onion,1000,2000,1500,03-03-2024
28,Bhilwara,Onion,1000,2000,1500,18-02-2024
29,Bhilwara,Onion,1000,2000,1500,25-02-2024
30,Bhilwara,Onion,1200,1800,1500,12-05-2024
31,Bhilwara,Onion,1200,1800,1500,13-05-2024
32,Bhilwara,Onion,1200,1800,1500,24-05-2024
33,Bhilwara,Onion,1200,1800,1500,25-05-2024
34,Bhilwara,Onion,1200,1800,1500,26-01-2024
35,Bhilwara,Onion,1200,1800,1500,26-05-2024
36,Bhilwara,Onion,1200,1800,1500,27-05-2024
37,Bhilwara,Onion,1200,1800,1500,28-05-2024
38,Bhilwara,Onion,1200,1800,1500,30-05-2024
39,Bhilwara,Onion,1400,1800,1600,01-06-2024
40,Bhilwara,Onion,1400,1800,1600,02-06-2024
41,Bhilwara,Onion,1400,1800,1600,03-06-2024
42,Bhilwara,Onion,1400,1800,1600,31-05-2024
43,Bhilwara,Onion,1500,2000,1750,09-03-2024
44,Bhilwara,Onion,1500,2000,1750,10-03-2024
45,Bhilwara,Onion,1500,2000,1750,14-04-2024
46,Bhilwara,Onion,1500,2200,1850,14-01-2024
47,Bhilwara,Onion,1500,2200,1850,18-01-2024
48,Bhilwara,Onion,1500,2200,1850,19-01-2024
49,Bhilwara,Onion,1500,2200,1850,22-01-2024
50,Bhilwara,Onion,1500,2500,2000,01-01-2025
51,Bhilwara,Onion,1500,2500,2000,19-12-2024
52,Bhilwara,Onion,1500,2500,2000,20-12-2024
53,Bhilwara,Onion,1500,2500,2000,21-12-2024
54,Bhilwara,Onion,1500,2500,2000,22-12-2024
55,Bhilwara,Onion,1500,2500,2000,23-12-2024
56,Bhilwara,Onion,1500,2500,2000,25-12-2024
57,Bhilwara,Onion,1500,2500,2000,26-12-2024
58,Bhilwara,Onion,1500,2500,2000,27-12-2024
59,Bhilwara,Onion,1500,2500,2000,28-12-2024
60,Bhilwara,Onion,1500,2500,2000,29-12-2024
61,Bhilwara,Onion,1500,2500,2000,30-12-2024
62,Bhilwara,Onion,1500,2500,2000,31-12-2024
63,Bhilwara,Onion,1500,3000,2250,22-07-2024
64,Bhilwara,Onion,1500,3000,2250,23-07-2024
65,Bhilwara,Onion,1500,3000,2250,24-07-2024
66,Bhilwara,Onion,1500,3000,2250,25-07-2024
67,Bhilwara,Onion,1500,3000,2250,26-07-2024
68,Bhilwara,Onion,1500,3000,2250,27-07-2024
69,Bhilwara,Onion,1500,3000,2250,28-07-2024
70,Bhilwara,Onion,1500,3000,2250,30-07-2024
71,Bhilwara,Onion,1500,3000,2250,31-07-2024
72,Bhilwara,Onion,1600,2300,1950,21-04-2024
73,Bhilwara,Onion,1600,2300,1950,22-04-2024
74,Bhilwara,Onion,1600,2300,1950,26-04-2024
75,Bhilwara,Onion,1700,2200,1950,14-03-2024
76,Bhilwara,Onion,1700,2200,1950,17-03-2024
77,Bhilwara,Onion,1800,2200,2000,11-04-2024
78,Bhilwara,Onion,1800,2200,2000,24-03-2024
79,Bhilwara,Onion,1800,2300,2150,23-03-2024
80,Bhilwara,Onion,1800,2500,2150,22-03-2024
81,Bhilwara,Onion,1800,2500,2150,28-03-2024
82,Bhilwara,Onion,1800,2500,2190,25-03-2024
83,Bhilwara,Onion,2000,2500,2250,05-04-2024
84,Bhilwara,Onion,2000,3000,2500,02-08-2024
85,Bhilwara,Onion,2000,3000,2500,03-08-2024
86,Bhilwara,Onion,2000,3000,2500,04-08-2024
87,Bhilwara,Onion,2000,3000,2500,05-08-2024
88,Bhilwara,Onion,2000,3000,2500,06-08-2024
89,Bhilwara,Onion,2000,3000,2500,07-08-2024
90,Bhilwara,Onion,2000,3000,2500,09-08-2024
91,Bhilwara,Onion,2000,3000,2500,10-08-2024
92,Bhilwara,Onion,2000,3000,2500,11-08-2024
93,Bhilwara,Onion,2000,3300,2600,21-07-2024
94,Bhilwara,Onion,2000,3300,2650,09-07-2024
95,Bhilwara,Onion,2000,3300,2650,10-07-2024
96,Bhilwara,Onion,2000,3300,2650,11-07-2024
97,Bhilwara,Onion,2000,3300,2650,13-07-2024
98,Bhilwara,Onion,2000,3300,2650,14-07-2024
99,Bhilwara,Onion,2000,3300,2650,15-07-2024
100,Bhilwara,Onion,2000,3300,2650,17-07-2024
101,Bhilwara,Onion,2000,3300,2650,18-07-2024
102,Bhilwara,Onion,2000,3300,2650,19-07-2024
103,Bhilwara,Onion,2000,3500,2750,02-09-2024
104,Bhilwara,Onion,2000,3500,2750,03-09-2024
105,Bhilwara,Onion,2000,3500,2750,04-09-2024
106,Bhilwara,Onion,2000,3500,2750,05-09-2024
107,Bhilwara,Onion,2000,3500,2750,06-09-2024
108,Bhilwara,Onion,2000,3500,2750,07-09-2024
109,Bhilwara,Onion,2000,3500,2750,08-09-2024
110,Bhilwara,Onion,2000,3500,2750,21-08-2024
111,Bhilwara,Onion,2000,3500,2750,22-08-2024
112,Bhilwara,Onion,2000,3500,2750,23-08-2024
113,Bhilwara,Onion,2000,3500,2750,24-08-2024
114,Bhilwara,Onion,2000,3500,2750,26-08-2024
115,Bhilwara,Onion,2000,3500,2750,27-08-2024
116,Bhilwara,Onion,2000,3500,2750,28-08-2024
117,Bhilwara,Onion,2000,3500,2750,29-08-2024
118,Bhilwara,Onion,2000,3500,2750,30-08-2024
119,Bhilwara,Onion,2000,3500,2750,31-08-2024
120,Bhilwara,Onion,2500,3000,2750,25-08-2024
121,Bhilwara,Onion,2500,4000,3250,01-12-2024
122,Bhilwara,Onion,2500,4000,3250,02-12-2024
123,Bhilwara,Onion,2500,4000,3250,08-11-2024
124,Bhilwara,Onion,2500,4000,3250,09-11-2024
125,Bhilwara,Onion,2500,4000,3250,10-11-2024
126,Bhilwara,Onion,2500,4000,3250,11-11-2024
127,Bhilwara,Onion,2500,4000,3250,12-11-2024
128,Bhilwara,Onion,2500,4000,3250,13-08-2024
129,Bhilwara,Onion,2500,4000,3250,13-11-2024
130,Bhilwara,Onion,2500,4000,3250,15-08-2024
131,Bhilwara,Onion,2500,4000,3250,15-11-2024
132,Bhilwara,Onion,2500,4000,3250,16-11-2024
133,Bhilwara,Onion,2500,4000,3250,17-11-2024
134,Bhilwara,Onion,2500,4000,3250,18-11-2024
135,Bhilwara,Onion,2500,4000,3250,19-11-2024
136,Bhilwara,Onion,2500,4000,3250,20-11-2024
137,Bhilwara,Onion,2500,4000,3250,21-11-2024
138,Bhilwara,Onion,2500,4000,3250,22-11-2024
139,Bhilwara,Onion,2500,4000,3250,23-11-2024
140,Bhilwara,Onion,2500,4000,3250,24-11-2024
