Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chikmagalur,Onion,1500,2400,2000,12-08-2024
2,Chikmagalur,Onion,1500,2500,2200,22-08-2024
3,Chikmagalur,Onion,1800,2800,2300,06-11-2024
4,Chikmagalur,Onion,1800,2800,2400,16-10-2024
5,Chikmagalur,Onion,1800,2800,2400,26-10-2024
6,Chikmagalur,Onion,1800,2800,2400,29-10-2024
7,Chikmagalur,Onion,1800,3000,2000,19-09-2024
8,Chikmagalur,Onion,1900,3000,2500,02-11-2024
9,Chikmagalur,Onion,2000,2800,2400,05-10-2024
10,Chikmagalur,Onion,2000,2800,2400,09-11-2024
11,Chikmagalur,Onion,2000,3000,2200,13-08-2024
12,Chikmagalur,Onion,2000,3000,2200,21-08-2024
13,Chikmagalur,Onion,2000,3000,2500,08-09-2024
14,Chikmagalur,Onion,2000,3000,2500,10-08-2024
15,Chikmagalur,Onion,2000,3000,2500,14-10-2024
16,Chikmagalur,Onion,2000,3000,2600,12-11-2024
17,Chikmagalur,Onion,2200,3200,2800,30-09-2024
18,Chikmagalur,Onion,2200,3500,2600,12-09-2024
19,Chikmagalur,Onion,2400,3600,2800,16-12-2024
20,Chikmagalur,Onion,2500,3500,3000,14-11-2024
21,Chikmagalur,Onion,2500,3500,3000,20-11-2024
22,Chikmagalur,Onion,2500,3500,3000,24-09-2024
23,Chikmagalur,Onion,2500,3500,3000,28-12-2024
24,Chikmagalur,Onion,2500,3600,3000,16-11-2024
25,Chikmagalur,Onion,2500,4000,3200,21-12-2024
26,Chikmagalur,Onion,2500,4000,3400,09-12-2024
27,Chikmagalur,Onion,2800,4000,3400,31-08-2024
28,Chikmagalur,Onion,3000,4000,3400,19-12-2024
29,Chikmagalur,Onion,3000,4000,3400,30-12-2024
30,Chikmagalur,Onion,3000,4000,3500,03-12-2024
31,Chikmagalur,Onion,3000,4000,3500,04-12-2024
32,Chikmagalur,Onion,3000,4000,3500,14-12-2024
33,Chikmagalur,Onion,3000,4000,3500,17-12-2024
34,Chikmagalur,Onion,3000,4000,3600,23-12-2024
35,Chikmagalur,Onion,4000,7000,5000,18-11-2024
36,Chikmagalur,Onion,402,5002,4902,21-09-2024
37,Chikmagalur,Onion,823,2023,1923,07-02-2024
38,Chikmagalur,Onion,1203,1603,1403,13-02-2024
39,Chikmagalur,Onion,1359,1559,1459,22-03-2024
40,Chikmagalur,Onion,1495,1895,1695,17-02-2024
41,Chikmagalur,Onion,1587,1587,1587,16-02-2024
42,Chikmagalur,Onion,1588,1588,1588,03-02-2024
43,Chikmagalur,Onion,1652,2052,1852,21-02-2024
44,Chikmagalur,Onion,1673,1873,1773,14-02-2024
45,Chikmagalur,Onion,1678,1878,1778,19-02-2024
46,Chikmagalur,Onion,1696,1896,1796,09-02-2024
47,Chikmagalur,Onion,1702,1902,1802,27-02-2024
48,Chikmagalur,Onion,1730,1930,1830,05-04-2024
49,Chikmagalur,Onion,1732,1932,1832,08-04-2024
50,Chikmagalur,Onion,1745,1945,1845,30-03-2024
51,Chikmagalur,Onion,1752,1952,1852,06-04-2024
52,Chikmagalur,Onion,1752,1952,1852,06-03-2024
53,Chikmagalur,Onion,1752,1952,1852,19-04-2024
54,Chikmagalur,Onion,1752,1952,1852,20-03-2024
55,Chikmagalur,Onion,1754,1754,1754,15-02-2024
56,Chikmagalur,Onion,1755,1755,1755,20-02-2024
57,Chikmagalur,Onion,1775,1975,1875,25-03-2024
58,Chikmagalur,Onion,1787,1987,1887,24-05-2024
59,Chikmagalur,Onion,1787,1987,1887,27-05-2024
60,Chikmagalur,Onion,1794,1994,1894,22-05-2024
61,Chikmagalur,Onion,1802,1802,1802,02-04-2024
62,Chikmagalur,Onion,1802,1802,1802,14-05-2024
63,Chikmagalur,Onion,1802,1802,1802,28-03-2024
64,Chikmagalur,Onion,1805,2005,1905,03-05-2024
65,Chikmagalur,Onion,1805,2005,1905,06-05-2024
66,Chikmagalur,Onion,1805,2005,1905,15-04-2024
67,Chikmagalur,Onion,1805,2005,1905,15-03-2024
68,Chikmagalur,Onion,1805,2005,1905,31-01-2024
69,Chikmagalur,Onion,1807,2007,1907,11-03-2024
