Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hassan,Onion,2000,2000,2000,10-02-2024
2,Hassan,Onion,1000,1000,1000,03-12-2024
3,Hassan,Onion,1000,1000,1000,23-02-2024
4,Hassan,Onion,1000,1500,1500,10-02-2024
5,Hassan,Onion,1000,1800,1000,11-11-2024
6,Hassan,Onion,1100,1100,1100,09-01-2024
7,Hassan,Onion,1100,1100,1100,09-05-2024
8,Hassan,Onion,1100,1100,1100,18-01-2024
9,Hassan,Onion,1100,1100,1100,19-04-2024
10,Hassan,Onion,1359,1359,1359,04-10-2024
11,Hassan,Onion,1447,1447,1447,10-10-2024
12,Hassan,Onion,1500,1500,1500,07-10-2024
13,Hassan,Onion,1552,1552,1552,14-10-2024
14,Hassan,Onion,1600,1600,1600,02-03-2024
15,Hassan,Onion,1600,1600,1600,05-02-2024
16,Hassan,Onion,1600,1600,1600,08-05-2024
17,Hassan,Onion,1600,1600,1600,17-04-2024
18,Hassan,Onion,1600,1600,1600,25-07-2024
19,Hassan,Onion,1629,1629,1629,03-10-2024
20,Hassan,Onion,1722,1722,1722,01-10-2024
21,Hassan,Onion,1800,1800,1800,06-06-2024
22,Hassan,Onion,1900,1900,1900,18-12-2024
23,Hassan,Onion,2000,2000,2000,02-07-2024
24,Hassan,Onion,2000,2000,2000,03-07-2024
25,Hassan,Onion,2000,2000,2000,04-05-2024
26,Hassan,Onion,2000,2000,2000,11-06-2024
27,Hassan,Onion,2000,2000,2000,16-08-2024
28,Hassan,Onion,2000,2000,2000,18-07-2024
29,Hassan,Onion,2000,2000,2000,20-05-2024
30,Hassan,Onion,2000,2000,2000,31-05-2024
31,Hassan,Onion,2000,2100,2000,07-05-2024
32,Hassan,Onion,2000,3000,2000,31-07-2024
33,Hassan,Onion,2100,2100,2100,10-12-2024
34,Hassan,Onion,2100,2100,2100,25-10-2024
35,Hassan,Onion,2100,2100,2100,29-08-2024
36,Hassan,Onion,2100,2500,2100,17-09-2024
37,Hassan,Onion,2200,2200,2200,21-08-2024
38,Hassan,Onion,2500,2500,2500,15-10-2024
39,Hassan,Onion,2500,3000,2500,30-09-2024
40,Hassan,Onion,2636,2636,2636,19-11-2024
41,Hassan,Onion,3000,3000,3000,05-11-2024
42,Hassan,Onion,3000,3000,3000,16-12-2024
43,Hassan,Onion,3000,3000,3000,19-10-2024
44,Hassan,Onion,3000,5000,5000,09-09-2024
45,Hassan,Onion,3000,7000,3000,31-08-2024
46,Hassan,Onion,3500,3500,3500,24-06-2024
47,Hassan,Onion,4000,4000,4000,26-08-2024
48,Hassan,Onion,7000,7000,7000,16-11-2024
49,Hassan,Onion,7000,7000,7000,21-09-2024
50,Hassan,Onion,1200,1200,1200,01-02-2024
51,Hassan,Onion,1500,1500,1500,08-02-2024
52,Hassan,Onion,1700,1700,1700,13-02-2024
53,Hassan,Onion,1900,1960,1900,29-12-2024
54,Hassan,Onion,2500,2500,2500,28-01-2024
55,Hassan,Onion,2000,2000,2000,03-04-2024
56,Hassan,Onion,2000,2000,2000,13-03-2024
57,Hassan,Onion,2000,2000,2000,16-04-2024
58,Hassan,Onion,2000,2000,2000,18-08-2024
59,Hassan,Onion,2000,2000,2000,22-03-2024
60,Hassan,Onion,2000,2000,2000,28-08-2024
61,Hassan,Onion,2000,2000,2000,28-09-2024
62,Hassan,Onion,2000,2000,2000,30-08-2024
63,Hassan,Onion,2050,2050,2050,18-05-2024
64,Hassan,Onion,2050,2050,2050,23-05-2024
65,Hassan,Onion,2500,2500,2500,29-02-2024
66,Hassan,Onion,3000,3000,3000,04-07-2024
67,Hassan,Onion,3000,3000,3000,03-05-2024
68,Hassan,Onion,90,1600,1156,24-01-2024
69,Hassan,Onion,600,750,650,21-02-2024
70,Hassan,Onion,600,1100,1000,27-03-2024
71,Hassan,Onion,600,1400,800,13-03-2024
72,Hassan,Onion,600,1400,950,02-05-2024
73,Hassan,Onion,600,1800,1100,05-06-2024
74,Hassan,Onion,600,1800,1340,19-04-2024
75,Hassan,Onion,600,1800,1400,16-05-2024
76,Hassan,Onion,600,1800,1400,27-05-2024
77,Hassan,Onion,600,1900,1811,29-04-2024
78,Hassan,Onion,600,2100,1800,14-02-2024
79,Hassan,Onion,600,2200,1600,31-01-2024
80,Hassan,Onion,600,4500,1900,03-01-2024
81,Hassan,Onion,650,1100,850,20-03-2024
82,Hassan,Onion,800,897,850,01-02-2024
83,Hassan,Onion,800,1400,1100,17-04-2024
84,Hassan,Onion,800,1900,1350,06-06-2024
85,Hassan,Onion,900,1600,1100,15-05-2024
86,Hassan,Onion,900,1800,1200,22-05-2024
87,Hassan,Onion,900,1800,1400,18-04-2024
88,Hassan,Onion,900,2100,1400,08-05-2024
89,Hassan,Onion,900,2200,1350,17-01-2024
90,Hassan,Onion,900,3400,1600,24-07-2024
91,Hassan,Onion,918,2008,1340,07-02-2024
92,Hassan,Onion,1000,2400,1800,20-04-2024
93,Hassan,Onion,1000,5400,1800,03-10-2024
94,Hassan,Onion,1100,1800,1600,12-04-2024
95,Hassan,Onion,1200,2100,1800,01-08-2024
96,Hassan,Onion,1200,2600,1800,20-06-2024
97,Hassan,Onion,1200,2800,1700,21-08-2024
98,Hassan,Onion,1200,2800,1700,26-06-2024
99,Hassan,Onion,1200,3200,1600,20-07-2024
100,Hassan,Onion,1200,3200,1800,29-06-2024
101,Hassan,Onion,1200,3400,1300,18-07-2024
102,Hassan,Onion,1200,3500,1200,04-10-2024
103,Hassan,Onion,1200,3500,2500,28-10-2024
104,Hassan,Onion,1200,3600,3200,19-07-2024
105,Hassan,Onion,1200,4000,1800,28-08-2024
106,Hassan,Onion,1200,4300,2500,15-10-2024
107,Hassan,Onion,1200,4500,2063,09-10-2024
108,Hassan,Onion,1200,4500,3400,25-07-2024
109,Hassan,Onion,1272,1272,1272,21-03-2024
110,Hassan,Onion,1276,1276,1276,10-01-2024
111,Hassan,Onion,1346,1346,1346,03-05-2024
112,Hassan,Onion,1400,2600,1800,19-06-2024
113,Hassan,Onion,1400,2650,2100,21-06-2024
114,Hassan,Onion,1400,2800,1800,05-09-2024
115,Hassan,Onion,1573,1573,1573,14-03-2024
116,Hassan,Onion,1600,4500,3100,19-12-2024
117,Hassan,Onion,1633,1924,1824,30-01-2024
118,Hassan,Onion,1800,2900,2000,27-06-2024
119,Hassan,Onion,1840,1840,1840,31-05-2024
120,Hassan,Onion,1964,1964,1964,23-05-2024
121,Hassan,Onion,2000,2100,2050,22-02-2024
122,Hassan,Onion,2000,2800,2715,07-11-2024
123,Hassan,Onion,2000,4500,3200,28-09-2024
124,Hassan,Onion,2011,2011,2011,05-02-2024
125,Hassan,Onion,2123,2123,2123,15-02-2024
126,Hassan,Onion,2300,3400,2600,26-07-2024
127,Hassan,Onion,2300,4000,2500,12-09-2024
128,Hassan,Onion,2500,2500,2500,05-01-2024
129,Hassan,Onion,2500,2500,2500,11-01-2024
130,Hassan,Onion,2500,5800,2500,29-08-2024
131,Hassan,Onion,3000,4000,3500,05-07-2024
132,Hassan,Onion,3000,4500,4000,29-09-2024
133,Hassan,Onion,3207,3207,3207,10-09-2024
