Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalpaiguri,Onion,2100,2250,2200,21-05-2024
2,Jalpaiguri,Onion,2100,2300,2200,02-06-2024
3,Jalpaiguri,Onion,2100,2300,2200,03-06-2024
4,Jalpaiguri,Onion,2100,2300,2200,04-06-2024
5,Jalpaiguri,Onion,2100,2300,2200,13-05-2024
6,Jalpaiguri,Onion,2100,2300,2200,15-05-2024
7,Jalpaiguri,Onion,2100,2300,2200,16-05-2024
8,Jalpaiguri,Onion,2100,2300,2200,17-05-2024
9,Jalpaiguri,Onion,2100,2300,2200,20-05-2024
10,Jalpaiguri,Onion,2100,2300,2200,22-05-2024
11,Jalpaiguri,Onion,2100,2300,2200,24-05-2024
12,Jalpaiguri,Onion,2100,2300,2200,27-05-2024
13,Jalpaiguri,Onion,2100,2300,2200,28-05-2024
14,Jalpaiguri,Onion,2100,2300,2200,29-05-2024
15,Jalpaiguri,Onion,2100,2300,2200,30-05-2024
16,Jalpaiguri,Onion,2200,2350,2300,14-05-2024
17,Jalpaiguri,Onion,2200,2400,2300,05-06-2024
18,Jalpaiguri,Onion,2200,2400,2300,06-06-2024
19,Jalpaiguri,Onion,2200,2400,2300,07-06-2024
20,Jalpaiguri,Onion,2200,2400,2300,08-06-2024
21,Jalpaiguri,Onion,2200,2400,2300,09-06-2024
22,Jalpaiguri,Onion,2200,2400,2300,10-06-2024
23,Jalpaiguri,Onion,2400,2600,2500,11-06-2024
24,Jalpaiguri,Onion,2400,2600,2500,28-12-2024
25,Jalpaiguri,Onion,2500,2700,2600,27-12-2024
26,Jalpaiguri,Onion,2500,2700,2600,29-12-2024
27,Jalpaiguri,Onion,2500,2700,2600,30-12-2024
28,Jalpaiguri,Onion,2600,2800,2700,01-01-2025
29,Jalpaiguri,Onion,2600,2800,2700,24-12-2024
30,Jalpaiguri,Onion,2600,2800,2700,31-12-2024
31,Jalpaiguri,Onion,2700,2900,2800,12-06-2024
32,Jalpaiguri,Onion,2800,3000,2900,13-06-2024
33,Jalpaiguri,Onion,2800,3000,2900,14-06-2024
34,Jalpaiguri,Onion,2800,3000,2900,18-06-2024
35,Jalpaiguri,Onion,2800,3000,2900,19-06-2024
36,Jalpaiguri,Onion,2800,3000,2900,20-06-2024
37,Jalpaiguri,Onion,2800,3000,2900,23-12-2024
38,Jalpaiguri,Onion,3000,3200,3100,21-06-2024
39,Jalpaiguri,Onion,3100,3250,3200,23-06-2024
40,Jalpaiguri,Onion,3100,3250,3200,24-06-2024
41,Jalpaiguri,Onion,3100,3250,3200,26-06-2024
42,Jalpaiguri,Onion,3100,3300,3200,01-07-2024
43,Jalpaiguri,Onion,3100,3300,3200,27-06-2024
44,Jalpaiguri,Onion,3100,3300,3200,29-06-2024
45,Jalpaiguri,Onion,3150,3250,3200,25-06-2024
46,Jalpaiguri,Onion,3200,3300,3250,04-07-2024
47,Jalpaiguri,Onion,3200,3300,3250,28-06-2024
48,Jalpaiguri,Onion,3250,3300,3300,02-07-2024
49,Jalpaiguri,Onion,3250,3300,3300,03-07-2024
50,Jalpaiguri,Onion,3250,3300,3300,05-07-2024
51,Jalpaiguri,Onion,3250,3300,3300,06-07-2024
52,Jalpaiguri,Onion,3250,3300,3300,08-07-2024
53,Jalpaiguri,Onion,3400,3600,3500,01-08-2024
54,Jalpaiguri,Onion,3400,3600,3500,10-07-2024
55,Jalpaiguri,Onion,3400,3600,3500,15-12-2024
56,Jalpaiguri,Onion,3400,3600,3500,16-07-2024
57,Jalpaiguri,Onion,3400,3600,3500,18-07-2024
58,Jalpaiguri,Onion,3400,3600,3500,19-12-2024
59,Jalpaiguri,Onion,3400,3600,3500,20-12-2024
60,Jalpaiguri,Onion,3400,3600,3500,26-07-2024
61,Jalpaiguri,Onion,3500,3700,3600,02-08-2024
62,Jalpaiguri,Onion,3500,3700,3600,06-08-2024
63,Jalpaiguri,Onion,3500,3700,3600,07-08-2024
64,Jalpaiguri,Onion,3500,3700,3600,08-08-2024
65,Jalpaiguri,Onion,3500,3700,3600,09-08-2024
66,Jalpaiguri,Onion,3500,3700,3600,09-07-2024
67,Jalpaiguri,Onion,3500,3700,3600,10-08-2024
68,Jalpaiguri,Onion,3500,3700,3600,11-08-2024
69,Jalpaiguri,Onion,3500,3700,3600,11-07-2024
70,Jalpaiguri,Onion,3500,3700,3600,12-07-2024
71,Jalpaiguri,Onion,3500,3700,3600,15-07-2024
72,Jalpaiguri,Onion,3500,3700,3600,18-12-2024
73,Jalpaiguri,Onion,3500,3700,3600,19-07-2024
74,Jalpaiguri,Onion,3500,3700,3600,20-07-2024
75,Jalpaiguri,Onion,3500,3700,3600,21-07-2024
76,Jalpaiguri,Onion,3500,3700,3600,22-07-2024
77,Jalpaiguri,Onion,3500,3700,3600,23-07-2024
78,Jalpaiguri,Onion,3500,3700,3600,24-07-2024
79,Jalpaiguri,Onion,3500,3700,3600,25-07-2024
80,Jalpaiguri,Onion,3500,3700,3600,27-07-2024
81,Jalpaiguri,Onion,3500,3700,3600,28-07-2024
82,Jalpaiguri,Onion,3500,3700,3600,29-07-2024
83,Jalpaiguri,Onion,3500,3700,3600,30-07-2024
84,Jalpaiguri,Onion,3500,3700,3600,31-07-2024
85,Jalpaiguri,Onion,3600,3800,3700,16-12-2024
86,Jalpaiguri,Onion,3900,4100,4000,12-08-2024
87,Jalpaiguri,Onion,4000,4200,4100,14-12-2024
88,Jalpaiguri,Onion,4200,4300,4300,24-08-2024
89,Jalpaiguri,Onion,4200,4400,4300,20-08-2024
90,Jalpaiguri,Onion,4200,4400,4300,21-08-2024
91,Jalpaiguri,Onion,4200,4400,4300,22-08-2024
92,Jalpaiguri,Onion,4200,4400,4300,23-08-2024
93,Jalpaiguri,Onion,4300,4400,4400,25-08-2024
94,Jalpaiguri,Onion,4300,4400,4400,26-08-2024
95,Jalpaiguri,Onion,4300,4500,4400,02-09-2024
96,Jalpaiguri,Onion,4300,4500,4400,05-09-2024
97,Jalpaiguri,Onion,4300,4500,4400,13-08-2024
98,Jalpaiguri,Onion,4300,4500,4400,14-08-2024
99,Jalpaiguri,Onion,4300,4500,4400,15-08-2024
100,Jalpaiguri,Onion,4300,4500,4400,16-08-2024
101,Jalpaiguri,Onion,4300,4500,4400,17-08-2024
102,Jalpaiguri,Onion,4300,4500,4400,18-08-2024
103,Jalpaiguri,Onion,4300,4500,4400,19-08-2024
104,Jalpaiguri,Onion,4300,4500,4400,27-08-2024
105,Jalpaiguri,Onion,4300,4500,4400,28-08-2024
106,Jalpaiguri,Onion,4300,4500,4400,29-08-2024
107,Jalpaiguri,Onion,4300,4500,4400,30-08-2024
108,Jalpaiguri,Onion,4300,4600,4400,03-09-2024
109,Jalpaiguri,Onion,4300,4600,4500,04-09-2024
110,Jalpaiguri,Onion,4400,4600,4500,23-10-2024
111,Jalpaiguri,Onion,4400,4800,4600,06-09-2024
112,Jalpaiguri,Onion,4400,4800,4600,09-09-2024
113,Jalpaiguri,Onion,4400,4800,4600,10-09-2024
114,Jalpaiguri,Onion,4400,4800,4600,11-09-2024
115,Jalpaiguri,Onion,4400,4800,4600,12-09-2024
116,Jalpaiguri,Onion,4400,4800,4600,13-09-2024
117,Jalpaiguri,Onion,4400,4800,4600,16-09-2024
118,Jalpaiguri,Onion,4500,4700,4600,05-11-2024
119,Jalpaiguri,Onion,4500,4700,4600,06-11-2024
120,Jalpaiguri,Onion,4500,4700,4600,24-10-2024
121,Jalpaiguri,Onion,4500,4700,4600,25-10-2024
