Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mayurbhanja,Onion,2300,2400,2300,06-02-2024
2,Mayurbhanja,Onion,2300,2400,2300,09-02-2024
3,Mayurbhanja,Onion,2300,2600,2500,26-02-2024
4,Mayurbhanja,Onion,2400,2500,2400,01-05-2024
5,Mayurbhanja,Onion,2400,2500,2400,02-02-2024
6,Mayurbhanja,Onion,2400,2500,2400,02-05-2024
7,Mayurbhanja,Onion,2400,2500,2400,03-05-2024
8,Mayurbhanja,Onion,2400,2500,2400,04-05-2024
9,Mayurbhanja,Onion,2400,2500,2400,05-02-2024
10,Mayurbhanja,Onion,2400,2500,2400,05-06-2024
11,Mayurbhanja,Onion,2400,2500,2400,06-06-2024
12,Mayurbhanja,Onion,2400,2500,2400,06-05-2024
13,Mayurbhanja,Onion,2400,2500,2400,07-02-2024
14,Mayurbhanja,Onion,2400,2500,2400,07-05-2024
15,Mayurbhanja,Onion,2400,2500,2400,08-02-2024
16,Mayurbhanja,Onion,2400,2500,2400,09-05-2024
17,Mayurbhanja,Onion,2400,2500,2400,10-02-2024
18,Mayurbhanja,Onion,2400,2500,2400,12-04-2024
19,Mayurbhanja,Onion,2400,2500,2400,13-05-2024
20,Mayurbhanja,Onion,2400,2500,2400,15-04-2024
21,Mayurbhanja,Onion,2400,2500,2400,16-04-2024
22,Mayurbhanja,Onion,2400,2500,2400,16-02-2024
23,Mayurbhanja,Onion,2400,2500,2400,16-05-2024
24,Mayurbhanja,Onion,2400,2500,2400,17-05-2024
25,Mayurbhanja,Onion,2400,2500,2400,18-04-2024
26,Mayurbhanja,Onion,2400,2500,2400,19-04-2024
27,Mayurbhanja,Onion,2400,2500,2400,19-02-2024
28,Mayurbhanja,Onion,2400,2500,2400,20-04-2024
29,Mayurbhanja,Onion,2400,2500,2400,21-04-2024
30,Mayurbhanja,Onion,2400,2500,2400,23-04-2024
31,Mayurbhanja,Onion,2400,2500,2400,23-05-2024
32,Mayurbhanja,Onion,2400,2500,2400,24-04-2024
33,Mayurbhanja,Onion,2400,2500,2400,24-05-2024
34,Mayurbhanja,Onion,2400,2500,2400,25-05-2024
35,Mayurbhanja,Onion,2400,2500,2400,27-05-2024
36,Mayurbhanja,Onion,2400,2500,2400,28-05-2024
37,Mayurbhanja,Onion,2400,2500,2400,29-05-2024
38,Mayurbhanja,Onion,2400,2500,2400,30-04-2024
39,Mayurbhanja,Onion,2400,2500,2500,01-03-2024
40,Mayurbhanja,Onion,2400,2500,2500,02-04-2024
41,Mayurbhanja,Onion,2400,2500,2500,03-02-2024
42,Mayurbhanja,Onion,2400,2500,2500,07-06-2024
43,Mayurbhanja,Onion,2400,2500,2500,09-04-2024
44,Mayurbhanja,Onion,2400,2500,2500,10-04-2024
45,Mayurbhanja,Onion,2400,2500,2500,10-05-2024
46,Mayurbhanja,Onion,2400,2500,2500,11-04-2024
47,Mayurbhanja,Onion,2400,2500,2500,11-05-2024
48,Mayurbhanja,Onion,2400,2500,2500,12-05-2024
49,Mayurbhanja,Onion,2400,2500,2500,13-02-2024
50,Mayurbhanja,Onion,2400,2500,2500,14-04-2024
51,Mayurbhanja,Onion,2400,2500,2500,14-05-2024
52,Mayurbhanja,Onion,2400,2500,2500,15-02-2024
53,Mayurbhanja,Onion,2400,2500,2500,18-05-2024
54,Mayurbhanja,Onion,2400,2500,2500,19-05-2024
55,Mayurbhanja,Onion,2400,2500,2500,20-05-2024
56,Mayurbhanja,Onion,2400,2500,2500,22-05-2024
57,Mayurbhanja,Onion,2400,2500,2500,25-04-2024
58,Mayurbhanja,Onion,2400,2500,2500,26-05-2024
59,Mayurbhanja,Onion,2400,2500,2500,27-02-2024
60,Mayurbhanja,Onion,2400,2600,2500,02-03-2024
61,Mayurbhanja,Onion,2400,2600,2500,03-03-2024
62,Mayurbhanja,Onion,2400,2600,2500,28-02-2024
63,Mayurbhanja,Onion,2500,2500,2500,03-06-2024
64,Mayurbhanja,Onion,2500,2500,2500,05-04-2024
65,Mayurbhanja,Onion,2500,2500,2500,05-05-2024
66,Mayurbhanja,Onion,2500,2500,2500,11-02-2024
67,Mayurbhanja,Onion,2500,2500,2500,13-04-2024
68,Mayurbhanja,Onion,2500,2500,2500,14-02-2024
69,Mayurbhanja,Onion,2500,2500,2500,15-05-2024
70,Mayurbhanja,Onion,2500,2500,2500,17-02-2024
71,Mayurbhanja,Onion,2500,2500,2500,18-02-2024
72,Mayurbhanja,Onion,2500,2600,2500,01-02-2024
73,Mayurbhanja,Onion,2500,2600,2500,06-04-2024
74,Mayurbhanja,Onion,2500,2600,2500,06-03-2024
75,Mayurbhanja,Onion,2500,2600,2500,07-04-2024
76,Mayurbhanja,Onion,2500,2600,2500,07-03-2024
77,Mayurbhanja,Onion,2500,2600,2500,11-03-2024
78,Mayurbhanja,Onion,2500,2600,2500,12-03-2024
79,Mayurbhanja,Onion,2500,2600,2500,14-03-2024
80,Mayurbhanja,Onion,2500,2600,2500,24-02-2024
81,Mayurbhanja,Onion,2500,2600,2500,25-02-2024
82,Mayurbhanja,Onion,2500,2700,2500,03-04-2024
83,Mayurbhanja,Onion,2500,2700,2500,04-04-2024
84,Mayurbhanja,Onion,2500,2700,2500,04-03-2024
85,Mayurbhanja,Onion,2500,2700,2500,08-03-2024
86,Mayurbhanja,Onion,2500,2700,2500,09-03-2024
87,Mayurbhanja,Onion,2500,2700,2500,10-03-2024
88,Mayurbhanja,Onion,2500,2800,2700,13-03-2024
89,Mayurbhanja,Onion,2500,2800,2700,15-03-2024
90,Mayurbhanja,Onion,2600,2700,2600,16-03-2024
91,Mayurbhanja,Onion,2600,2700,2600,17-03-2024
92,Mayurbhanja,Onion,2600,2700,2600,18-03-2024
93,Mayurbhanja,Onion,2600,2700,2600,19-03-2024
94,Mayurbhanja,Onion,2600,2700,2600,20-03-2024
95,Mayurbhanja,Onion,2600,2700,2600,26-01-2024
96,Mayurbhanja,Onion,2600,2800,2700,08-06-2024
97,Mayurbhanja,Onion,2600,2800,2700,09-06-2024
98,Mayurbhanja,Onion,2600,2800,2700,17-01-2024
99,Mayurbhanja,Onion,2600,2800,2700,18-01-2024
100,Mayurbhanja,Onion,2600,2800,2700,21-03-2024
101,Mayurbhanja,Onion,2700,2800,2700,10-06-2024
102,Mayurbhanja,Onion,2700,2800,2700,19-01-2024
103,Mayurbhanja,Onion,2700,2800,2700,20-02-2024
104,Mayurbhanja,Onion,2700,2800,2700,21-02-2024
105,Mayurbhanja,Onion,2700,2800,2700,21-01-2024
106,Mayurbhanja,Onion,2700,2800,2700,22-02-2024
107,Mayurbhanja,Onion,2700,2800,2700,22-01-2024
108,Mayurbhanja,Onion,2700,2800,2700,22-03-2024
109,Mayurbhanja,Onion,2700,2800,2700,23-03-2024
110,Mayurbhanja,Onion,2700,2800,2700,24-03-2024
111,Mayurbhanja,Onion,2700,2800,2700,25-03-2024
112,Mayurbhanja,Onion,2700,2800,2700,27-01-2024
113,Mayurbhanja,Onion,2700,2800,2700,28-01-2024
114,Mayurbhanja,Onion,2700,2800,2700,29-01-2024
115,Mayurbhanja,Onion,2700,2800,2700,30-01-2024
116,Mayurbhanja,Onion,2700,2800,2700,31-01-2024
117,Mayurbhanja,Onion,2700,2800,2700,31-05-2024
118,Mayurbhanja,Onion,2700,2900,2800,23-01-2024
119,Mayurbhanja,Onion,2700,2900,2800,26-03-2024
120,Mayurbhanja,Onion,2700,2900,2800,27-03-2024
121,Mayurbhanja,Onion,2800,2900,2800,01-01-2024
122,Mayurbhanja,Onion,2800,2900,2800,02-01-2024
123,Mayurbhanja,Onion,2800,2900,2800,04-01-2024
124,Mayurbhanja,Onion,2800,2900,2800,12-01-2024
125,Mayurbhanja,Onion,2800,2900,2800,16-01-2024
126,Mayurbhanja,Onion,2800,2900,2800,20-01-2024
127,Mayurbhanja,Onion,2800,2900,2800,28-03-2024
128,Mayurbhanja,Onion,2800,2900,2900,15-01-2024
129,Mayurbhanja,Onion,2800,3000,2900,09-01-2024
130,Mayurbhanja,Onion,2800,3200,2800,03-01-2024
131,Mayurbhanja,Onion,2800,3200,2900,23-02-2024
132,Mayurbhanja,Onion,2900,3000,2900,05-01-2024
133,Mayurbhanja,Onion,2900,3000,2900,07-01-2024
134,Mayurbhanja,Onion,2900,3000,2900,11-01-2024
135,Mayurbhanja,Onion,2900,3000,3000,06-01-2024
136,Mayurbhanja,Onion,2900,3000,3000,08-01-2024
137,Mayurbhanja,Onion,2900,3200,2900,10-01-2024
138,Mayurbhanja,Onion,3200,3400,3300,26-12-2024
139,Mayurbhanja,Onion,3300,3400,3300,14-06-2024
140,Mayurbhanja,Onion,3300,3400,3300,15-06-2024
141,Mayurbhanja,Onion,3300,3400,3300,16-06-2024
142,Mayurbhanja,Onion,3300,3400,3300,17-06-2024
143,Mayurbhanja,Onion,3300,3400,3300,19-06-2024
144,Mayurbhanja,Onion,3300,3400,3300,20-06-2024
145,Mayurbhanja,Onion,3300,3400,3300,21-06-2024
146,Mayurbhanja,Onion,3300,3400,3300,23-06-2024
147,Mayurbhanja,Onion,3300,3400,3300,24-06-2024
148,Mayurbhanja,Onion,3300,3400,3400,11-06-2024
149,Mayurbhanja,Onion,3300,3400,3400,12-06-2024
150,Mayurbhanja,Onion,3300,3400,3400,22-06-2024
151,Mayurbhanja,Onion,3300,3500,3400,18-06-2024
152,Mayurbhanja,Onion,3800,3900,3800,09-07-2024
153,Mayurbhanja,Onion,3800,3900,3800,12-07-2024
154,Mayurbhanja,Onion,3900,4000,3900,02-07-2024
155,Mayurbhanja,Onion,3900,4000,3900,11-08-2024
156,Mayurbhanja,Onion,3900,4000,3900,12-08-2024
157,Mayurbhanja,Onion,3900,4000,3900,16-07-2024
158,Mayurbhanja,Onion,3900,4000,3900,18-07-2024
159,Mayurbhanja,Onion,3900,4000,3900,19-07-2024
160,Mayurbhanja,Onion,3900,4000,3900,20-07-2024
161,Mayurbhanja,Onion,3900,4000,3900,21-07-2024
162,Mayurbhanja,Onion,3900,4000,3900,23-07-2024
163,Mayurbhanja,Onion,3900,4000,3900,24-07-2024
164,Mayurbhanja,Onion,3900,4000,3900,25-06-2024
165,Mayurbhanja,Onion,3900,4000,3900,26-06-2024
166,Mayurbhanja,Onion,3900,4000,3900,28-06-2024
167,Mayurbhanja,Onion,3900,4000,3900,29-07-2024
168,Mayurbhanja,Onion,3900,4000,4000,01-08-2024
169,Mayurbhanja,Onion,3900,4000,4000,01-07-2024
170,Mayurbhanja,Onion,3900,4000,4000,02-08-2024
171,Mayurbhanja,Onion,3900,4000,4000,04-08-2024
172,Mayurbhanja,Onion,3900,4000,4000,06-08-2024
173,Mayurbhanja,Onion,3900,4000,4000,07-08-2024
174,Mayurbhanja,Onion,3900,4000,4000,08-08-2024
175,Mayurbhanja,Onion,3900,4000,4000,08-07-2024
176,Mayurbhanja,Onion,3900,4000,4000,11-07-2024
177,Mayurbhanja,Onion,3900,4000,4000,13-07-2024
178,Mayurbhanja,Onion,3900,4000,4000,14-07-2024
179,Mayurbhanja,Onion,3900,4000,4000,17-07-2024
180,Mayurbhanja,Onion,3900,4000,4000,22-07-2024
181,Mayurbhanja,Onion,3900,4000,4000,25-07-2024
182,Mayurbhanja,Onion,3900,4000,4000,26-07-2024
183,Mayurbhanja,Onion,3900,4000,4000,27-07-2024
184,Mayurbhanja,Onion,3900,4000,4000,27-06-2024
185,Mayurbhanja,Onion,3900,4000,4000,28-07-2024
186,Mayurbhanja,Onion,3900,4000,4000,29-06-2024
187,Mayurbhanja,Onion,3900,4000,4000,30-06-2024
188,Mayurbhanja,Onion,3900,4000,4000,31-07-2024
189,Mayurbhanja,Onion,3900,4100,4000,10-08-2024
190,Mayurbhanja,Onion,4000,4000,4000,03-08-2024
191,Mayurbhanja,Onion,4000,4000,4000,05-08-2024
192,Mayurbhanja,Onion,4000,4000,4000,10-07-2024
193,Mayurbhanja,Onion,4000,4000,4000,15-07-2024
194,Mayurbhanja,Onion,4000,4200,4000,09-08-2024
195,Mayurbhanja,Onion,4400,4500,4400,15-08-2024
196,Mayurbhanja,Onion,4400,4500,4400,18-08-2024
197,Mayurbhanja,Onion,4400,4500,4500,16-08-2024
198,Mayurbhanja,Onion,4400,4500,4500,17-08-2024
199,Mayurbhanja,Onion,4500,4600,4500,21-12-2024
200,Mayurbhanja,Onion,4500,4600,4500,30-12-2024
201,Mayurbhanja,Onion,4500,4700,4500,28-12-2024
202,Mayurbhanja,Onion,4500,4700,4500,31-12-2024
203,Mayurbhanja,Onion,4500,4700,4600,19-12-2024
204,Mayurbhanja,Onion,4500,4700,4600,24-12-2024
205,Mayurbhanja,Onion,4500,4700,4600,27-12-2024
206,Mayurbhanja,Onion,4500,4800,4700,20-12-2024
207,Mayurbhanja,Onion,4600,4700,4600,25-12-2024
208,Mayurbhanja,Onion,4600,4800,4700,22-12-2024
209,Mayurbhanja,Onion,4600,4800,4700,29-12-2024
210,Mayurbhanja,Onion,4700,4800,4700,06-12-2024
211,Mayurbhanja,Onion,4700,4800,4700,11-12-2024
212,Mayurbhanja,Onion,4700,4800,4700,23-12-2024
213,Mayurbhanja,Onion,4700,4900,4800,07-12-2024
214,Mayurbhanja,Onion,4700,4900,4800,13-12-2024
215,Mayurbhanja,Onion,4700,4900,4800,17-12-2024
216,Mayurbhanja,Onion,4700,4900,4800,19-08-2024
217,Mayurbhanja,Onion,4700,4900,4800,23-08-2024
218,Mayurbhanja,Onion,4800,4900,4800,08-12-2024
219,Mayurbhanja,Onion,4800,4900,4800,09-12-2024
220,Mayurbhanja,Onion,4800,4900,4800,18-10-2024
221,Mayurbhanja,Onion,4800,4900,4800,19-10-2024
222,Mayurbhanja,Onion,4800,4900,4800,20-08-2024
223,Mayurbhanja,Onion,4800,4900,4800,22-08-2024
