Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mohali,Onion,0,3000,3000,17-08-2024
2,Mohali,Onion,0,4000,3000,13-09-2024
3,Mohali,Onion,0,4000,4000,14-09-2024
4,Mohali,Onion,0,5000,4000,14-10-2024
5,Mohali,Onion,0,5000,5000,03-10-2024
6,Mohali,Onion,0,5009,3099,02-10-2024
7,Mohali,Onion,0,5009,4090,13-10-2024
8,Mohali,Onion,1000,1500,1000,19-06-2024
9,Mohali,Onion,1000,2000,1000,01-07-2024
10,Mohali,Onion,1000,2000,1000,18-06-2024
11,Mohali,Onion,1000,2000,1500,06-06-2024
12,Mohali,Onion,1000,2000,1500,07-06-2024
13,Mohali,Onion,1000,2000,1500,09-06-2024
14,Mohali,Onion,1000,2000,1500,14-06-2024
15,Mohali,Onion,1000,2000,1500,15-06-2024
16,Mohali,Onion,1000,2000,1500,16-06-2024
17,Mohali,Onion,1000,2000,1500,17-06-2024
18,Mohali,Onion,1000,2000,1500,22-06-2024
19,Mohali,Onion,1000,3000,2000,07-07-2024
20,Mohali,Onion,1000,3000,2000,12-07-2024
21,Mohali,Onion,1000,3000,2000,16-08-2024
22,Mohali,Onion,1000,3000,2000,23-07-2024
23,Mohali,Onion,1000,3000,2500,13-06-2024
24,Mohali,Onion,1500,2000,1500,01-06-2024
25,Mohali,Onion,1500,2000,1500,02-06-2024
26,Mohali,Onion,1500,2000,1500,03-06-2024
27,Mohali,Onion,1500,2000,1500,04-06-2024
28,Mohali,Onion,1500,2000,1500,06-08-2024
29,Mohali,Onion,1500,2000,1500,10-06-2024
30,Mohali,Onion,1500,2000,1500,11-06-2024
31,Mohali,Onion,1500,2000,1500,29-06-2024
32,Mohali,Onion,1500,2000,1500,29-05-2024
33,Mohali,Onion,1500,2000,1500,30-05-2024
34,Mohali,Onion,1500,2000,1500,31-05-2024
35,Mohali,Onion,1500,2000,2000,20-06-2024
36,Mohali,Onion,1500,2000,2000,21-06-2024
37,Mohali,Onion,1500,2000,2000,24-07-2024
38,Mohali,Onion,1500,2000,2000,26-06-2024
39,Mohali,Onion,1500,2000,2000,27-06-2024
40,Mohali,Onion,1500,2000,2000,28-06-2024
41,Mohali,Onion,1500,3000,2000,03-07-2024
42,Mohali,Onion,1500,3000,2000,07-08-2024
43,Mohali,Onion,1500,3000,2000,10-09-2024
44,Mohali,Onion,1500,3000,2000,12-08-2024
45,Mohali,Onion,1500,3000,2000,21-08-2024
46,Mohali,Onion,1500,3000,2000,23-06-2024
47,Mohali,Onion,1500,3000,2000,25-07-2024
48,Mohali,Onion,1500,3000,2000,30-07-2024
49,Mohali,Onion,1500,3000,2500,04-07-2024
50,Mohali,Onion,1500,3000,2500,09-07-2024
51,Mohali,Onion,1500,3000,2500,14-08-2024
52,Mohali,Onion,1500,3000,2500,24-06-2024
53,Mohali,Onion,1500,3000,2500,25-06-2024
54,Mohali,Onion,1500,3000,2500,27-07-2024
55,Mohali,Onion,1500,3000,3000,23-08-2024
56,Mohali,Onion,1500,3000,3000,30-08-2024
57,Mohali,Onion,1500,3500,2000,02-07-2024
58,Mohali,Onion,1500,3500,2500,01-08-2024
59,Mohali,Onion,1500,3500,2500,06-07-2024
60,Mohali,Onion,1500,3500,2500,08-08-2024
61,Mohali,Onion,1500,3500,2500,10-07-2024
62,Mohali,Onion,1500,3500,2500,14-07-2024
63,Mohali,Onion,1500,3500,2500,15-07-2024
64,Mohali,Onion,1500,3500,2500,28-07-2024
