Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Raigarh,Onion,320,4000,3600,23-11-2024
2,Raigarh,Onion,1900,2350,2125,13-12-2024
3,Raigarh,Onion,2000,2500,2250,27-12-2024
4,Raigarh,Onion,2000,2500,2250,30-12-2024
5,Raigarh,Onion,2000,3000,2500,31-12-2024
6,Raigarh,Onion,2200,2400,2300,28-12-2024
7,Raigarh,Onion,2200,2600,2400,29-12-2024
8,Raigarh,Onion,2200,3000,2900,21-12-2024
9,Raigarh,Onion,2300,3500,2900,22-12-2024
10,Raigarh,Onion,2400,3200,2800,26-12-2024
11,Raigarh,Onion,2400,3400,2900,25-12-2024
12,Raigarh,Onion,2400,3600,3000,20-12-2024
13,Raigarh,Onion,2600,3600,3100,18-12-2024
14,Raigarh,Onion,2600,3600,3100,19-12-2024
15,Raigarh,Onion,2800,3200,3000,14-12-2024
16,Raigarh,Onion,3000,3200,3100,17-12-2024
17,Raigarh,Onion,3000,3400,3200,15-12-2024
18,Raigarh,Onion,3000,4000,3500,03-12-2024
19,Raigarh,Onion,3000,4000,3500,05-12-2024
20,Raigarh,Onion,3000,4000,3500,25-11-2024
21,Raigarh,Onion,3000,4000,3500,26-11-2024
22,Raigarh,Onion,3000,4000,3500,27-11-2024
23,Raigarh,Onion,3100,3700,3400,28-11-2024
24,Raigarh,Onion,3200,3800,3500,08-12-2024
25,Raigarh,Onion,3200,3800,3500,10-12-2024
26,Raigarh,Onion,3200,3800,3500,14-11-2024
27,Raigarh,Onion,3200,3800,3500,24-11-2024
28,Raigarh,Onion,3200,4000,3600,02-12-2024
29,Raigarh,Onion,3200,4000,3600,04-12-2024
30,Raigarh,Onion,3200,4000,3600,09-11-2024
31,Raigarh,Onion,3200,4000,3600,10-11-2024
32,Raigarh,Onion,3200,4000,3600,15-11-2024
33,Raigarh,Onion,3200,4000,3600,16-11-2024
34,Raigarh,Onion,3200,4000,3600,22-11-2024
35,Raigarh,Onion,3200,4000,3600,29-10-2024
36,Raigarh,Onion,3400,3800,3600,07-11-2024
37,Raigarh,Onion,3400,3800,3600,08-11-2024
38,Raigarh,Onion,3400,3800,3600,24-10-2024
39,Raigarh,Onion,3400,3800,3600,25-10-2024
40,Raigarh,Onion,3400,3800,3600,26-10-2024
41,Raigarh,Onion,3400,4000,3700,06-12-2024
42,Raigarh,Onion,3400,4000,3700,20-11-2024
43,Raigarh,Onion,3400,4000,3700,21-11-2024
44,Raigarh,Onion,3400,4000,3700,28-10-2024
45,Raigarh,Onion,3600,4000,3800,18-11-2024
46,Raigarh,Onion,3600,4000,3800,19-11-2024
47,Raigarh,Onion,1000,1400,1000,25-02-2024
48,Raigarh,Onion,1300,1700,1300,07-03-2024
49,Raigarh,Onion,1500,1800,1500,03-04-2024
50,Raigarh,Onion,1500,2000,1500,31-03-2024
51,Raigarh,Onion,1500,2200,1850,31-01-2024
52,Raigarh,Onion,1500,2200,2000,28-08-2024
53,Raigarh,Onion,1600,2200,1900,02-02-2024
54,Raigarh,Onion,1600,2200,1900,04-02-2024
55,Raigarh,Onion,1700,2000,1700,06-04-2024
56,Raigarh,Onion,1700,2000,1700,09-04-2024
57,Raigarh,Onion,1700,2000,1700,12-04-2024
58,Raigarh,Onion,1700,2100,1700,12-05-2024
59,Raigarh,Onion,1700,2100,1700,17-04-2024
60,Raigarh,Onion,1700,2200,1700,11-04-2024
61,Raigarh,Onion,1700,2200,1700,11-05-2024
62,Raigarh,Onion,1700,2200,1700,13-05-2024
63,Raigarh,Onion,1700,2200,1700,24-04-2024
64,Raigarh,Onion,1700,2200,1700,27-04-2024
65,Raigarh,Onion,1800,2000,1800,04-04-2024
66,Raigarh,Onion,1800,2000,1800,07-04-2024
67,Raigarh,Onion,1800,2100,1800,21-04-2024
68,Raigarh,Onion,1800,2200,1800,10-04-2024
69,Raigarh,Onion,1800,2200,1800,10-05-2024
70,Raigarh,Onion,1800,2200,1800,15-04-2024
71,Raigarh,Onion,1800,2200,1800,19-04-2024
72,Raigarh,Onion,1800,2200,1800,20-04-2024
73,Raigarh,Onion,1800,2200,1800,23-04-2024
74,Raigarh,Onion,1800,2200,1800,25-04-2024
75,Raigarh,Onion,1800,2200,1800,26-04-2024
76,Raigarh,Onion,1800,2200,2000,03-02-2024
77,Raigarh,Onion,1800,2300,1800,07-05-2024
78,Raigarh,Onion,1800,2300,1800,14-04-2024
79,Raigarh,Onion,1800,2300,1800,16-04-2024
80,Raigarh,Onion,1800,2400,1800,04-05-2024
81,Raigarh,Onion,1800,2500,1800,03-05-2024
82,Raigarh,Onion,2000,2200,2000,30-03-2024
83,Raigarh,Onion,2000,2300,2000,14-05-2024
84,Raigarh,Onion,2000,2300,2000,27-03-2024
85,Raigarh,Onion,2000,2300,2000,28-03-2024
86,Raigarh,Onion,2000,2400,2200,24-02-2024
87,Raigarh,Onion,2000,2500,2000,08-03-2024
88,Raigarh,Onion,2000,2500,2000,13-03-2024
89,Raigarh,Onion,2000,2500,2000,18-05-2024
90,Raigarh,Onion,2000,2500,2000,20-03-2024
91,Raigarh,Onion,2000,2500,2000,21-03-2024
92,Raigarh,Onion,2000,2500,2000,26-02-2024
93,Raigarh,Onion,2000,2500,2250,06-01-2024
94,Raigarh,Onion,2000,2500,2250,07-01-2024
95,Raigarh,Onion,2000,2500,2250,08-01-2024
96,Raigarh,Onion,2000,2500,2250,09-01-2024
97,Raigarh,Onion,2000,2500,2250,10-01-2024
98,Raigarh,Onion,2000,2600,2300,13-01-2024
99,Raigarh,Onion,2000,2600,2300,14-01-2024
100,Raigarh,Onion,2000,2600,2300,16-01-2024
101,Raigarh,Onion,2000,2600,2300,18-01-2024
102,Raigarh,Onion,2000,3000,2000,05-06-2024
103,Raigarh,Onion,2000,3000,2000,14-06-2024
104,Raigarh,Onion,2100,2300,2100,29-03-2024
105,Raigarh,Onion,2100,2500,2100,09-06-2024
106,Raigarh,Onion,2100,2500,2100,09-03-2024
107,Raigarh,Onion,2100,2500,2100,10-03-2024
108,Raigarh,Onion,2100,2500,2300,10-02-2024
109,Raigarh,Onion,2100,2500,2300,14-02-2024
110,Raigarh,Onion,2100,2500,2300,19-02-2024
111,Raigarh,Onion,2100,2500,2300,23-01-2024
112,Raigarh,Onion,2100,2600,2350,25-01-2024
113,Raigarh,Onion,2100,2700,2100,06-06-2024
114,Raigarh,Onion,2200,2300,2200,15-05-2024
115,Raigarh,Onion,2200,2400,2200,22-04-2024
116,Raigarh,Onion,2200,2500,2200,11-03-2024
117,Raigarh,Onion,2200,2500,2200,14-03-2024
118,Raigarh,Onion,2200,2500,2350,11-01-2024
119,Raigarh,Onion,2200,2500,2350,12-02-2024
120,Raigarh,Onion,2200,2500,2350,13-02-2024
121,Raigarh,Onion,2200,2500,2350,22-01-2024
122,Raigarh,Onion,2200,2600,2200,16-02-2024
123,Raigarh,Onion,2200,2600,2200,16-03-2024
124,Raigarh,Onion,2200,2600,2200,17-03-2024
125,Raigarh,Onion,2200,2600,2200,18-03-2024
126,Raigarh,Onion,2200,2600,2200,27-02-2024
127,Raigarh,Onion,2200,2600,2400,11-02-2024
128,Raigarh,Onion,2200,2600,2400,12-01-2024
129,Raigarh,Onion,2200,2600,2400,15-01-2024
130,Raigarh,Onion,2200,2600,2400,17-01-2024
131,Raigarh,Onion,2200,2600,2400,18-02-2024
132,Raigarh,Onion,2200,2600,2400,21-02-2024
133,Raigarh,Onion,2200,2700,2450,09-02-2024
134,Raigarh,Onion,2200,2800,2500,07-02-2024
135,Raigarh,Onion,2200,2800,2500,08-02-2024
136,Raigarh,Onion,2200,2800,2500,17-02-2024
137,Raigarh,Onion,2200,2800,2500,31-07-2024
138,Raigarh,Onion,2200,3000,2600,02-08-2024
139,Raigarh,Onion,2200,3000,2600,05-09-2024
140,Raigarh,Onion,2200,3000,2600,06-09-2024
141,Raigarh,Onion,2300,2500,2300,15-06-2024
