Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajnandgaon,Onion,600,800,700,05-05-2024
2,Rajnandgaon,Onion,600,1000,800,02-05-2024
3,Rajnandgaon,Onion,600,1200,800,18-02-2024
4,Rajnandgaon,Onion,600,1200,900,01-05-2024
5,Rajnandgaon,Onion,600,1200,900,04-05-2024
6,Rajnandgaon,Onion,800,1200,1000,03-02-2024
7,Rajnandgaon,Onion,800,1200,1000,03-05-2024
8,Rajnandgaon,Onion,800,1200,1000,06-02-2024
9,Rajnandgaon,Onion,800,1200,1000,07-02-2024
10,Rajnandgaon,Onion,800,1200,1000,07-05-2024
11,Rajnandgaon,Onion,800,1200,1000,08-02-2024
12,Rajnandgaon,Onion,800,1200,1000,08-05-2024
13,Rajnandgaon,Onion,800,1200,1000,09-02-2024
14,Rajnandgaon,Onion,800,1200,1000,10-02-2024
15,Rajnandgaon,Onion,800,1200,1000,11-02-2024
16,Rajnandgaon,Onion,800,1200,1000,13-02-2024
17,Rajnandgaon,Onion,800,1200,1000,14-02-2024
18,Rajnandgaon,Onion,800,1200,1000,15-02-2024
19,Rajnandgaon,Onion,800,1200,1000,16-02-2024
20,Rajnandgaon,Onion,800,1200,1000,17-02-2024
21,Rajnandgaon,Onion,800,1200,1000,20-02-2024
22,Rajnandgaon,Onion,800,1200,1000,21-02-2024
23,Rajnandgaon,Onion,800,1600,1200,19-05-2024
24,Rajnandgaon,Onion,900,1500,1200,01-02-2024
25,Rajnandgaon,Onion,900,1500,1200,02-02-2024
26,Rajnandgaon,Onion,900,1500,1200,07-03-2024
27,Rajnandgaon,Onion,900,1500,1200,15-05-2024
28,Rajnandgaon,Onion,900,1500,1200,26-01-2024
29,Rajnandgaon,Onion,900,1500,1200,27-01-2024
30,Rajnandgaon,Onion,900,1500,1200,30-01-2024
31,Rajnandgaon,Onion,900,1500,1200,30-05-2024
32,Rajnandgaon,Onion,900,1500,1200,31-01-2024
33,Rajnandgaon,Onion,1000,1400,1200,16-05-2024
34,Rajnandgaon,Onion,1000,1400,1200,24-04-2024
35,Rajnandgaon,Onion,1000,1400,1200,27-04-2024
36,Rajnandgaon,Onion,1000,1400,1200,28-04-2024
37,Rajnandgaon,Onion,1000,1400,1200,30-04-2024
38,Rajnandgaon,Onion,1000,1600,1300,11-05-2024
39,Rajnandgaon,Onion,1000,1600,1300,14-04-2024
40,Rajnandgaon,Onion,1000,1600,1300,14-05-2024
41,Rajnandgaon,Onion,1000,1600,1300,18-04-2024
42,Rajnandgaon,Onion,1000,1600,1300,20-04-2024
43,Rajnandgaon,Onion,1000,1600,1300,21-04-2024
44,Rajnandgaon,Onion,1000,1600,1300,23-04-2024
45,Rajnandgaon,Onion,1000,1800,1400,10-04-2024
46,Rajnandgaon,Onion,1000,1800,1400,11-04-2024
47,Rajnandgaon,Onion,1000,1800,1400,13-04-2024
48,Rajnandgaon,Onion,1000,1800,1400,17-04-2024
49,Rajnandgaon,Onion,1000,1800,1400,18-05-2024
50,Rajnandgaon,Onion,1000,1800,1400,25-05-2024
51,Rajnandgaon,Onion,1000,1800,1400,28-05-2024
52,Rajnandgaon,Onion,1000,2000,1500,04-01-2024
53,Rajnandgaon,Onion,1000,2000,1500,13-01-2024
54,Rajnandgaon,Onion,1200,1600,1400,06-04-2024
55,Rajnandgaon,Onion,1200,1600,1400,12-05-2024
56,Rajnandgaon,Onion,1200,1800,1500,01-06-2024
57,Rajnandgaon,Onion,1200,1800,1500,04-04-2024
58,Rajnandgaon,Onion,1200,1800,1500,09-05-2024
59,Rajnandgaon,Onion,1200,1800,1500,12-04-2024
60,Rajnandgaon,Onion,1200,1800,1500,20-01-2024
61,Rajnandgaon,Onion,1200,1800,1500,21-05-2024
62,Rajnandgaon,Onion,1200,1800,1500,22-05-2024
63,Rajnandgaon,Onion,1200,1800,1500,24-05-2024
