Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Warangal,Onion,2400,2600,2500,02-06-2024
2,Warangal,Onion,2400,2600,2500,04-05-2024
3,Warangal,Onion,2400,2600,2500,06-05-2024
4,Warangal,Onion,2400,2600,2500,07-05-2024
5,Warangal,Onion,2400,2600,2500,09-05-2024
6,Warangal,Onion,2400,2600,2500,13-05-2024
7,Warangal,Onion,2400,2600,2500,14-05-2024
8,Warangal,Onion,2400,2600,2500,18-05-2024
9,Warangal,Onion,2400,2600,2500,19-05-2024
10,Warangal,Onion,2400,2600,2500,23-04-2024
11,Warangal,Onion,2400,2600,2500,23-05-2024
12,Warangal,Onion,2400,2600,2500,24-05-2024
13,Warangal,Onion,2400,2600,2500,25-05-2024
14,Warangal,Onion,2400,2600,2500,26-05-2024
15,Warangal,Onion,2400,2600,2500,27-05-2024
16,Warangal,Onion,2400,2600,2500,30-05-2024
17,Warangal,Onion,2400,2600,2500,31-05-2024
18,Warangal,Onion,2400,2600,2600,12-05-2024
19,Warangal,Onion,2400,2800,2600,05-05-2024
20,Warangal,Onion,2400,2800,2600,10-05-2024
21,Warangal,Onion,2400,2800,2600,11-05-2024
22,Warangal,Onion,2400,2800,2600,12-04-2024
23,Warangal,Onion,2400,2800,2600,13-04-2024
24,Warangal,Onion,2400,2800,2600,14-04-2024
25,Warangal,Onion,2400,2800,2600,16-04-2024
26,Warangal,Onion,2400,2800,2600,16-05-2024
27,Warangal,Onion,2400,2800,2600,18-04-2024
28,Warangal,Onion,2400,2800,2600,19-04-2024
29,Warangal,Onion,2400,2800,2600,20-04-2024
30,Warangal,Onion,2400,2800,2600,21-04-2024
31,Warangal,Onion,2400,2800,2600,22-04-2024
32,Warangal,Onion,2400,2800,2600,28-05-2024
33,Warangal,Onion,2500,2600,2600,03-06-2024
34,Warangal,Onion,2500,2800,2600,01-06-2024
35,Warangal,Onion,2500,2800,2600,17-05-2024
36,Warangal,Onion,2600,3000,2800,15-04-2024
37,Warangal,Onion,3000,3400,3200,06-06-2024
38,Warangal,Onion,3400,3600,3500,08-06-2024
39,Warangal,Onion,3400,3600,3500,09-06-2024
40,Warangal,Onion,3400,3600,3500,11-06-2024
