Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1400,1200,07-09-2024
2,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1500,1250,09-11-2024
3,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1500,1250,11-11-2024
4,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1500,1250,29-10-2024
5,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1600,1300,10-11-2024
6,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1600,1300,30-10-2024
7,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,1800,1400,07-11-2024
8,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,02-12-2024
9,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,03-12-2024
10,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,06-11-2024
11,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,08-12-2024
12,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,09-12-2024
13,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,23-12-2024
14,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,26-12-2024
15,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2000,1500,31-12-2024
16,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2200,1600,01-12-2024
17,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2200,1600,19-12-2024
18,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2200,1600,28-12-2024
19,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2200,1600,28-11-2024
20,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2200,1600,30-12-2024
21,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2400,1700,19-11-2024
22,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,15-12-2024
23,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,17-12-2024
24,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,18-12-2024
25,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,18-11-2024
26,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,21-11-2024
27,Amarawati,Amrawati(Frui & Veg. Market),Orange,1000,2500,1750,24-12-2024
28,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,1800,1500,02-09-2024
29,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,1800,1500,05-11-2024
30,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2000,1600,04-11-2024
31,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2000,1600,25-11-2024
32,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2200,1700,22-12-2024
33,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2400,1800,23-11-2024
34,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2400,1800,26-11-2024
35,Amarawati,Amrawati(Frui & Veg. Market),Orange,1200,2800,2000,16-12-2024
36,Amarawati,Amrawati(Frui & Veg. Market),Orange,1400,2000,1700,03-11-2024
37,Amarawati,Amrawati(Frui & Veg. Market),Orange,1400,2200,1800,12-10-2024
38,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,01-01-2025
39,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,01-10-2024
40,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,02-11-2024
41,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,03-10-2024
42,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,04-12-2024
43,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,06-10-2024
44,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,07-12-2024
45,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,10-12-2024
46,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,10-10-2024
47,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,12-12-2024
48,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,12-11-2024
49,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,13-10-2024
50,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,14-11-2024
51,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,15-10-2024
52,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,17-10-2024
53,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,21-10-2024
54,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,24-11-2024
55,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,25-09-2024
56,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,26-10-2024
57,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,27-11-2024
58,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,28-09-2024
59,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2000,1750,29-09-2024
60,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2200,1850,23-10-2024
61,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,08-09-2024
62,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,11-12-2024
63,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,11-09-2024
64,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,14-12-2024
65,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,21-12-2024
66,Amarawati,Amrawati(Frui & Veg. Market),Orange,1500,2500,2000,29-12-2024
67,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2000,1800,26-09-2024
68,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,02-10-2024
69,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,05-12-2024
70,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,05-10-2024
71,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,07-10-2024
72,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,09-10-2024
73,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,13-11-2024
74,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,14-10-2024
75,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,19-10-2024
76,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,21-09-2024
77,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,22-10-2024
78,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,24-10-2024
79,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,24-09-2024
80,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2200,1900,30-09-2024
81,Amarawati,Amrawati(Frui & Veg. Market),Orange,1600,2400,2000,27-10-2024
82,Amarawati,Amrawati(Frui & Veg. Market),Orange,1800,2200,2000,23-09-2024
83,Amarawati,Amrawati(Frui & Veg. Market),Orange,1800,2400,2100,14-09-2024
84,Amarawati,Amrawati(Frui & Veg. Market),Orange,2000,2200,2100,22-09-2024
85,Amarawati,Amrawati(Frui & Veg. Market),Orange,2000,2500,2250,12-09-2024
86,Amarawati,Amrawati(Frui & Veg. Market),Orange,2000,2500,2250,16-11-2024
87,Amarawati,Amrawati(Frui & Veg. Market),Orange,2000,2500,2250,28-10-2024
88,Amarawati,Amrawati(Frui & Veg. Market),Orange,2000,2600,2300,17-11-2024
89,Amarawati,Varud,Orange,200,2550,1364,28-10-2024
90,Amarawati,Varud,Orange,200,2850,1578,24-10-2024
91,Amarawati,Varud,Orange,200,3500,2092,21-10-2024
92,Amarawati,Varud,Orange,200,3600,2050,25-10-2024
93,Amarawati,Varud,Orange,200,3750,1950,26-10-2024
94,Amarawati,Varud,Orange,250,2800,1671,30-10-2024
95,Amarawati,Varud,Orange,250,3850,2092,23-10-2024
96,Amarawati,Varud,Orange,300,3550,1857,22-10-2024
97,Amarawati,Varud,Orange,400,2550,1428,23-11-2024
98,Amarawati,Varud,Orange,400,2750,1628,13-11-2024
99,Amarawati,Varud,Orange,400,2750,1721,29-10-2024
100,Amarawati,Varud,Orange,400,2850,1750,10-10-2024
101,Amarawati,Varud,Orange,400,3100,1850,09-10-2024
102,Amarawati,Varud,Orange,400,3200,1665,18-10-2024
103,Amarawati,Varud,Orange,400,3400,1259,03-10-2024
104,Amarawati,Varud,Orange,400,3750,2228,17-10-2024
105,Amarawati,Varud,Orange,450,2850,1450,16-10-2024
106,Amarawati,Varud,Orange,450,3000,1535,19-10-2024
107,Amarawati,Varud,Orange,450,3150,1650,22-11-2024
108,Amarawati,Varud,Orange,450,3350,1950,15-10-2024
109,Amarawati,Varud,Orange,500,2800,1550,20-11-2024
110,Amarawati,Varud,Orange,500,2900,1600,04-10-2024
111,Amarawati,Varud,Orange,500,3400,1892,05-11-2024
112,Amarawati,Varud,Orange,500,3650,2085,08-11-2024
113,Amarawati,Varud,Orange,500,3850,2125,07-11-2024
114,Amarawati,Varud,Orange,500,4000,2100,07-10-2024
115,Amarawati,Varud,Orange,500,4000,2121,06-11-2024
116,Amarawati,Varud,Orange,550,2800,1500,11-10-2024
117,Amarawati,Varud,Orange,600,2400,1650,13-12-2024
118,Amarawati,Varud,Orange,600,2800,1771,16-11-2024
119,Amarawati,Varud,Orange,600,3400,2100,05-10-2024
120,Amarawati,Varud,Orange,650,2850,1950,14-11-2024
121,Amarawati,Varud,Orange,700,2750,1692,27-11-2024
122,Amarawati,Varud,Orange,700,3250,1985,12-11-2024
123,Amarawati,Varud,Orange,700,3350,2228,09-11-2024
124,Amarawati,Varud,Orange,700,4150,2050,11-11-2024
125,Amarawati,Varud,Orange,750,2450,1624,04-12-2024
126,Amarawati,Varud,Orange,750,2500,1592,19-11-2024
127,Amarawati,Varud,Orange,750,2500,1704,10-12-2024
128,Amarawati,Varud,Orange,750,2550,1721,25-11-2024
129,Amarawati,Varud,Orange,750,2550,1721,26-11-2024
130,Amarawati,Varud,Orange,750,2550,1750,09-12-2024
131,Amarawati,Varud,Orange,750,2750,1437,28-11-2024
132,Amarawati,Varud,Orange,750,3000,1785,03-12-2024
133,Amarawati,Varud,Orange,750,3050,1735,02-12-2024
134,Amarawati,Varud,Orange,750,3250,1757,15-11-2024
135,Amarawati,Varud,Orange,800,2550,1675,05-12-2024
136,Amarawati,Varud,Orange,800,2700,1693,07-12-2024
137,Amarawati,Varud,Orange,800,2700,1757,06-12-2024
138,Amarawati,Varud,Orange,800,3100,1850,18-11-2024
139,Amarawati,Varud,Orange,1500,2400,2000,27-09-2024
140,Amarawati,Varud,Orange,1800,2200,2000,13-09-2024
141,Amarawati,Varud,Orange,1800,2200,2000,16-09-2024
142,Amarawati,Varud,Orange,1800,2200,2000,19-09-2024
143,Amarawati,Varud,Orange,1800,2200,2000,20-09-2024
144,Amarawati,Varud,Orange,1800,2200,2000,22-09-2024
145,Amarawati,Varud,Orange,1850,2200,2000,21-09-2024
146,Amarawati,Varud,Orange,2100,2350,2250,29-09-2024
147,Amarawati,Varud,Orange,2100,2500,2300,28-09-2024
148,Amarawati,Varud,Orange,2100,2500,2300,30-09-2024
149,Amarawati,Varud,Orange,2400,2800,2600,05-09-2024
150,Amarawati,Varud,Orange,2400,2800,2600,06-09-2024
151,Amarawati,Varud,Orange,2400,2800,2600,07-09-2024
152,Amarawati,Varud,Orange,2400,2800,2600,08-09-2024
153,Amarawati,Varud,Orange,2400,2800,2600,09-09-2024
