Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambala,Ambala Cantt.,Orange,3000,3800,3450,23-02-2024
2,Ambala,Ambala City(Subji Mandi),Orange,1500,3500,2500,21-03-2024
3,Ambala,Ambala City(Subji Mandi),Orange,1950,3860,2400,27-11-2024
4,Ambala,Ambala City(Subji Mandi),Orange,2500,4000,3500,17-02-2024
5,Ambala,Ambala City(Subji Mandi),Orange,2500,4500,3500,06-03-2024
6,Ambala,Ambala City(Subji Mandi),Orange,2500,4500,3500,08-02-2024
7,Ambala,Ambala City(Subji Mandi),Orange,2500,4500,3500,16-03-2024
8,Ambala,Ambala City(Subji Mandi),Orange,2500,4500,3500,24-02-2024
9,Ambala,Ambala City(Subji Mandi),Orange,2500,5000,3500,15-02-2024
10,Ambala,Ambala City(Subji Mandi),Orange,2500,5000,3500,21-02-2024
11,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,05-02-2024
12,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,07-02-2024
13,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,09-02-2024
14,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,14-02-2024
15,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,22-02-2024
16,Ambala,Ambala City(Subji Mandi),Orange,2500,5500,3500,31-01-2024
17,Ambala,Ambala City(Subji Mandi),Orange,2750,4250,3300,05-01-2024
18,Ambala,Ambala City(Subji Mandi),Orange,2800,5300,4250,06-01-2024
19,Ambala,Ambala City(Subji Mandi),Orange,3000,4000,3500,03-01-2024
20,Ambala,Ambala City(Subji Mandi),Orange,3000,4000,3500,09-01-2024
21,Ambala,Ambala City(Subji Mandi),Orange,3000,4000,3500,23-01-2024
22,Ambala,Ambala City(Subji Mandi),Orange,3000,4200,3250,20-01-2024
23,Ambala,Ambala City(Subji Mandi),Orange,3000,4250,3500,18-01-2024
24,Ambala,Ambala City(Subji Mandi),Orange,3000,4300,3750,08-01-2024
25,Ambala,Ambala City(Subji Mandi),Orange,3000,4350,3500,19-01-2024
26,Ambala,Ambala City(Subji Mandi),Orange,3200,4000,3650,04-01-2024
27,Ambala,Ambala City(Subji Mandi),Orange,3250,4750,4000,26-01-2024
28,Ambala,Ambala City(Subji Mandi),Orange,3500,4500,4000,01-01-2024
29,Ambala,Ambala City(Subji Mandi),Orange,3800,5000,4350,03-02-2024
30,Ambala,Ambala City(Subji Mandi),Orange,3800,5500,4350,11-01-2024
31,Ambala,Ambala City(Subji Mandi),Orange,4000,5300,4850,13-01-2024
32,Ambala,Ambala City(Subji Mandi),Orange,4000,5350,4500,24-01-2024
33,Ambala,Ambala City(Subji Mandi),Orange,4000,5350,4500,25-01-2024
34,Ambala,Ambala City(Subji Mandi),Orange,4000,6000,5350,30-01-2024
35,Ambala,Ambala City(Subji Mandi),Orange,5000,6000,5250,02-02-2024
36,Jhajar,Bahadurgarh,Orange,2000,3000,2500,14-01-2024
37,Jhajar,Bahadurgarh,Orange,2500,3500,3000,15-01-2024
38,Jhajar,Bahadurgarh,Orange,3000,4000,3500,01-01-2024
39,Jhajar,Bahadurgarh,Orange,3000,4000,3500,04-01-2024
40,Jhajar,Bahadurgarh,Orange,3000,4000,3500,18-02-2024
41,Jhajar,Bahadurgarh,Orange,3500,3800,3600,15-02-2024
42,Jhajar,Bahadurgarh,Orange,3500,4000,3800,04-02-2024
43,Jhajar,Bahadurgarh,Orange,3500,4000,3800,16-02-2024
44,Jhajar,Bahadurgarh,Orange,4000,5000,4500,21-02-2024
45,Jhajar,Bahadurgarh,Orange,5000,7000,6000,24-10-2024
46,Jhajar,Bahadurgarh,Orange,5500,7000,6500,18-10-2024
47,Jhajar,Bahadurgarh,Orange,6000,8000,7000,14-10-2024
48,Jhajar,Bahadurgarh,Orange,6000,8000,7000,16-10-2024
49,Jhajar,Bahadurgarh,Orange,6000,8000,7000,19-10-2024
50,Jhajar,Bahadurgarh,Orange,6500,7500,7000,15-10-2024
51,Jhajar,Bahadurgarh,Orange,7000,8000,7500,07-09-2024
52,Jhajar,Bahadurgarh,Orange,7000,8000,7500,11-10-2024
53,Jhajar,Bahadurgarh,Orange,7000,8000,7500,13-10-2024
54,Ambala,Barara,Orange,2000,2000,2000,13-02-2024
55,Ambala,Barara,Orange,2000,2000,2000,28-02-2024
56,Ambala,Barara,Orange,2000,2500,2000,22-02-2024
57,Ambala,Barara,Orange,2000,2500,2000,23-02-2024
58,Ambala,Barara,Orange,2200,2200,2200,16-02-2024
59,Ambala,Barara,Orange,2500,2500,2500,01-03-2024
60,Ambala,Barara,Orange,2500,2500,2500,04-03-2024
61,Ambala,Barara,Orange,2500,2500,2500,05-03-2024
62,Ambala,Barara,Orange,2500,2500,2500,09-03-2024
63,Ambala,Barara,Orange,2500,2500,2500,11-03-2024
64,Ambala,Barara,Orange,2500,2500,2500,15-03-2024
