Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,4000,2500,13-12-2024
2,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,2000,4000,3000,22-02-2024
3,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,4600,8500,6000,06-04-2024
4,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1500,3500,2500,04-03-2024
5,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1500,4000,2500,09-03-2024
6,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1500,4300,3000,28-03-2024
7,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1500,4500,3000,15-02-2024
8,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,3800,2800,26-03-2024
9,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,4000,3000,29-03-2024
10,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,4200,3000,15-03-2024
11,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,4500,3000,27-03-2024
12,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,4500,3000,30-03-2024
13,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1600,5000,3000,23-03-2024
14,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1700,4000,3000,14-03-2024
15,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,3000,2300,12-01-2024
16,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,3000,2500,04-01-2024
17,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,3100,2800,13-03-2024
18,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4000,2800,22-03-2024
19,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4000,3200,09-02-2024
20,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4000,3200,10-02-2024
21,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4100,3000,18-03-2024
22,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4500,3000,01-04-2024
23,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1800,4500,3000,21-03-2024
24,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,1900,5400,3200,26-02-2024
25,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,2000,3000,2300,01-01-2024
26,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,2000,3000,2500,02-01-2024
27,Amritsar,Amritsar(Amritsar Mewa Mandi),Orange,2000,3000,2500,05-01-2024
