Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1600,4200,2900,22-04-2024
2,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,500,2500,1500,04-11-2024
3,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,600,2200,1400,14-10-2024
4,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,1600,1300,09-11-2024
5,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2000,1500,08-12-2024
6,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2200,1600,26-10-2024
7,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2400,1700,23-10-2024
8,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2400,1700,24-10-2024
9,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2500,1750,13-10-2024
10,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2500,1750,22-10-2024
11,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2500,1750,24-11-2024
12,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2800,1900,04-12-2024
13,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2900,1950,05-12-2024
14,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,2900,1950,07-12-2024
15,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1000,3500,2250,17-11-2024
16,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1100,3500,2300,22-12-2024
17,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2200,1700,25-09-2024
18,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2300,1750,11-12-2024
19,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2300,1750,18-11-2024
20,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2500,1850,20-10-2024
21,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2700,1900,19-10-2024
22,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,2800,2000,10-12-2024
23,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1200,3000,2100,14-11-2024
24,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,2200,1800,11-11-2024
25,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,2300,1850,13-11-2024
26,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,2300,1850,28-09-2024
27,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,2600,2000,24-09-2024
28,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,3200,2300,10-10-2024
29,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1400,3200,2300,22-09-2024
30,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2000,1750,06-10-2024
31,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2000,1750,09-10-2024
32,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2000,1750,15-10-2024
33,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2500,2000,02-12-2024
34,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2500,2000,09-09-2024
35,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,2800,2150,03-10-2024
36,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,3000,2250,06-11-2024
37,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,3000,2250,27-10-2024
38,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,3500,2500,14-12-2024
39,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1500,3500,2500,16-11-2024
40,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1600,2400,1900,12-10-2024
41,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1600,3200,2400,10-11-2024
42,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1700,2800,2250,29-09-2024
43,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1700,3000,2350,19-11-2024
44,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1800,2000,1900,31-10-2024
45,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1900,2000,1950,30-10-2024
46,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,1900,2200,2050,28-10-2024
47,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,2200,2100,23-11-2024
48,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,2500,2250,02-11-2024
49,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,2500,2250,03-12-2024
50,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,2500,2250,07-10-2024
51,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,3200,2600,05-10-2024
52,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,3500,2750,14-09-2024
53,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,3500,2750,31-12-2024
54,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,3600,2800,19-09-2024
55,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2000,4000,3000,26-12-2024
56,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2200,3100,2650,07-11-2024
57,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2200,3500,2850,27-11-2024
58,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2400,3100,2750,01-12-2024
59,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2400,3100,2750,19-12-2024
60,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2400,3300,2850,17-12-2024
61,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2400,3600,3000,30-12-2024
62,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3000,2750,02-10-2024
63,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3000,2750,21-12-2024
64,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3000,2750,25-12-2024
65,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3000,2750,30-09-2024
66,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3100,2800,28-11-2024
67,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3500,3000,16-12-2024
68,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3500,3000,24-12-2024
69,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,3600,3050,29-12-2024
70,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2500,4000,3250,01-01-2025
71,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,2600,3000,2800,23-09-2024
72,ChattrapatiSambhajinagar,Chattrapati Sambhajinagar,Orange,3000,4000,3500,28-12-2024
