Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,2500,3000,3000,24-10-2024
2,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,01-11-2024
3,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,04-10-2024
4,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,05-11-2024
5,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,07-11-2024
6,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,08-11-2024
7,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,28-10-2024
8,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4000,5000,5000,30-10-2024
9,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,4500,5000,5000,28-11-2024
10,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,04-11-2024
11,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,06-12-2024
12,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,08-12-2024
13,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,09-11-2024
14,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,10-10-2024
15,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,12-11-2024
16,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,20-11-2024
17,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,23-11-2024
18,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,26-12-2024
19,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,5000,6000,6000,29-10-2024
20,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,6000,7000,7000,11-11-2024
21,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,6000,7000,7000,25-11-2024
22,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,7000,8000,8000,24-09-2024
23,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,01-01-2025
24,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,17-12-2024
25,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,18-12-2024
26,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,19-12-2024
27,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,20-12-2024
28,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,21-12-2024
29,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,22-12-2024
30,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,23-12-2024
31,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,24-12-2024
32,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,25-12-2024
33,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,26-12-2024
34,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,27-12-2024
35,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,28-12-2024
36,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,29-12-2024
37,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,30-12-2024
38,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4000,5000,5000,31-12-2024
39,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,4500,5000,5000,12-12-2024
40,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,5000,6000,6000,02-12-2024
41,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,5000,6000,6000,03-12-2024
42,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,5000,6000,6000,04-12-2024
43,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,5000,6000,6000,05-12-2024
44,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Orange,5000,6000,6000,06-12-2024
