Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Durg,Durg,Orange,3000,5000,5000,04-02-2024
2,Durg,Durg,Orange,3000,5000,5000,07-02-2024
3,Durg,Durg,Orange,4000,4500,4000,06-03-2024
4,Durg,Durg,Orange,4000,4500,4500,15-06-2024
5,Durg,Durg,Orange,4000,5000,5000,01-03-2024
6,Durg,Durg,Orange,4000,5000,5000,02-03-2024
7,Durg,Durg,Orange,4000,5000,5000,03-02-2024
8,Durg,Durg,Orange,4000,5000,5000,03-03-2024
9,Durg,Durg,Orange,4000,5000,5000,04-01-2024
10,Durg,Durg,Orange,4000,5000,5000,06-02-2024
11,Durg,Durg,Orange,4000,5000,5000,06-06-2024
12,Durg,Durg,Orange,4000,5000,5000,07-03-2024
13,Durg,Durg,Orange,4000,5000,5000,10-03-2024
14,Durg,Durg,Orange,4000,5000,5000,13-01-2024
15,Durg,Durg,Orange,4000,5000,5000,14-03-2024
16,Durg,Durg,Orange,4000,5000,5000,17-01-2024
17,Durg,Durg,Orange,4000,5000,5000,19-01-2024
18,Durg,Durg,Orange,4000,5000,5000,20-01-2024
19,Durg,Durg,Orange,4000,5000,5000,20-10-2024
20,Durg,Durg,Orange,4000,5000,5000,24-10-2024
21,Durg,Durg,Orange,4000,6000,4000,05-01-2024
22,Durg,Durg,Orange,4000,6000,6000,01-02-2024
23,Durg,Durg,Orange,4000,6000,6000,05-04-2024
24,Durg,Durg,Orange,4000,6000,6000,07-04-2024
25,Durg,Durg,Orange,4000,6000,6000,07-06-2024
26,Durg,Durg,Orange,4000,6000,6000,08-02-2024
27,Durg,Durg,Orange,4000,6000,6000,08-05-2024
28,Durg,Durg,Orange,4000,6000,6000,09-06-2024
29,Durg,Durg,Orange,4000,6000,6000,10-04-2024
30,Durg,Durg,Orange,4000,6000,6000,10-05-2024
31,Durg,Durg,Orange,4000,6000,6000,12-04-2024
32,Durg,Durg,Orange,4000,6000,6000,13-02-2024
33,Durg,Durg,Orange,4000,6000,6000,13-10-2024
34,Durg,Durg,Orange,4000,6000,6000,14-01-2024
35,Durg,Durg,Orange,4000,6000,6000,16-03-2024
36,Durg,Durg,Orange,4000,6000,6000,18-04-2024
37,Durg,Durg,Orange,4000,6000,6000,19-03-2024
38,Durg,Durg,Orange,4000,6000,6000,21-02-2024
39,Durg,Durg,Orange,4000,6000,6000,21-03-2024
40,Durg,Durg,Orange,4000,6000,6000,23-02-2024
41,Durg,Durg,Orange,4000,6000,6000,23-01-2024
42,Durg,Durg,Orange,4000,6000,6000,23-03-2024
43,Durg,Durg,Orange,4000,6000,6000,25-01-2024
44,Durg,Durg,Orange,4000,6000,6000,27-01-2024
45,Durg,Durg,Orange,4000,6000,6000,27-03-2024
46,Durg,Durg,Orange,4000,6000,6000,28-02-2024
47,Durg,Durg,Orange,4000,6000,6000,30-03-2024
48,Durg,Durg,Orange,4500,5000,5000,05-03-2024
49,Durg,Durg,Orange,4500,5000,5000,18-01-2024
50,Durg,Durg,Orange,4500,5000,5000,25-10-2024
51,Durg,Durg,Orange,4800,5000,5000,09-05-2024
52,Durg,Durg,Orange,5000,6000,5000,02-02-2024
53,Durg,Durg,Orange,5000,6000,5000,03-01-2024
54,Durg,Durg,Orange,5000,6000,5000,04-04-2024
55,Durg,Durg,Orange,5000,6000,5000,06-04-2024
56,Durg,Durg,Orange,5000,6000,5000,09-04-2024
57,Durg,Durg,Orange,5000,6000,5000,09-01-2024
58,Durg,Durg,Orange,5000,6000,5000,09-03-2024
59,Durg,Durg,Orange,5000,6000,5000,09-10-2024
60,Durg,Durg,Orange,5000,6000,5000,11-02-2024
61,Durg,Durg,Orange,5000,6000,5000,11-01-2024
62,Durg,Durg,Orange,5000,6000,5000,11-05-2024
63,Durg,Durg,Orange,5000,6000,5000,12-01-2024
64,Durg,Durg,Orange,5000,6000,5000,12-03-2024
65,Durg,Durg,Orange,5000,6000,5000,12-05-2024
66,Durg,Durg,Orange,5000,6000,5000,13-03-2024
67,Durg,Durg,Orange,5000,6000,5000,16-01-2024
68,Durg,Durg,Orange,5000,6000,5000,19-10-2024
69,Durg,Durg,Orange,5000,6000,5000,22-02-2024
70,Durg,Durg,Orange,5000,6000,5000,23-10-2024
71,Durg,Durg,Orange,5000,6000,5000,24-01-2024
72,Durg,Durg,Orange,5000,6000,5000,28-03-2024
73,Durg,Durg,Orange,5000,6000,5000,29-02-2024
74,Durg,Durg,Orange,5000,6000,6000,02-01-2024
75,Durg,Durg,Orange,5000,6000,6000,03-05-2024
76,Durg,Durg,Orange,5000,6000,6000,04-10-2024
77,Durg,Durg,Orange,5000,6000,6000,05-10-2024
78,Durg,Durg,Orange,5000,6000,6000,06-01-2024
79,Durg,Durg,Orange,5000,6000,6000,07-01-2024
80,Durg,Durg,Orange,5000,6000,6000,07-05-2024
81,Durg,Durg,Orange,5000,6000,6000,08-06-2024
82,Durg,Durg,Orange,5000,6000,6000,08-03-2024
83,Durg,Durg,Orange,5000,6000,6000,09-02-2024
84,Durg,Durg,Orange,5000,6000,6000,10-02-2024
85,Durg,Durg,Orange,5000,6000,6000,10-10-2024
86,Durg,Durg,Orange,5000,6000,6000,11-04-2024
87,Durg,Durg,Orange,5000,6000,6000,12-10-2024
88,Durg,Durg,Orange,5000,6000,6000,14-02-2024
89,Durg,Durg,Orange,5000,6000,6000,15-10-2024
90,Durg,Durg,Orange,5000,6000,6000,17-04-2024
91,Durg,Durg,Orange,5000,6000,6000,17-02-2024
92,Durg,Durg,Orange,5000,6000,6000,17-03-2024
93,Durg,Durg,Orange,5000,6000,6000,18-10-2024
94,Durg,Durg,Orange,5000,6000,6000,19-04-2024
95,Durg,Durg,Orange,5000,6000,6000,19-05-2024
96,Durg,Durg,Orange,5000,6000,6000,20-02-2024
97,Durg,Durg,Orange,5000,6000,6000,20-03-2024
98,Durg,Durg,Orange,5000,6000,6000,22-03-2024
99,Durg,Durg,Orange,5000,6000,6000,22-10-2024
100,Durg,Durg,Orange,5000,6000,6000,24-02-2024
101,Durg,Durg,Orange,5000,6000,6000,26-01-2024
102,Durg,Durg,Orange,5000,6000,6000,27-02-2024
103,Durg,Durg,Orange,5000,6000,6000,28-01-2024
104,Durg,Durg,Orange,5000,6000,6000,31-01-2024
105,Durg,Durg,Orange,5000,7000,5000,01-05-2024
106,Durg,Durg,Orange,5000,7000,5000,15-05-2024
107,Durg,Durg,Orange,5000,7000,5000,31-03-2024
108,Durg,Durg,Orange,5000,7000,7000,03-04-2024
109,Durg,Durg,Orange,5000,7000,7000,12-06-2024
110,Durg,Durg,Orange,5000,7000,7000,15-02-2024
111,Durg,Durg,Orange,5000,7000,7000,17-05-2024
112,Durg,Durg,Orange,5000,7000,7000,18-02-2024
113,Durg,Durg,Orange,5000,7000,7000,24-05-2024
114,Durg,Durg,Orange,5000,7000,7000,28-04-2024
115,Durg,Durg,Orange,5000,7000,7000,29-05-2024
116,Durg,Durg,Orange,5000,7000,7000,31-05-2024
117,Durg,Durg,Orange,5500,6000,5500,06-10-2024
118,Durg,Durg,Orange,5500,6000,5500,10-01-2024
119,Durg,Durg,Orange,5500,6000,6000,30-01-2024
120,Durg,Durg,Orange,6000,6200,6000,17-10-2024
121,Durg,Durg,Orange,6000,6500,6000,04-05-2024
122,Durg,Durg,Orange,6000,6500,6000,16-10-2024
123,Durg,Durg,Orange,6000,6500,6000,26-04-2024
124,Durg,Durg,Orange,6000,6500,6500,05-05-2024
125,Durg,Durg,Orange,6000,7000,6000,02-04-2024
126,Durg,Durg,Orange,6000,7000,6000,05-06-2024
127,Durg,Durg,Orange,6000,7000,6000,13-06-2024
128,Durg,Durg,Orange,6000,7000,6000,14-06-2024
129,Durg,Durg,Orange,6000,7000,6000,14-05-2024
130,Durg,Durg,Orange,6000,7000,6000,16-02-2024
131,Durg,Durg,Orange,6000,7000,6000,16-05-2024
132,Durg,Durg,Orange,6000,7000,6000,23-05-2024
133,Durg,Durg,Orange,6000,7000,6000,30-04-2024
134,Durg,Durg,Orange,6000,7000,6000,30-05-2024
135,Durg,Durg,Orange,6000,7000,7000,11-06-2024
136,Durg,Durg,Orange,6000,7000,7000,11-10-2024
137,Durg,Durg,Orange,6000,7000,7000,18-05-2024
138,Durg,Durg,Orange,6000,7000,7000,28-05-2024
139,Durg,Durg,Orange,6000,8000,6000,02-05-2024
140,Durg,Durg,Orange,6000,8000,6000,21-05-2024
141,Durg,Durg,Orange,6000,8000,8000,02-06-2024
142,Durg,Durg,Orange,6000,8000,8000,13-04-2024
143,Durg,Durg,Orange,6000,8000,8000,24-04-2024
144,Durg,Durg,Orange,6000,8000,8000,25-05-2024
145,Durg,Durg,Orange,7000,8000,7000,01-06-2024
146,Durg,Durg,Orange,7000,8000,7000,04-06-2024
147,Durg,Durg,Orange,7000,8000,7000,23-04-2024
148,Durg,Durg,Orange,7000,8000,8000,22-05-2024
149,Durg,Durg,Orange,7000,8000,8000,25-04-2024
150,Durg,Durg,Orange,7000,8000,8000,26-05-2024
151,Durg,Durg,Orange,8000,9000,8000,14-04-2024
152,Durg,Durg,Orange,8000,9000,8000,16-04-2024
153,Durg,Durg,Orange,3000,5000,5000,15-11-2024
154,Durg,Durg,Orange,4000,5000,4000,14-11-2024
155,Durg,Durg,Orange,4000,5000,5000,17-11-2024
156,Durg,Durg,Orange,4000,5000,5000,18-12-2024
157,Durg,Durg,Orange,4000,5000,5000,19-12-2024
158,Durg,Durg,Orange,4000,5000,5000,20-12-2024
159,Durg,Durg,Orange,4000,5000,5000,24-12-2024
160,Durg,Durg,Orange,4000,5000,5000,26-10-2024
161,Durg,Durg,Orange,4000,5000,5000,29-12-2024
162,Durg,Durg,Orange,4000,6000,4000,01-12-2024
163,Durg,Durg,Orange,4000,6000,6000,01-01-2025
164,Durg,Durg,Orange,4000,6000,6000,04-12-2024
165,Durg,Durg,Orange,4000,6000,6000,10-11-2024
166,Durg,Durg,Orange,4000,6000,6000,26-12-2024
167,Durg,Durg,Orange,4000,6000,6000,27-10-2024
168,Durg,Durg,Orange,4500,5000,5000,25-10-2024
169,Durg,Durg,Orange,5000,5500,5000,08-12-2024
170,Durg,Durg,Orange,5000,5500,5000,10-12-2024
171,Durg,Durg,Orange,5000,5500,5000,11-12-2024
172,Durg,Durg,Orange,5000,6000,5000,05-11-2024
173,Durg,Durg,Orange,5000,6000,5000,09-11-2024
174,Durg,Durg,Orange,5000,6000,5000,12-12-2024
175,Durg,Durg,Orange,5000,6000,5000,12-11-2024
176,Durg,Durg,Orange,5000,6000,5000,16-11-2024
177,Durg,Durg,Orange,5000,6000,5000,17-12-2024
178,Durg,Durg,Orange,5000,6000,5000,19-11-2024
179,Durg,Durg,Orange,5000,6000,5000,21-12-2024
180,Durg,Durg,Orange,5000,6000,5000,22-11-2024
181,Durg,Durg,Orange,5000,6000,5000,25-12-2024
182,Durg,Durg,Orange,5000,6000,5000,28-11-2024
183,Durg,Durg,Orange,5000,6000,5000,31-12-2024
184,Durg,Durg,Orange,5000,6000,6000,03-12-2024
185,Durg,Durg,Orange,5000,6000,6000,05-12-2024
186,Durg,Durg,Orange,5000,6000,6000,06-11-2024
187,Durg,Durg,Orange,5000,6000,6000,13-11-2024
188,Durg,Durg,Orange,5000,6000,6000,22-12-2024
189,Durg,Durg,Orange,5000,6000,6000,27-12-2024
190,Durg,Durg,Orange,5000,6000,6000,28-12-2024
191,Durg,Durg,Orange,5000,6000,6000,29-10-2024
192,Durg,Durg,Orange,5000,6000,6000,30-10-2024
193,Durg,Durg,Orange,5000,7000,5000,23-11-2024
194,Durg,Durg,Orange,6000,6200,6000,07-12-2024
195,Durg,Durg,Orange,6000,6500,6000,06-12-2024
196,Durg,Durg,Orange,6000,6500,6000,07-11-2024
197,Durg,Durg,Orange,6000,6500,6000,13-12-2024
198,Durg,Durg,Orange,6000,6500,6000,14-12-2024
199,Durg,Durg,Orange,6000,6500,6000,15-12-2024
200,Durg,Durg,Orange,6000,6500,6000,20-11-2024
201,Durg,Durg,Orange,6000,6500,6000,24-11-2024
202,Durg,Durg,Orange,6000,6500,6000,26-11-2024
203,Durg,Durg,Orange,6000,6500,6500,21-11-2024
204,Durg,Durg,Orange,6000,7000,6000,08-11-2024
205,Durg,Durg,Orange,6000,7000,6000,27-11-2024
