Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Idukki,Adimali,Orange,5000,5000,5000,23-12-2024
2,Idukki,Adimali,Orange,5000,5000,5000,26-12-2024
3,Idukki,Adimali,Orange,5000,5000,5000,27-12-2024
4,Idukki,Adimali,Orange,5000,7000,5000,18-12-2024
5,Idukki,Adimali,Orange,6000,6000,6000,13-12-2024
6,Idukki,Adimali,Orange,7000,7000,7000,01-01-2024
7,Idukki,Adimali,Orange,7000,7000,7000,01-11-2024
8,Idukki,Adimali,Orange,7000,7000,7000,02-01-2024
9,Idukki,Adimali,Orange,7000,7000,7000,02-11-2024
10,Idukki,Adimali,Orange,7000,7000,7000,03-01-2024
11,Idukki,Adimali,Orange,7000,7000,7000,04-01-2024
12,Idukki,Adimali,Orange,7000,7000,7000,04-11-2024
13,Idukki,Adimali,Orange,7000,7000,7000,05-01-2024
14,Idukki,Adimali,Orange,7000,7000,7000,06-01-2024
15,Idukki,Adimali,Orange,7000,7000,7000,06-11-2024
16,Idukki,Adimali,Orange,7000,7000,7000,08-01-2024
17,Idukki,Adimali,Orange,7000,7000,7000,08-03-2024
18,Idukki,Adimali,Orange,7000,7000,7000,08-11-2024
19,Idukki,Adimali,Orange,7000,7000,7000,11-11-2024
20,Idukki,Adimali,Orange,7000,7000,7000,12-01-2024
21,Idukki,Adimali,Orange,7000,7000,7000,13-03-2024
22,Idukki,Adimali,Orange,7000,7000,7000,13-11-2024
23,Idukki,Adimali,Orange,7000,7000,7000,14-02-2024
24,Idukki,Adimali,Orange,7000,7000,7000,16-11-2024
25,Idukki,Adimali,Orange,7000,7000,7000,17-01-2024
26,Idukki,Adimali,Orange,7000,7000,7000,18-01-2024
27,Idukki,Adimali,Orange,7000,7000,7000,18-03-2024
28,Idukki,Adimali,Orange,7000,7000,7000,19-01-2024
29,Idukki,Adimali,Orange,7000,7000,7000,19-03-2024
30,Idukki,Adimali,Orange,7000,7000,7000,20-03-2024
31,Idukki,Adimali,Orange,7000,7000,7000,20-11-2024
32,Idukki,Adimali,Orange,7000,7000,7000,21-10-2024
33,Idukki,Adimali,Orange,7000,7000,7000,22-03-2024
34,Idukki,Adimali,Orange,7000,7000,7000,23-01-2024
35,Idukki,Adimali,Orange,7000,7000,7000,24-10-2024
36,Idukki,Adimali,Orange,7000,7000,7000,25-10-2024
37,Idukki,Adimali,Orange,7000,7000,7000,26-10-2024
38,Idukki,Adimali,Orange,7000,7000,7000,27-11-2024
39,Idukki,Adimali,Orange,7000,7000,7000,28-03-2024
40,Idukki,Adimali,Orange,7000,7000,7000,29-11-2024
41,Idukki,Adimali,Orange,7000,8000,7000,01-03-2024
42,Idukki,Adimali,Orange,7000,8000,7000,02-03-2024
43,Idukki,Adimali,Orange,7000,8000,7000,05-03-2024
44,Idukki,Adimali,Orange,7000,8000,7000,07-03-2024
45,Idukki,Adimali,Orange,7000,8000,7000,29-02-2024
46,Idukki,Adimali,Orange,7000,8000,8000,06-03-2024
47,Idukki,Adimali,Orange,7000,8000,8000,12-03-2024
48,Idukki,Adimali,Orange,7000,8000,8000,27-01-2024
49,Idukki,Adimali,Orange,8000,8000,8000,01-10-2024
50,Idukki,Adimali,Orange,8000,8000,8000,04-03-2024
51,Idukki,Adimali,Orange,8000,8000,8000,05-10-2024
52,Idukki,Adimali,Orange,8000,8000,8000,06-02-2024
53,Idukki,Adimali,Orange,8000,8000,8000,07-10-2024
54,Idukki,Adimali,Orange,8000,8000,8000,09-10-2024
55,Idukki,Adimali,Orange,8000,8000,8000,10-10-2024
56,Idukki,Adimali,Orange,8000,8000,8000,11-07-2024
57,Idukki,Adimali,Orange,8000,8000,8000,15-02-2024
58,Idukki,Adimali,Orange,8000,8000,8000,16-02-2024
59,Idukki,Adimali,Orange,8000,8000,8000,16-10-2024
60,Idukki,Adimali,Orange,8000,8000,8000,17-02-2024
61,Idukki,Adimali,Orange,8000,8000,8000,19-02-2024
62,Idukki,Adimali,Orange,8000,8000,8000,19-11-2024
63,Idukki,Adimali,Orange,8000,8000,8000,21-02-2024
64,Idukki,Adimali,Orange,8000,8000,8000,22-02-2024
65,Idukki,Adimali,Orange,8000,8000,8000,25-01-2024
66,Idukki,Adimali,Orange,8000,8000,8000,25-11-2024
67,Idukki,Adimali,Orange,8000,8000,8000,26-02-2024
68,Idukki,Adimali,Orange,8000,8000,8000,26-01-2024
69,Idukki,Adimali,Orange,8000,8000,8000,26-03-2024
70,Idukki,Adimali,Orange,8000,8000,8000,30-09-2024
71,Idukki,Adimali,Orange,8000,8000,8000,31-01-2024
72,Idukki,Adimali,Orange,9000,9000,9000,01-04-2024
73,Idukki,Adimali,Orange,9000,9000,9000,03-04-2024
74,Idukki,Adimali,Orange,9000,9000,9000,04-04-2024
75,Idukki,Adimali,Orange,9000,9000,9000,11-04-2024
76,Idukki,Adimali,Orange,9000,9000,9000,12-04-2024
77,Idukki,Adimali,Orange,9000,9000,9000,13-04-2024
78,Idukki,Adimali,Orange,9000,9000,9000,19-04-2024
79,Idukki,Adimali,Orange,9000,9000,9000,19-10-2024
80,Idukki,Adimali,Orange,9000,9000,9000,30-03-2024
81,Idukki,Adimali,Orange,10000,10000,10000,02-09-2024
82,Idukki,Adimali,Orange,10000,10000,10000,04-09-2024
83,Idukki,Adimali,Orange,10000,10000,10000,05-04-2024
84,Idukki,Adimali,Orange,10000,10000,10000,12-09-2024
85,Idukki,Adimali,Orange,10000,10000,10000,15-04-2024
86,Idukki,Adimali,Orange,10000,10000,10000,29-04-2024
87,Idukki,Adimali,Orange,12000,12000,12000,02-05-2024
88,Idukki,Adimali,Orange,12000,12000,12000,03-06-2024
89,Idukki,Adimali,Orange,12000,12000,12000,03-05-2024
90,Idukki,Adimali,Orange,12000,12000,12000,04-05-2024
91,Idukki,Adimali,Orange,12000,12000,12000,05-06-2024
92,Idukki,Adimali,Orange,12000,12000,12000,06-05-2024
93,Idukki,Adimali,Orange,12000,12000,12000,23-08-2024
94,Idukki,Adimali,Orange,12000,12000,12000,29-05-2024
95,Idukki,Adimali,Orange,14000,14000,14000,02-08-2024
96,Idukki,Adimali,Orange,14000,14000,14000,03-07-2024
97,Idukki,Adimali,Orange,14000,14000,14000,06-08-2024
98,Idukki,Adimali,Orange,14000,14000,14000,07-08-2024
99,Idukki,Adimali,Orange,14000,14000,14000,12-08-2024
100,Idukki,Adimali,Orange,14000,14000,14000,13-08-2024
101,Idukki,Adimali,Orange,14000,14000,14000,13-09-2024
102,Idukki,Adimali,Orange,14000,14000,14000,15-08-2024
103,Idukki,Adimali,Orange,14000,14000,14000,17-04-2024
104,Idukki,Adimali,Orange,14000,14000,14000,17-08-2024
105,Idukki,Adimali,Orange,14000,14000,14000,19-09-2024
106,Idukki,Adimali,Orange,14000,14000,14000,20-09-2024
107,Idukki,Adimali,Orange,14000,14000,14000,21-08-2024
108,Idukki,Adimali,Orange,14000,14000,14000,27-08-2024
109,Idukki,Adimali,Orange,14000,14000,14000,28-08-2024
110,Idukki,Adimali,Orange,14000,14000,14000,29-08-2024
111,Idukki,Adimali,Orange,14000,14000,14000,29-07-2024
112,Idukki,Adimali,Orange,14000,14000,14000,30-08-2024
113,Idukki,Adimali,Orange,14000,14000,14000,30-07-2024
114,Idukki,Adimali,Orange,14000,14000,14000,31-07-2024
115,Idukki,Adimali,Orange,16000,16000,16000,06-07-2024
116,Idukki,Adimali,Orange,16000,16000,16000,09-07-2024
117,Idukki,Adimali,Orange,16000,16000,16000,10-06-2024
118,Idukki,Adimali,Orange,16000,16000,16000,19-06-2024
119,Idukki,Kattappana,Orange,4000,4500,4500,20-11-2024
120,Idukki,Kattappana,Orange,6500,7000,6800,16-01-2024
121,Idukki,Kattappana,Orange,3000,4000,3500,26-06-2024
122,Idukki,Kattappana,Orange,4500,5500,5000,23-05-2024
123,Idukki,Kattappana,Orange,5000,5000,5000,28-09-2024
124,Idukki,Kattappana,Orange,5000,5500,5000,27-09-2024
125,Idukki,Kattappana,Orange,6500,6800,6800,18-01-2024
126,Idukki,Kattappana,Orange,6700,7200,6900,20-01-2024
127,Idukki,Kattappana,Orange,7000,7700,7400,25-01-2024
128,Idukki,Kattappana,Orange,8500,9000,9000,14-07-2024
129,Idukki,Kattappana,Orange,8500,9300,9000,13-07-2024
130,Idukki,Kattappana,Orange,6500,6800,6800,27-01-2024
131,Idukki,Kattappana,Orange,6700,6800,6800,17-01-2024
132,Idukki,Kattappana,Orange,6700,7000,7000,31-01-2024
133,Idukki,Munnar,Orange,4000,4800,4500,03-09-2024
134,Idukki,Munnar,Orange,7000,8000,8000,27-06-2024
135,Idukki,Munnar,Orange,7000,8000,8000,30-12-2024
136,Idukki,Munnar,Orange,7000,8500,8000,02-02-2024
137,Idukki,Munnar,Orange,7000,8500,8000,13-01-2024
138,Idukki,Munnar,Orange,7000,8500,8000,16-03-2024
139,Idukki,Munnar,Orange,7000,8500,8000,20-09-2024
140,Idukki,Munnar,Orange,7000,8500,8000,21-04-2024
141,Idukki,Munnar,Orange,7000,9000,8000,02-10-2024
142,Idukki,Munnar,Orange,7000,9000,8000,14-05-2024
143,Idukki,Munnar,Orange,7000,9000,8000,19-12-2024
144,Idukki,Munnar,Orange,7500,8500,8000,29-01-2024
145,Idukki,Munnar,Orange,7500,9000,8000,03-05-2024
146,Idukki,Munnar,Orange,7500,9000,8000,10-01-2024
147,Idukki,Munnar,Orange,7500,9000,8500,13-04-2024
148,Idukki,Munnar,Orange,8000,8500,8500,25-11-2024
149,Idukki,Munnar,Orange,8000,9000,8000,13-10-2024
150,Idukki,Munnar,Orange,8000,9000,8500,15-03-2024
151,Idukki,Munnar,Orange,8000,9000,8500,24-03-2024
