Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Krishnagiri,Hosur,Orange,140,160,160,01-07-2024
2,Krishnagiri,Hosur,Orange,140,160,160,02-07-2024
3,Krishnagiri,Hosur,Orange,140,160,160,03-07-2024
4,Krishnagiri,Hosur,Orange,140,160,160,04-07-2024
5,Krishnagiri,Hosur,Orange,140,160,160,05-07-2024
6,Krishnagiri,Hosur,Orange,140,160,160,06-07-2024
7,Krishnagiri,Hosur,Orange,140,160,160,07-07-2024
8,Krishnagiri,Hosur,Orange,140,160,160,18-06-2024
9,Krishnagiri,Hosur,Orange,140,160,160,19-06-2024
10,Krishnagiri,Hosur,Orange,140,160,160,20-06-2024
11,Krishnagiri,Hosur,Orange,140,160,160,21-06-2024
12,Krishnagiri,Hosur,Orange,140,160,160,22-06-2024
13,Krishnagiri,Hosur,Orange,140,160,160,23-06-2024
14,Krishnagiri,Hosur,Orange,140,160,160,24-06-2024
15,Krishnagiri,Hosur,Orange,140,160,160,26-06-2024
16,Krishnagiri,Hosur,Orange,140,160,160,27-06-2024
17,Krishnagiri,Hosur,Orange,140,160,160,28-06-2024
18,Krishnagiri,Hosur,Orange,140,160,160,29-06-2024
19,Krishnagiri,Hosur,Orange,140,160,160,30-06-2024
20,Krishnagiri,Hosur,Orange,150,200,200,25-06-2024
21,Krishnagiri,Hosur,Orange,12000,16000,16000,12-07-2024
22,Krishnagiri,Hosur,Orange,14000,16000,16000,08-07-2024
23,Krishnagiri,Hosur,Orange,14000,16000,16000,09-07-2024
24,Krishnagiri,Hosur,Orange,14000,16000,16000,10-07-2024
25,Krishnagiri,Hosur,Orange,14000,16000,16000,11-07-2024
26,Krishnagiri,Hosur,Orange,14000,16000,16000,13-07-2024
27,Krishnagiri,Hosur,Orange,14000,16000,16000,14-07-2024
28,Krishnagiri,Hosur,Orange,14000,16000,16000,15-07-2024
29,Krishnagiri,Hosur,Orange,14000,16000,16000,16-07-2024
30,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,04-12-2024
31,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,05-12-2024
32,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,06-12-2024
33,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,07-12-2024
34,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,11-12-2024
35,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,12-12-2024
36,Krishnagiri,Hosur(Uzhavar Sandhai ),Orange,4000,5000,5000,24-12-2024
