Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Malappuram,Kondotty,Orange,5800,6000,5900,06-12-2024
2,Malappuram,Kondotty,Orange,8000,8200,8100,24-09-2024
3,Malappuram,Kondotty,Orange,3500,3700,3600,04-10-2024
4,Malappuram,Kondotty,Orange,3500,3700,3600,07-10-2024
5,Malappuram,Kondotty,Orange,3800,4000,3900,24-01-2024
6,Malappuram,Kondotty,Orange,4000,4200,4100,03-10-2024
7,Malappuram,Kondotty,Orange,4000,4200,4100,04-01-2024
8,Malappuram,Kondotty,Orange,4000,4200,4100,04-03-2024
9,Malappuram,Kondotty,Orange,4000,4200,4100,04-11-2024
10,Malappuram,Kondotty,Orange,4000,4200,4100,05-11-2024
11,Malappuram,Kondotty,Orange,4000,4200,4100,06-11-2024
12,Malappuram,Kondotty,Orange,4000,4200,4100,07-01-2024
13,Malappuram,Kondotty,Orange,4000,4200,4100,07-11-2024
14,Malappuram,Kondotty,Orange,4000,4200,4100,08-01-2024
15,Malappuram,Kondotty,Orange,4000,4200,4100,09-01-2024
16,Malappuram,Kondotty,Orange,4000,4200,4100,12-01-2024
17,Malappuram,Kondotty,Orange,4000,4200,4100,18-01-2024
18,Malappuram,Kondotty,Orange,4000,4200,4100,19-01-2024
19,Malappuram,Kondotty,Orange,4000,4200,4100,23-12-2024
20,Malappuram,Kondotty,Orange,4000,4200,4100,30-10-2024
21,Malappuram,Kondotty,Orange,4000,4600,4500,20-01-2024
22,Malappuram,Kondotty,Orange,4500,4700,4600,14-11-2024
23,Malappuram,Kondotty,Orange,4500,4700,4600,15-01-2024
24,Malappuram,Kondotty,Orange,4500,4700,4600,16-01-2024
25,Malappuram,Kondotty,Orange,4500,5500,5000,26-01-2024
26,Malappuram,Kondotty,Orange,4800,5000,4900,17-01-2024
27,Malappuram,Kondotty,Orange,4900,5100,5000,22-01-2024
28,Malappuram,Kondotty,Orange,5000,5200,5100,01-04-2024
29,Malappuram,Kondotty,Orange,5000,5200,5100,03-01-2024
30,Malappuram,Kondotty,Orange,5000,5200,5100,06-02-2024
31,Malappuram,Kondotty,Orange,5000,5200,5100,10-02-2024
32,Malappuram,Kondotty,Orange,5000,5200,5100,13-03-2024
33,Malappuram,Kondotty,Orange,5000,5200,5100,19-12-2024
34,Malappuram,Kondotty,Orange,5000,5200,5100,20-11-2024
35,Malappuram,Kondotty,Orange,5000,5200,5100,23-02-2024
36,Malappuram,Kondotty,Orange,5000,5200,5100,23-01-2024
37,Malappuram,Kondotty,Orange,5000,5200,5100,24-12-2024
38,Malappuram,Kondotty,Orange,5000,5200,5100,26-10-2024
39,Malappuram,Kondotty,Orange,5000,5800,5600,16-10-2024
40,Malappuram,Kondotty,Orange,5400,5600,5500,21-11-2024
41,Malappuram,Kondotty,Orange,5600,5800,5700,09-12-2024
42,Malappuram,Kondotty,Orange,5800,6000,5900,03-12-2024
43,Malappuram,Kondotty,Orange,5800,6000,5900,05-12-2024
44,Malappuram,Kondotty,Orange,5800,6000,5900,12-12-2024
45,Malappuram,Kondotty,Orange,5800,6000,5900,16-03-2024
46,Malappuram,Kondotty,Orange,5800,6000,5900,18-12-2024
47,Malappuram,Kondotty,Orange,5800,6000,5900,19-11-2024
48,Malappuram,Kondotty,Orange,5800,6000,5900,19-10-2024
49,Malappuram,Kondotty,Orange,5800,6000,5900,21-12-2024
50,Malappuram,Kondotty,Orange,5800,6000,5900,22-11-2024
51,Malappuram,Kondotty,Orange,5800,6000,5900,22-10-2024
52,Malappuram,Kondotty,Orange,5800,6000,5900,25-01-2024
53,Malappuram,Kondotty,Orange,5800,6000,5900,27-12-2024
54,Malappuram,Kondotty,Orange,5800,6000,5900,30-12-2024
55,Malappuram,Kondotty,Orange,5800,6000,5900,30-01-2024
56,Malappuram,Kondotty,Orange,6000,6200,6100,01-02-2024
57,Malappuram,Kondotty,Orange,6000,6200,6100,01-03-2024
58,Malappuram,Kondotty,Orange,6000,6200,6100,02-12-2024
59,Malappuram,Kondotty,Orange,6000,6200,6100,02-09-2024
60,Malappuram,Kondotty,Orange,6000,6200,6100,05-04-2024
61,Malappuram,Kondotty,Orange,6000,6200,6100,06-04-2024
62,Malappuram,Kondotty,Orange,6000,6200,6100,06-09-2024
63,Malappuram,Kondotty,Orange,6000,6200,6100,07-02-2024
64,Malappuram,Kondotty,Orange,6000,6200,6100,07-03-2024
65,Malappuram,Kondotty,Orange,6000,6200,6100,07-09-2024
66,Malappuram,Kondotty,Orange,6000,6200,6100,08-02-2024
67,Malappuram,Kondotty,Orange,6000,6200,6100,09-03-2024
68,Malappuram,Kondotty,Orange,6000,6200,6100,10-12-2024
69,Malappuram,Kondotty,Orange,6000,6200,6100,11-04-2024
70,Malappuram,Kondotty,Orange,6000,6200,6100,11-12-2024
71,Malappuram,Kondotty,Orange,6000,6200,6100,11-11-2024
72,Malappuram,Kondotty,Orange,6000,6200,6100,12-04-2024
73,Malappuram,Kondotty,Orange,6000,6200,6100,12-02-2024
74,Malappuram,Kondotty,Orange,6000,6200,6100,12-03-2024
75,Malappuram,Kondotty,Orange,6000,6200,6100,12-11-2024
76,Malappuram,Kondotty,Orange,6000,6200,6100,13-02-2024
77,Malappuram,Kondotty,Orange,6000,6200,6100,14-02-2024
78,Malappuram,Kondotty,Orange,6000,6200,6100,15-03-2024
79,Malappuram,Kondotty,Orange,6000,6200,6100,15-11-2024
80,Malappuram,Kondotty,Orange,6000,6200,6100,16-12-2024
81,Malappuram,Kondotty,Orange,6000,6200,6100,16-02-2024
82,Malappuram,Kondotty,Orange,6000,6200,6100,17-10-2024
83,Malappuram,Kondotty,Orange,6000,6200,6100,18-04-2024
84,Malappuram,Kondotty,Orange,6000,6200,6100,19-04-2024
85,Malappuram,Kondotty,Orange,6000,6200,6100,19-03-2024
86,Malappuram,Kondotty,Orange,6000,6200,6100,20-04-2024
87,Malappuram,Kondotty,Orange,6000,6200,6100,20-03-2024
88,Malappuram,Kondotty,Orange,6000,6200,6100,21-03-2024
89,Malappuram,Kondotty,Orange,6000,6200,6100,22-03-2024
90,Malappuram,Kondotty,Orange,6000,6200,6100,25-03-2024
91,Malappuram,Kondotty,Orange,6000,6200,6100,25-11-2024
92,Malappuram,Kondotty,Orange,6000,6200,6100,26-11-2024
93,Malappuram,Kondotty,Orange,6000,6200,6100,27-02-2024
94,Malappuram,Kondotty,Orange,6000,6200,6100,28-08-2024
95,Malappuram,Kondotty,Orange,6000,6200,6100,28-03-2024
96,Malappuram,Kondotty,Orange,6000,6200,6100,28-10-2024
97,Malappuram,Kondotty,Orange,6000,6200,6100,29-08-2024
98,Malappuram,Kondotty,Orange,6000,6200,6100,29-11-2024
99,Malappuram,Kondotty,Orange,6000,6200,6100,29-10-2024
100,Malappuram,Kondotty,Orange,6000,6200,6100,30-04-2024
101,Malappuram,Kondotty,Orange,6000,6200,6100,31-01-2024
102,Malappuram,Kondotty,Orange,6800,7000,6900,10-05-2024
103,Malappuram,Kondotty,Orange,7000,7200,7100,01-05-2024
104,Malappuram,Kondotty,Orange,7000,7200,7100,02-05-2024
105,Malappuram,Kondotty,Orange,7000,7200,7100,09-05-2024
106,Malappuram,Kondotty,Orange,7000,7200,7100,13-05-2024
107,Malappuram,Kondotty,Orange,7000,7200,7100,15-04-2024
108,Malappuram,Kondotty,Orange,7000,7200,7100,15-05-2024
109,Malappuram,Kondotty,Orange,7000,7200,7100,17-05-2024
110,Malappuram,Kondotty,Orange,7000,7200,7100,23-04-2024
111,Malappuram,Kondotty,Orange,7000,7200,7100,25-04-2024
112,Malappuram,Kondotty,Orange,7000,7200,7100,26-04-2024
113,Malappuram,Kondotty,Orange,7000,7200,7100,27-04-2024
114,Malappuram,Kondotty,Orange,7000,7200,7100,29-04-2024
115,Malappuram,Kondotty,Orange,7000,7200,7100,31-08-2024
116,Malappuram,Kondotty,Orange,7800,8000,7900,19-09-2024
