Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajnandgaon,Rajnandgaon,Orange,3200,4200,3700,11-10-2024
2,Rajnandgaon,Rajnandgaon,Orange,4000,8000,6000,08-02-2024
3,Rajnandgaon,Rajnandgaon,Orange,4000,8000,6000,14-02-2024
4,Rajnandgaon,Rajnandgaon,Orange,4000,8000,6000,14-03-2024
5,Rajnandgaon,Rajnandgaon,Orange,2600,2800,2700,19-11-2024
6,Rajnandgaon,Rajnandgaon,Orange,2600,2800,2700,23-11-2024
7,Rajnandgaon,Rajnandgaon,Orange,2600,2900,2800,03-12-2024
8,Rajnandgaon,Rajnandgaon,Orange,2600,3000,2800,05-11-2024
9,Rajnandgaon,Rajnandgaon,Orange,2600,3000,2800,30-10-2024
10,Rajnandgaon,Rajnandgaon,Orange,2600,3200,2800,13-11-2024
11,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,01-12-2024
12,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,05-12-2024
13,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,08-12-2024
14,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,12-12-2024
15,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,14-11-2024
16,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,16-11-2024
17,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,17-11-2024
18,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,20-11-2024
19,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,21-11-2024
20,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,22-11-2024
21,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,24-11-2024
22,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,27-11-2024
23,Rajnandgaon,Rajnandgaon,Orange,2700,2900,2800,28-11-2024
24,Rajnandgaon,Rajnandgaon,Orange,2700,3000,2800,06-11-2024
