Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thiruvananthapuram,Chala,Orange,4500,4500,4500,02-12-2024
2,Thiruvananthapuram,Chala,Orange,4500,4500,4500,04-12-2024
3,Thiruvananthapuram,Chala,Orange,4500,4500,4500,05-12-2024
4,Thiruvananthapuram,Chala,Orange,4500,4500,4500,07-12-2024
5,Thiruvananthapuram,Chala,Orange,4500,4500,4500,17-12-2024
6,Thiruvananthapuram,Chala,Orange,4500,4500,4500,18-11-2024
7,Thiruvananthapuram,Chala,Orange,4500,4500,4500,19-11-2024
8,Thiruvananthapuram,Chala,Orange,4500,4500,4500,20-11-2024
9,Thiruvananthapuram,Chala,Orange,4500,4500,4500,21-11-2024
10,Thiruvananthapuram,Chala,Orange,4500,4500,4500,23-11-2024
11,Thiruvananthapuram,Chala,Orange,4500,4500,4500,25-11-2024
12,Thiruvananthapuram,Chala,Orange,4500,4500,4500,26-11-2024
13,Thiruvananthapuram,Chala,Orange,4500,4500,4500,27-11-2024
14,Thiruvananthapuram,Chala,Orange,4500,4500,4500,28-11-2024
15,Thiruvananthapuram,Chala,Orange,4500,4500,4500,28-10-2024
16,Thiruvananthapuram,Chala,Orange,4500,4500,4500,29-11-2024
17,Thiruvananthapuram,Chala,Orange,4500,4500,4500,30-11-2024
18,Thiruvananthapuram,Chala,Orange,4500,4500,4500,30-10-2024
19,Thiruvananthapuram,Chala,Orange,4500,4800,4500,26-12-2024
20,Thiruvananthapuram,Chala,Orange,4500,4800,4500,27-12-2024
21,Thiruvananthapuram,Chala,Orange,4500,4800,4500,28-12-2024
22,Thiruvananthapuram,Chala,Orange,4500,5000,4500,16-12-2024
23,Thiruvananthapuram,Chala,Orange,4500,5000,4500,18-12-2024
24,Thiruvananthapuram,Chala,Orange,4500,5000,4500,19-12-2024
25,Thiruvananthapuram,Chala,Orange,4500,5000,4500,30-12-2024
26,Thiruvananthapuram,Chala,Orange,4500,5000,4500,31-12-2024
27,Thiruvananthapuram,Chala,Orange,5000,5000,5000,04-10-2024
28,Thiruvananthapuram,Chala,Orange,5000,5000,5000,06-11-2024
29,Thiruvananthapuram,Chala,Orange,5000,5000,5000,07-11-2024
30,Thiruvananthapuram,Chala,Orange,5000,5000,5000,07-10-2024
31,Thiruvananthapuram,Chala,Orange,5000,5000,5000,08-11-2024
32,Thiruvananthapuram,Chala,Orange,5000,5000,5000,09-12-2024
33,Thiruvananthapuram,Chala,Orange,5000,5000,5000,10-12-2024
34,Thiruvananthapuram,Chala,Orange,5000,5000,5000,11-12-2024
35,Thiruvananthapuram,Chala,Orange,5000,5000,5000,11-11-2024
36,Thiruvananthapuram,Chala,Orange,5000,5000,5000,12-12-2024
37,Thiruvananthapuram,Chala,Orange,5000,5000,5000,12-11-2024
38,Thiruvananthapuram,Chala,Orange,5000,5000,5000,13-12-2024
39,Thiruvananthapuram,Chala,Orange,5000,5000,5000,13-11-2024
40,Thiruvananthapuram,Chala,Orange,5000,5000,5000,14-11-2024
41,Thiruvananthapuram,Chala,Orange,5000,5000,5000,15-11-2024
42,Thiruvananthapuram,Chala,Orange,5000,5000,5000,19-10-2024
43,Thiruvananthapuram,Chala,Orange,5000,5000,5000,21-10-2024
44,Thiruvananthapuram,Chala,Orange,5000,5200,5000,03-10-2024
45,Thiruvananthapuram,Chala,Orange,5000,5500,5000,04-11-2024
46,Thiruvananthapuram,Chala,Orange,5000,5500,5000,08-10-2024
47,Thiruvananthapuram,Chala,Orange,5200,5300,5200,01-11-2024
48,Thiruvananthapuram,Chala,Orange,5200,5300,5200,05-10-2024
49,Thiruvananthapuram,Chala,Orange,5200,5500,5200,10-10-2024
50,Thiruvananthapuram,Chala,Orange,5500,5500,5500,15-10-2024
51,Thiruvananthapuram,Chala,Orange,5500,5600,5500,18-01-2024
52,Thiruvananthapuram,Chala,Orange,5500,5600,5500,18-10-2024
53,Thiruvananthapuram,Chala,Orange,5500,5600,5500,21-01-2024
54,Thiruvananthapuram,Chala,Orange,5500,5800,5500,14-10-2024
55,Thiruvananthapuram,Chala,Orange,5500,5800,5500,17-10-2024
56,Thiruvananthapuram,Chala,Orange,5600,5700,5600,23-10-2024
57,Thiruvananthapuram,Chala,Orange,5600,5700,5600,24-10-2024
58,Thiruvananthapuram,Chala,Orange,6000,6000,6000,12-02-2024
59,Thiruvananthapuram,Chala,Orange,6000,6200,6000,09-02-2024
60,Thiruvananthapuram,Chala,Orange,6000,6200,6000,19-02-2024
61,Thiruvananthapuram,Chala,Orange,6000,6200,6000,28-02-2024
62,Thiruvananthapuram,Chala,Orange,6000,6300,6000,27-09-2024
63,Thiruvananthapuram,Chala,Orange,6000,6500,6000,25-09-2024
64,Thiruvananthapuram,Chala,Orange,6100,6600,6100,26-09-2024
65,Thiruvananthapuram,Chala,Orange,6200,6300,6200,08-01-2024
66,Thiruvananthapuram,Chala,Orange,6500,6600,6500,06-02-2024
