Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Potato,650,750,700,05-01-2024
2,Agra,Potato,900,1070,1015,07-03-2024
3,Agra,Potato,600,680,640,29-01-2024
4,Agra,Potato,1650,1735,1695,01-06-2024
5,Agra,Potato,1990,2170,2070,25-09-2024
6,Agra,Potato,550,710,620,03-02-2024
7,Agra,Potato,1800,1990,1890,11-12-2024
8,Agra,Potato,1640,1730,1685,05-06-2024
9,Agra,Potato,800,980,900,27-02-2024
10,Agra,Potato,2000,2200,2110,21-09-2024
11,Agra,Potato,2000,2220,2120,26-08-2024
12,Agra,Potato,1620,1720,1670,28-04-2024
13,Agra,Potato,580,680,630,24-01-2024
14,Agra,Potato,2000,2100,2050,02-07-2024
15,Agra,Potato,1960,2150,2040,29-09-2024
16,Agra,Potato,2010,2220,2125,27-08-2024
17,Agra,Potato,1650,1850,1750,20-12-2024
18,Agra,Potato,1990,2190,2080,04-09-2024
19,Agra,Potato,1660,1760,1710,01-05-2024
20,Agra,Potato,600,700,650,16-01-2024
21,Agra,Potato,550,700,625,05-02-2024
22,Agra,Potato,1850,2000,1920,30-06-2024
23,Agra,Potato,900,1060,1000,09-03-2024
24,Agra,Potato,2010,2220,2115,31-08-2024
25,Agra,Potato,1820,2020,1920,10-11-2024
26,Agra,Potato,1660,1750,1705,02-06-2024
27,Agra,Potato,2000,2200,2110,13-08-2024
28,Agra,Potato,900,1000,950,01-03-2024
29,Agra,Potato,1300,1420,1385,01-04-2024
30,Agra,Potato,2300,2420,2360,11-07-2024
31,Agra,Potato,1930,2120,2020,16-10-2024
32,Agra,Potato,800,1000,940,29-02-2024
33,Agra,Potato,2160,2240,2200,25-07-2024
34,Agra,Potato,1850,2050,1950,24-11-2024
35,Agra,Potato,550,700,635,07-02-2024
36,Agra,Potato,1300,1420,1380,29-03-2024
37,Agra,Potato,580,750,640,15-02-2024
38,Agra,Potato,1750,1950,1850,13-12-2024
39,Agra,Potato,1650,1725,1685,23-05-2024
