Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Potato,500,2800,1400,29-12-2024
2,Ahmednagar,Potato,1800,3200,2500,27-08-2024
3,Ahmednagar,Potato,500,2700,1600,23-04-2024
4,Ahmednagar,Potato,2000,3400,2700,13-07-2024
5,Ahmednagar,Potato,700,1800,1250,08-03-2024
6,Ahmednagar,Potato,2000,3300,2650,12-07-2024
7,Ahmednagar,Potato,700,1600,1150,09-03-2024
8,Ahmednagar,Potato,2000,3200,2600,02-09-2024
9,Ahmednagar,Potato,500,1500,1000,30-01-2024
10,Ahmednagar,Potato,1800,2600,2200,06-06-2024
11,Ahmednagar,Potato,2000,4000,3000,24-11-2024
12,Ahmednagar,Potato,600,1800,1200,14-03-2024
13,Ahmednagar,Potato,2000,3200,2600,20-07-2024
14,Ahmednagar,Potato,500,2000,1250,28-03-2024
15,Ahmednagar,Potato,2000,3700,2850,28-10-2024
16,Ahmednagar,Potato,1500,3100,2300,09-07-2024
17,Ahmednagar,Potato,1500,3200,2350,29-09-2024
18,Ahmednagar,Potato,400,1900,1150,09-01-2024
19,Ahmednagar,Potato,500,1600,1050,22-01-2024
20,Ahmednagar,Potato,1200,3000,2100,21-06-2024
21,Ahmednagar,Potato,900,2500,1700,26-12-2024
22,Ahmednagar,Potato,1800,2900,2350,23-05-2024
23,Ahmednagar,Potato,800,3200,2500,28-09-2024
24,Ahmednagar,Potato,1000,2500,1750,16-12-2024
25,Ahmednagar,Potato,500,1500,1000,19-02-2024
26,Ahmednagar,Potato,2000,3200,2600,17-08-2024
27,Ahmednagar,Potato,1800,2900,2350,11-06-2024
28,Ahmednagar,Potato,600,2500,1550,29-03-2024
29,Ahmednagar,Potato,2000,3200,2600,16-08-2024
30,Ahmednagar,Potato,500,1500,1000,10-02-2024
31,Ahmednagar,Potato,2000,3200,2600,09-09-2024
32,Ahmednagar,Potato,1800,3200,2500,20-09-2024
33,Ahmednagar,Potato,500,2000,1250,15-01-2024
34,Ahmednagar,Potato,1800,3200,2500,30-09-2024
35,Ahmednagar,Potato,1500,3100,2300,04-08-2024
36,Ahmednagar,Potato,1800,3700,2750,25-10-2024
37,Ahmednagar,Potato,2000,3000,2500,31-08-2024
38,Ahmednagar,Potato,1700,3300,2350,30-06-2024
39,Ahmednagar,Potato,2500,3600,3050,05-11-2024
40,Ahmednagar,Potato,2300,2800,2550,22-06-2024
41,Ahmednagar,Potato,500,1900,1200,06-01-2024
42,Ahmednagar,Potato,600,1700,1150,25-02-2024
43,Ahmednagar,Potato,1500,2900,2200,25-05-2024
44,Ahmednagar,Potato,2000,3200,2600,10-08-2024
45,Ahmednagar,Potato,2000,3200,2600,22-09-2024
46,Ahmednagar,Potato,1900,3400,2650,11-10-2024
47,Ahmednagar,Potato,500,1500,1000,13-02-2024
48,Ahmednagar,Potato,400,1600,1000,04-02-2024
49,Ahmednagar,Potato,500,2500,1500,15-04-2024
50,Ahmednagar,Potato,900,2900,1900,04-05-2024
51,Ahmednagar,Potato,2500,3200,2850,01-08-2024
52,Ahmednagar,Potato,2000,3200,2600,12-09-2024
53,Ahmednagar,Potato,1700,3200,2450,10-09-2024
54,Ahmednagar,Potato,1000,2900,1950,05-05-2024
55,Ahmednagar,Potato,800,2700,1750,11-05-2024
56,Ahmednagar,Potato,600,1800,1200,19-03-2024
57,Ahmednagar,Potato,2000,3200,2600,08-09-2024
58,Ahmednagar,Potato,1500,3500,2500,05-10-2024
59,Ahmednagar,Potato,500,1600,1050,05-02-2024
60,Ahmednagar,Potato,800,2500,1650,14-12-2024
61,Ahmednagar,Potato,700,2800,1750,19-12-2024
62,Ahmednagar,Potato,2000,3200,2600,29-07-2024
63,Ahmednagar,Potato,800,3000,1900,15-12-2024
64,Ahmednagar,Potato,1800,3200,2500,26-09-2024
65,Ahmednagar,Potato,500,1700,1100,11-03-2024
66,Ahmednagar,Potato,2300,3100,2700,30-07-2024
67,Ahmednagar,Potato,600,2000,1300,30-03-2024
