Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Akola,Potato,2000,2400,2200,08-06-2024
2,Akola,Potato,2000,2800,2500,22-10-2024
3,Akola,Potato,2000,2800,2400,24-08-2024
4,Akola,Potato,1000,1800,1500,27-03-2024
5,Akola,Potato,1500,2200,1800,19-04-2024
6,Akola,Potato,2200,2800,2500,29-06-2024
7,Akola,Potato,2200,2800,2500,01-07-2024
8,Akola,Potato,2200,2800,2500,14-09-2024
9,Akola,Potato,1500,2700,2400,26-10-2024
10,Akola,Potato,2200,3000,2600,29-07-2024
11,Akola,Potato,1500,2000,1800,05-01-2024
12,Akola,Potato,1000,1600,1300,14-02-2024
13,Akola,Potato,1000,1600,1400,15-03-2024
14,Akola,Potato,1200,2200,1800,13-04-2024
15,Akola,Potato,2000,2800,2400,27-08-2024
16,Akola,Potato,800,1600,1400,05-02-2024
17,Akola,Potato,2000,3200,2800,10-07-2024
18,Akola,Potato,1200,1600,1400,16-01-2024
19,Akola,Potato,1000,1800,1500,06-01-2024
20,Akola,Potato,2000,3200,2800,08-07-2024
21,Akola,Potato,1800,2800,2500,06-11-2024
22,Akola,Potato,1800,2700,2400,25-10-2024
23,Akola,Potato,1200,1600,1400,31-01-2024
24,Akola,Potato,2000,2800,2500,07-10-2024
25,Akola,Potato,1600,2500,2200,03-04-2024
26,Akola,Potato,1200,2000,1700,28-12-2024
27,Akola,Potato,2200,2800,2500,26-09-2024
28,Akola,Potato,2000,2700,2400,28-11-2024
29,Akola,Potato,1000,1700,1400,03-02-2024
30,Akola,Potato,1500,2200,1900,29-04-2024
31,Akola,Potato,1800,2300,2000,08-05-2024
32,Akola,Potato,2200,3000,2600,07-08-2024
33,Akola,Potato,2000,2800,2400,26-08-2024
34,Akola,Potato,2200,3000,2700,15-07-2024
35,Akola,Potato,1500,2200,1800,04-04-2024
36,Akola,Potato,2200,2600,2400,13-12-2024
37,Akola,Potato,1800,2300,2100,31-05-2024
38,Akola,Potato,2000,2800,2500,08-11-2024
39,Akola,Potato,2200,2800,2500,31-08-2024
40,Akola,Potato,1200,1700,1400,15-01-2024
41,Akola,Potato,2000,2900,2500,23-09-2024
42,Akola,Potato,2000,2600,2400,09-12-2024
43,Akola,Potato,1000,1800,1400,09-01-2024
44,Akola,Potato,2300,3000,2600,10-08-2024
45,Akola,Potato,800,1500,1200,27-01-2024
46,Akola,Potato,1000,1600,1400,11-03-2024
47,Akola,Potato,2000,2700,2500,16-10-2024
48,Akola,Potato,2200,3000,2700,24-07-2024
49,Akola,Potato,1000,2200,2000,23-12-2024
50,Akola,Potato,2000,2800,2600,20-09-2024
51,Akola,Potato,1000,1400,1200,02-03-2024
52,Akola,Potato,2200,2800,2400,21-11-2024
53,Akola,Potato,700,1500,1200,20-01-2024
