Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amritsar,Potato,200,1800,1000,31-05-2024
2,Amritsar,Potato,200,350,250,22-01-2024
3,Amritsar,Potato,200,350,250,23-01-2024
4,Amritsar,Potato,200,350,250,25-01-2024
5,Amritsar,Potato,200,350,300,01-02-2024
6,Amritsar,Potato,200,350,300,03-02-2024
7,Amritsar,Potato,200,350,300,20-01-2024
8,Amritsar,Potato,200,350,300,24-01-2024
9,Amritsar,Potato,200,350,300,26-01-2024
10,Amritsar,Potato,200,400,300,01-01-2024
11,Amritsar,Potato,200,400,300,02-02-2024
12,Amritsar,Potato,200,400,300,02-01-2024
13,Amritsar,Potato,200,400,300,03-01-2024
14,Amritsar,Potato,200,400,300,04-01-2024
15,Amritsar,Potato,200,400,300,05-02-2024
16,Amritsar,Potato,200,400,300,06-02-2024
17,Amritsar,Potato,200,400,300,06-01-2024
18,Amritsar,Potato,200,400,300,07-02-2024
19,Amritsar,Potato,200,400,300,08-02-2024
20,Amritsar,Potato,200,400,300,08-01-2024
21,Amritsar,Potato,200,400,300,10-01-2024
22,Amritsar,Potato,200,400,300,11-01-2024
23,Amritsar,Potato,200,400,300,12-01-2024
24,Amritsar,Potato,200,400,300,13-01-2024
25,Amritsar,Potato,200,400,300,14-02-2024
26,Amritsar,Potato,200,400,300,16-01-2024
27,Amritsar,Potato,200,400,300,17-01-2024
28,Amritsar,Potato,200,400,300,18-01-2024
29,Amritsar,Potato,200,400,300,19-01-2024
30,Amritsar,Potato,200,400,300,27-01-2024
31,Amritsar,Potato,200,400,350,09-02-2024
32,Amritsar,Potato,200,400,350,29-01-2024
33,Amritsar,Potato,200,400,350,30-01-2024
34,Amritsar,Potato,200,450,300,10-02-2024
35,Amritsar,Potato,200,500,300,05-01-2024
36,Amritsar,Potato,200,500,300,09-01-2024
37,Amritsar,Potato,200,500,400,13-02-2024
38,Amritsar,Potato,200,500,400,15-01-2024
39,Amritsar,Potato,200,500,400,17-02-2024
40,Amritsar,Potato,200,500,400,19-02-2024
41,Amritsar,Potato,200,550,400,15-02-2024
42,Amritsar,Potato,200,600,400,01-03-2024
43,Amritsar,Potato,200,600,400,02-03-2024
44,Amritsar,Potato,200,600,400,04-03-2024
45,Amritsar,Potato,200,600,400,12-02-2024
46,Amritsar,Potato,200,600,400,20-02-2024
47,Amritsar,Potato,200,600,400,21-02-2024
48,Amritsar,Potato,200,600,400,22-02-2024
49,Amritsar,Potato,200,600,400,27-02-2024
50,Amritsar,Potato,200,625,400,29-02-2024
51,Amritsar,Potato,200,640,400,28-02-2024
52,Amritsar,Potato,200,660,400,26-02-2024
53,Amritsar,Potato,200,700,400,08-03-2024
54,Amritsar,Potato,200,700,400,24-02-2024
55,Amritsar,Potato,200,700,500,05-03-2024
56,Amritsar,Potato,200,750,500,13-03-2024
57,Amritsar,Potato,200,800,500,06-03-2024
58,Amritsar,Potato,200,800,500,09-03-2024
59,Amritsar,Potato,200,800,500,11-03-2024
60,Amritsar,Potato,200,800,500,12-03-2024
61,Amritsar,Potato,200,800,500,14-03-2024
62,Amritsar,Potato,200,800,500,21-03-2024
63,Amritsar,Potato,200,800,500,22-03-2024
64,Amritsar,Potato,200,900,500,23-03-2024
65,Amritsar,Potato,200,900,500,26-03-2024
66,Amritsar,Potato,200,900,500,27-03-2024
67,Amritsar,Potato,200,1000,400,16-03-2024
68,Amritsar,Potato,200,1000,500,15-03-2024
69,Amritsar,Potato,200,1000,600,01-04-2024
70,Amritsar,Potato,200,1000,600,02-04-2024
71,Amritsar,Potato,200,1000,600,04-04-2024
72,Amritsar,Potato,200,1000,600,05-04-2024
73,Amritsar,Potato,200,1000,600,09-04-2024
74,Amritsar,Potato,200,1000,600,12-04-2024
75,Amritsar,Potato,200,1000,600,13-04-2024
76,Amritsar,Potato,200,1000,600,28-03-2024
77,Amritsar,Potato,200,1000,600,29-03-2024
78,Amritsar,Potato,200,1000,700,08-04-2024
79,Amritsar,Potato,200,1000,700,15-04-2024
80,Amritsar,Potato,200,1100,600,06-04-2024
81,Amritsar,Potato,200,1100,600,10-04-2024
82,Amritsar,Potato,200,1100,600,30-03-2024
83,Amritsar,Potato,200,1200,800,23-12-2024
84,Amritsar,Potato,200,1300,800,02-05-2024
85,Amritsar,Potato,200,1350,800,30-04-2024
86,Amritsar,Potato,200,1400,600,19-04-2024
87,Amritsar,Potato,200,1400,700,16-04-2024
88,Amritsar,Potato,200,1400,700,17-04-2024
89,Amritsar,Potato,200,1400,800,01-05-2024
90,Amritsar,Potato,200,1400,800,27-04-2024
91,Amritsar,Potato,200,1400,1000,03-05-2024
92,Amritsar,Potato,200,1400,1000,04-05-2024
93,Amritsar,Potato,200,1450,800,29-04-2024
94,Amritsar,Potato,200,1500,850,22-04-2024
95,Amritsar,Potato,200,1600,700,18-04-2024
96,Amritsar,Potato,200,1600,1000,23-04-2024
97,Amritsar,Potato,200,1700,900,09-05-2024
98,Amritsar,Potato,200,1700,1000,14-05-2024
99,Amritsar,Potato,200,1700,1000,24-04-2024
100,Amritsar,Potato,200,1750,1000,25-04-2024
101,Amritsar,Potato,200,1750,1000,26-04-2024
102,Amritsar,Potato,200,1800,1000,01-06-2024
103,Amritsar,Potato,200,1800,1000,03-06-2024
104,Amritsar,Potato,200,1800,1000,04-06-2024
105,Amritsar,Potato,200,1800,1000,05-06-2024
106,Amritsar,Potato,200,1800,1000,06-06-2024
107,Amritsar,Potato,200,1800,1000,17-06-2024
108,Amritsar,Potato,200,1800,1000,27-05-2024
109,Amritsar,Potato,200,1800,1000,28-05-2024
110,Amritsar,Potato,200,1800,1000,29-05-2024
111,Amritsar,Potato,200,1800,1000,30-05-2024
112,Amritsar,Potato,300,500,400,16-02-2024
113,Amritsar,Potato,300,900,500,20-03-2024
114,Amritsar,Potato,300,1000,600,18-03-2024
115,Amritsar,Potato,300,1000,600,19-03-2024
116,Amritsar,Potato,300,1350,800,16-12-2024
117,Amritsar,Potato,300,1600,1000,06-05-2024
118,Amritsar,Potato,300,1600,1000,08-05-2024
119,Amritsar,Potato,300,1600,1100,10-05-2024
120,Amritsar,Potato,300,1600,1100,11-05-2024
121,Amritsar,Potato,300,1750,1000,07-05-2024
122,Amritsar,Potato,300,1800,1000,15-05-2024
123,Amritsar,Potato,300,1800,1000,16-05-2024
124,Amritsar,Potato,300,1800,1000,17-05-2024
125,Amritsar,Potato,300,1800,1000,18-05-2024
126,Amritsar,Potato,300,1800,1000,20-05-2024
127,Amritsar,Potato,300,1800,1000,21-05-2024
128,Amritsar,Potato,300,1800,1000,24-05-2024
129,Amritsar,Potato,300,1800,1000,25-05-2024
130,Amritsar,Potato,300,1800,1100,23-05-2024
131,Amritsar,Potato,400,1200,800,09-12-2024
132,Amritsar,Potato,400,1200,800,13-12-2024
133,Amritsar,Potato,400,1800,1000,01-07-2024
134,Amritsar,Potato,400,1800,1000,02-07-2024
135,Amritsar,Potato,400,1800,1000,03-07-2024
136,Amritsar,Potato,400,1800,1000,04-07-2024
137,Amritsar,Potato,400,1800,1000,05-07-2024
138,Amritsar,Potato,400,1800,1000,07-06-2024
139,Amritsar,Potato,400,1800,1000,08-07-2024
140,Amritsar,Potato,400,1800,1000,08-06-2024
141,Amritsar,Potato,400,1800,1000,09-07-2024
142,Amritsar,Potato,400,1800,1000,10-07-2024
143,Amritsar,Potato,400,1800,1000,10-06-2024
144,Amritsar,Potato,400,1800,1000,11-07-2024
145,Amritsar,Potato,400,1800,1000,11-06-2024
146,Amritsar,Potato,400,1800,1000,12-06-2024
147,Amritsar,Potato,400,1800,1000,13-06-2024
148,Amritsar,Potato,400,1800,1000,14-06-2024
149,Amritsar,Potato,400,1800,1000,15-06-2024
150,Amritsar,Potato,400,1800,1000,18-07-2024
151,Amritsar,Potato,400,1800,1000,18-06-2024
152,Amritsar,Potato,400,1800,1000,19-07-2024
153,Amritsar,Potato,400,1800,1000,19-06-2024
154,Amritsar,Potato,400,1800,1000,20-06-2024
155,Amritsar,Potato,400,1800,1000,21-06-2024
156,Amritsar,Potato,400,1800,1000,22-06-2024
157,Amritsar,Potato,400,1800,1000,24-06-2024
158,Amritsar,Potato,400,1800,1000,25-06-2024
159,Amritsar,Potato,400,1800,1000,26-06-2024
160,Amritsar,Potato,400,1900,1000,10-08-2024
161,Amritsar,Potato,400,1900,1000,23-07-2024
