Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Potato,1400,1520,1490,11-04-2024
2,Auraiya,Potato,1750,1950,1850,16-12-2024
3,Auraiya,Potato,1460,1660,1560,26-04-2024
4,Auraiya,Potato,2100,2250,2200,22-07-2024
5,Auraiya,Potato,1900,2050,1950,29-11-2024
6,Auraiya,Potato,1900,2100,2000,07-12-2024
7,Auraiya,Potato,1900,2050,1940,05-12-2024
8,Auraiya,Potato,650,750,700,31-01-2024
9,Auraiya,Potato,2050,2200,2160,03-08-2024
10,Auraiya,Potato,700,820,760,11-01-2024
11,Auraiya,Potato,1800,2020,1920,01-11-2024
12,Auraiya,Potato,1600,1750,1700,06-06-2024
13,Auraiya,Potato,700,800,760,12-01-2024
14,Auraiya,Potato,2000,2250,2140,19-08-2024
15,Auraiya,Potato,700,800,720,26-01-2024
16,Auraiya,Potato,1300,1500,1400,01-04-2024
17,Auraiya,Potato,1900,2150,2020,27-09-2024
18,Auraiya,Potato,2100,2200,2140,13-08-2024
19,Auraiya,Potato,1650,1800,1730,21-06-2024
20,Auraiya,Potato,1850,2050,1930,28-11-2024
21,Auraiya,Potato,2100,2200,2140,09-08-2024
22,Auraiya,Potato,1900,2050,1970,14-09-2024
23,Auraiya,Potato,1850,2020,1920,29-06-2024
24,Auraiya,Potato,1300,1500,1410,06-04-2024
25,Auraiya,Potato,650,760,700,09-02-2024
26,Auraiya,Potato,2150,2250,2200,26-07-2024
27,Auraiya,Potato,1480,1680,1580,26-12-2024
28,Auraiya,Potato,980,1180,1080,13-03-2024
29,Auraiya,Potato,1500,1650,1590,01-05-2024
30,Auraiya,Potato,1570,1770,1670,29-05-2024
31,Auraiya,Potato,1800,2050,1910,11-11-2024
32,Auraiya,Potato,650,800,710,06-02-2024
33,Auraiya,Potato,2020,2220,2120,02-09-2024
34,Auraiya,Potato,1900,2100,2000,18-10-2024
35,Auraiya,Potato,2100,2250,2180,01-08-2024
36,Auraiya,Potato,2100,2300,2200,19-07-2024
37,Auraiya,Potato,1500,1700,1630,07-05-2024
38,Auraiya,Potato,1800,2050,1920,28-10-2024
39,Auraiya,Potato,2000,2100,2040,06-07-2024
40,Auraiya,Potato,650,850,750,02-01-2024
41,Auraiya,Potato,1900,2050,1940,25-10-2024
42,Auraiya,Potato,2000,2230,2130,17-08-2024
43,Auraiya,Potato,2000,2230,2130,24-08-2024
44,Auraiya,Potato,850,1000,920,22-02-2024
45,Auraiya,Potato,2100,2300,2200,18-07-2024
46,Auraiya,Potato,1750,2020,1920,04-12-2024
47,Auraiya,Potato,1900,2050,1980,09-09-2024
48,Auraiya,Potato,700,800,740,09-01-2024
49,Auraiya,Potato,1300,1420,1390,19-03-2024
50,Auraiya,Potato,1500,1600,1570,25-04-2024
51,Auraiya,Potato,2000,2120,2050,05-07-2024
52,Auraiya,Potato,1450,1700,1520,17-04-2024
53,Auraiya,Potato,1500,1700,1600,21-05-2024
54,Auraiya,Potato,1900,2160,2010,21-10-2024
55,Auraiya,Potato,1300,1450,1380,28-03-2024
56,Auraiya,Potato,2100,2200,2150,07-08-2024
57,Auraiya,Potato,1300,1450,1370,26-03-2024
58,Auraiya,Potato,1600,1780,1700,13-06-2024
59,Auraiya,Potato,1810,2010,1910,10-12-2024
60,Auraiya,Potato,650,780,710,03-02-2024
61,Auraiya,Potato,1900,2150,2030,02-10-2024
62,Auraiya,Potato,1800,2000,1900,05-11-2024
63,Auraiya,Potato,1500,1650,1610,06-05-2024
64,Auraiya,Potato,1900,2000,1940,11-09-2024
65,Auraiya,Potato,1400,1546,1500,28-12-2024
66,Auraiya,Potato,2100,2250,2200,17-07-2024
67,Auraiya,Potato,1300,1450,1400,04-04-2024
68,Auraiya,Potato,2150,2250,2200,23-07-2024
69,Auraiya,Potato,2000,2120,2050,05-09-2024
70,Auraiya,Potato,1600,1730,1690,07-06-2024
71,Auraiya,Potato,700,800,730,27-01-2024
72,Auraiya,Potato,1800,2000,1900,14-12-2024
73,Auraiya,Potato,2020,2250,2120,22-08-2024
74,Auraiya,Potato,800,1000,900,21-02-2024
75,Auraiya,Potato,700,900,800,05-01-2024
76,Auraiya,Potato,2000,2220,2130,26-08-2024
77,Auraiya,Potato,1900,2050,1950,21-11-2024
78,Auraiya,Potato,1900,2100,2010,19-10-2024
79,Auraiya,Potato,3400,3560,3500,21-08-2024
80,Auraiya,Potato,1400,1600,1510,19-04-2024
81,Auraiya,Potato,2100,2250,2190,15-07-2024
82,Auraiya,Potato,1800,2000,1900,03-12-2024
83,Auraiya,Potato,1360,1450,1400,18-03-2024
84,Auraiya,Potato,1600,1800,1720,13-12-2024
85,Auraiya,Potato,2000,2230,2120,10-07-2024
86,Auraiya,Potato,1900,2000,1950,26-11-2024
87,Auraiya,Potato,2000,2250,2120,03-09-2024
88,Auraiya,Potato,1800,1950,1860,17-12-2024
89,Auraiya,Potato,650,750,700,15-01-2024
90,Auraiya,Potato,1950,2050,2000,03-07-2024
91,Auraiya,Potato,1600,1800,1710,14-06-2024
92,Auraiya,Potato,2000,2200,2100,09-07-2024
93,Auraiya,Potato,1300,1400,1350,15-03-2024
94,Auraiya,Potato,1000,1100,1060,05-03-2024
95,Auraiya,Potato,2000,2200,2120,29-08-2024
96,Auraiya,Potato,1900,2050,1940,13-09-2024
97,Auraiya,Potato,1950,2150,2020,28-09-2024
98,Auraiya,Potato,1700,1800,1730,22-06-2024
99,Auraiya,Potato,1900,2150,2020,24-09-2024
100,Auraiya,Potato,1300,1460,1410,08-04-2024
101,Auraiya,Potato,1900,2050,1980,07-09-2024
102,Auraiya,Potato,2100,2300,2210,20-07-2024
