Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Belgaum,Potato,FAQ,1500,2500,2300,06-04-2024
2,Belgaum,Potato,FAQ,1500,2100,1800,20-02-2024
3,Belgaum,Potato,FAQ,1500,2500,2200,15-03-2024
4,Belgaum,Potato,FAQ,2500,3500,3000,03-10-2024
5,Belgaum,Potato,FAQ,2500,3300,2900,06-07-2024
6,Belgaum,Potato,FAQ,2500,3200,3000,26-07-2024
7,Belgaum,Potato,FAQ,2500,3200,2800,28-08-2024
8,Belgaum,Potato,FAQ,2000,4000,3500,19-10-2024
9,Belgaum,Potato,FAQ,2000,2900,2500,18-05-2024
10,Belgaum,Potato,FAQ,2600,3300,3100,15-07-2024
11,Belgaum,Potato,FAQ,2000,3000,2500,25-09-2024
12,Belgaum,Potato,FAQ,2000,2900,2500,21-05-2024
13,Belgaum,Potato,FAQ,1500,2500,2000,14-12-2024
14,Belgaum,Potato,FAQ,2500,3700,3500,06-12-2024
15,Belgaum,Potato,FAQ,1500,2500,2000,18-12-2024
16,Belgaum,Potato,FAQ,2500,3100,2800,30-07-2024
17,Belgaum,Potato,FAQ,1500,2100,1800,17-02-2024
18,Belgaum,Potato,FAQ,2000,3000,2800,03-06-2024
19,Belgaum,Potato,FAQ,2500,3200,3000,22-07-2024
20,Belgaum,Potato,FAQ,1500,3000,2800,27-11-2024
21,Belgaum,Potato,FAQ,2500,3200,2800,29-08-2024
22,Belgaum,Potato,FAQ,1200,1700,1500,02-02-2024
23,Belgaum,Potato,FAQ,2600,3200,3000,12-07-2024
24,Belgaum,Potato,FAQ,2000,4000,3500,12-11-2024
25,Belgaum,Potato,FAQ,1500,2500,2000,31-12-2024
26,Belgaum,Potato,FAQ,2500,3200,2800,23-08-2024
27,Belgaum,Potato,FAQ,2000,2700,2500,15-05-2024
28,Belgaum,Potato,FAQ,2000,3000,2500,21-09-2024
29,Belgaum,Potato,FAQ,2000,2900,2600,24-05-2024
30,Belgaum,Potato,FAQ,2500,3100,2800,31-07-2024
31,Belgaum,Potato,FAQ,2500,3800,3500,23-10-2024
32,Belgaum,Potato,FAQ,2000,2900,2600,28-05-2024
33,Belgaum,Potato,FAQ,3000,4000,3000,07-10-2024
34,Belgaum,Potato,FAQ,1500,2700,2300,16-04-2024
35,Belgaum,Potato,FAQ,2000,3000,2500,14-09-2024
36,Belgaum,Potato,FAQ,1200,1700,1500,31-01-2024
37,Belgaum,Potato,FAQ,1500,1800,1700,06-02-2024
38,Belgaum,Potato,FAQ,1500,2500,2200,09-03-2024
