Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhiwani,Potato,650,1140,780,05-02-2024
2,Bhiwani,Potato,610,900,754,22-02-2024
3,Bhiwani,Potato,600,1000,850,07-01-2024
4,Bhiwani,Potato,650,1000,850,11-01-2024
5,Bhiwani,Potato,560,750,658,20-01-2024
6,Bhiwani,Potato,620,1140,854,01-03-2024
7,Bhiwani,Potato,1050,1250,1120,16-03-2024
8,Bhiwani,Potato,850,1250,1000,01-01-2024
9,Bhiwani,Potato,950,1240,1010,21-03-2024
10,Bhiwani,Potato,780,1150,940,12-03-2024
11,Bhiwani,Potato,650,1101,850,06-02-2024
12,Bhiwani,Potato,625,1140,854,04-03-2024
13,Bhiwani,Potato,560,1000,754,17-01-2024
14,Bhiwani,Potato,650,1101,847,02-03-2024
15,Bhiwani,Potato,610,920,750,28-02-2024
16,Bhiwani,Potato,550,854,654,09-02-2024
17,Bhiwani,Potato,784,1120,954,09-03-2024
18,Bhiwani,Potato,620,920,754,21-02-2024
19,Bhiwani,Potato,550,850,750,22-01-2024
20,Bhiwani,Potato,1000,1250,1150,15-03-2024
21,Bhiwani,Potato,590,1000,758,07-02-2024
22,Bhiwani,Potato,500,758,650,18-01-2024
23,Bhiwani,Potato,551,758,658,20-02-2024
24,Bhiwani,Potato,950,1240,1104,19-03-2024
25,Bhiwani,Potato,658,1104,854,05-03-2024
26,Bhiwani,Potato,650,1000,780,13-01-2024
27,Bhiwani,Potato,600,1000,850,05-01-2024
28,Bhiwani,Potato,554,950,658,16-02-2024
29,Bhiwani,Potato,550,940,624,25-02-2024
30,Bhiwani,Potato,550,850,745,21-01-2024
31,Bhiwani,Potato,1870,2250,2100,06-09-2024
32,Bhiwani,Potato,1240,1900,1520,07-08-2024
33,Bhiwani,Potato,600,810,720,12-01-2024
34,Bhiwani,Potato,550,850,680,24-01-2024
35,Bhiwani,Potato,1000,1542,1250,31-08-2024
36,Bhiwani,Potato,1240,2100,1540,05-08-2024
37,Bhiwani,Potato,550,1100,850,01-02-2024
38,Bhiwani,Potato,880,1120,1014,07-03-2024
39,Bhiwani,Potato,620,1140,955,29-02-2024
40,Bhiwani,Potato,950,1250,1102,20-03-2024
41,Bhiwani,Potato,784,1201,855,11-03-2024
42,Bhiwani,Potato,650,1000,850,02-02-2024
43,Bhiwani,Potato,550,780,650,31-01-2024
44,Bhiwani,Potato,650,950,758,24-02-2024
45,Bhiwani,Potato,550,800,658,28-01-2024
46,Bhiwani,Potato,550,750,658,19-01-2024
47,Bhiwani,Potato,557,1000,745,08-02-2024
48,Bhiwani,Potato,650,1000,780,15-01-2024
49,Bhiwani,Potato,650,1124,780,03-02-2024
50,Bhiwani,Potato,650,1000,850,09-01-2024
51,Bhiwani,Potato,554,854,650,30-01-2024
52,Bhiwani,Potato,1240,1540,1335,19-09-2024
53,Bhiwani,Potato,650,1000,850,10-01-2024
54,Bhiwani,Potato,550,854,680,12-02-2024
55,Bhiwani,Potato,550,850,760,18-02-2024
56,Bhiwani,Potato,650,1104,890,03-03-2024
57,Bhiwani,Potato,657,1114,854,06-03-2024
58,Bhiwani,Potato,510,950,754,15-02-2024
59,Bhiwani,Potato,650,1000,800,03-01-2024
60,Bhiwani,Potato,558,850,658,04-02-2024
61,Bhiwani,Potato,500,720,610,16-01-2024
62,Bhiwani,Potato,850,1250,1000,02-01-2024
63,Bhiwani,Potato,600,1000,850,06-01-2024
64,Bhiwani,Potato,854,1120,920,10-03-2024
65,Bhiwani,Potato,950,1250,1102,30-03-2024
66,Bhiwani,Potato,600,1000,850,04-01-2024
67,Bhiwani,Potato,610,910,780,23-02-2024
68,Bhiwani,Potato,1540,2200,1980,09-09-2024
69,Bhiwani,Potato,600,1000,850,08-01-2024
70,Bhiwani,Potato,650,1000,850,14-01-2024
71,Bhiwani,Potato,650,854,754,11-02-2024
72,Bhiwani,Potato,754,1140,895,08-03-2024
