Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bilaspur,Potato,2800,3000,2900,14-11-2024
2,Bilaspur,Potato,3200,3400,3300,24-11-2024
3,Bilaspur,Potato,4300,4500,4400,10-11-2024
4,Bilaspur,Potato,3000,3300,3200,29-10-2024
5,Bilaspur,Potato,3000,3200,3100,04-11-2024
6,Bilaspur,Potato,3500,3700,3600,07-11-2024
7,Bilaspur,Potato,3500,3800,3600,05-11-2024
8,Bilaspur,Potato,2500,2700,2600,27-11-2024
9,Bilaspur,Potato,3500,3700,3600,02-11-2024
10,Bilaspur,Potato,2800,3000,2900,14-12-2024
11,Bilaspur,Potato,3300,3500,3400,21-12-2024
12,Bilaspur,Potato,4000,4200,4100,11-11-2024
13,Bilaspur,Potato,2800,3000,2900,26-11-2024
14,Bilaspur,Potato,3300,3500,3400,25-10-2024
15,Bilaspur,Potato,3500,3800,3600,28-10-2024
16,Bilaspur,Potato,3500,3700,3600,12-12-2024
17,Bilaspur,Potato,2600,2800,2700,31-12-2024
18,Bilaspur,Potato,3200,3400,3300,30-12-2024
19,Bilaspur,Potato,2000,2200,2100,27-12-2024
20,Bilaspur,Potato,3400,3600,3500,11-12-2024
21,Bilaspur,Potato,3300,3500,3400,17-12-2024
22,Bilaspur,Potato,2600,2800,2700,23-11-2024
23,Bilaspur,Potato,3500,3700,3600,25-11-2024
24,Bilaspur,Potato,2800,3000,2900,26-12-2024
25,Bilaspur,Potato,3200,3500,3400,16-11-2024
26,Bilaspur,Potato,3000,3200,3100,05-12-2024
27,Bilaspur,Potato,3500,3700,3600,24-12-2024
28,Bilaspur,Potato,3800,4000,3900,15-12-2024
29,Bilaspur,Potato,2700,3000,2800,28-11-2024
30,Bilaspur,Potato,3200,3400,3300,16-12-2024
31,Bilaspur,Potato,3200,3500,3300,03-11-2024
32,Bilaspur,Potato,4300,4500,4400,12-11-2024
33,Bilaspur,Potato,3100,3400,3300,25-12-2024
34,Bilaspur,Potato,3800,4000,3900,06-11-2024
35,Bilaspur,Potato,3200,3400,3300,06-12-2024
36,Bilaspur,Potato,3300,3500,3400,07-12-2024
37,Bilaspur,Potato,3500,3700,3600,10-12-2024
38,Bilaspur,Potato,3300,3500,3400,27-10-2024
39,Bilaspur,Potato,3800,4000,3900,13-11-2024
40,Bilaspur,Potato,3400,3600,3500,08-11-2024
41,Bilaspur,Potato,3000,3200,3100,20-11-2024
42,Bilaspur,Potato,3800,4000,3900,09-11-2024
43,Bilaspur,Potato,3000,3200,3100,19-12-2024
44,Bilaspur,Potato,3500,3700,3600,02-12-2024
45,Bilaspur,Potato,2600,2800,2700,21-11-2024
46,Bilaspur,Potato,3000,3200,3100,29-12-2024
47,Bilaspur,Potato,3600,3800,3700,09-12-2024
48,Bilaspur,Potato,3800,4000,3900,18-11-2024
49,Bilaspur,Potato,3200,3400,3300,28-12-2024
50,Bilaspur,Potato,2500,2700,2600,15-11-2024
51,Bilaspur,Potato,4300,4500,4400,30-11-2024
52,Bilaspur,Potato,3200,3400,3300,20-12-2024
53,Bilaspur,Potato,4000,4200,4100,22-11-2024
54,Bilaspur,Potato,3500,3800,3600,08-12-2024
55,Bilaspur,Potato,3300,3600,3400,30-10-2024
56,Bilaspur,Potato,3500,3700,3600,26-10-2024
57,Bilaspur,Potato,3500,3700,3600,18-12-2024
58,Bilaspur,Potato,3800,4000,3900,04-12-2024
59,Bilaspur,Potato,3000,3300,3100,19-11-2024
60,Bilaspur,Potato,3000,3200,3100,03-12-2024
61,Bilaspur,Potato,3000,3200,3100,13-12-2024
