Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chikmagalur,Potato,1400,2600,2000,22-08-2024
2,Chikmagalur,Potato,1500,2000,1800,10-08-2024
3,Chikmagalur,Potato,1500,2500,2000,08-09-2024
4,Chikmagalur,Potato,1500,2500,2000,12-08-2024
5,Chikmagalur,Potato,1500,2600,2100,14-08-2024
6,Chikmagalur,Potato,1700,2600,2200,06-11-2024
7,Chikmagalur,Potato,1700,2600,2200,29-10-2024
8,Chikmagalur,Potato,1700,2800,1900,19-09-2024
9,Chikmagalur,Potato,1700,2800,2300,26-10-2024
10,Chikmagalur,Potato,1800,2800,2500,05-10-2024
11,Chikmagalur,Potato,1800,2900,2200,16-10-2024
12,Chikmagalur,Potato,1800,3000,2400,24-10-2024
13,Chikmagalur,Potato,2000,2800,2400,09-11-2024
14,Chikmagalur,Potato,2000,2800,2400,14-10-2024
15,Chikmagalur,Potato,2000,3000,2200,31-08-2024
16,Chikmagalur,Potato,2000,3000,2300,05-08-2024
17,Chikmagalur,Potato,2000,3000,2400,12-11-2024
18,Chikmagalur,Potato,2000,3000,2400,14-11-2024
19,Chikmagalur,Potato,2000,3000,2400,20-11-2024
20,Chikmagalur,Potato,2000,3000,2500,03-12-2024
21,Chikmagalur,Potato,2000,3000,2500,16-11-2024
22,Chikmagalur,Potato,2000,3000,2600,04-12-2024
23,Chikmagalur,Potato,2000,3500,3000,18-11-2024
24,Chikmagalur,Potato,2100,3000,2600,30-09-2024
25,Chikmagalur,Potato,2200,3500,2550,01-01-2025
26,Chikmagalur,Potato,2200,3500,2550,22-12-2024
27,Chikmagalur,Potato,2200,3500,2600,14-12-2024
28,Chikmagalur,Potato,2200,3500,2800,09-12-2024
29,Chikmagalur,Potato,2500,3500,2600,21-12-2024
30,Chikmagalur,Potato,2500,3500,2750,17-12-2024
31,Chikmagalur,Potato,2500,3500,3000,24-09-2024
32,Chikmagalur,Potato,2500,3500,3300,30-12-2024
33,Chikmagalur,Potato,2500,3700,2500,25-09-2024
34,Chikmagalur,Potato,1800,3000,2400,02-11-2024
