Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Potato,500,2450,1600,23-05-2024
2,Davangere,Potato,1000,1400,1200,06-02-2024
3,Davangere,Potato,1000,1400,1200,13-02-2024
4,Davangere,Potato,1000,1400,1200,15-02-2024
5,Davangere,Potato,1000,1400,1200,16-02-2024
6,Davangere,Potato,1000,1400,1200,20-02-2024
7,Davangere,Potato,1000,1400,1200,21-02-2024
8,Davangere,Potato,1000,1400,1200,22-02-2024
9,Davangere,Potato,1000,1400,1200,23-02-2024
10,Davangere,Potato,1000,1500,1200,05-03-2024
11,Davangere,Potato,1000,1500,1200,14-02-2024
12,Davangere,Potato,1000,1500,1200,17-02-2024
13,Davangere,Potato,1000,1500,1200,27-02-2024
14,Davangere,Potato,1000,1500,1200,30-01-2024
15,Davangere,Potato,1000,1600,1200,02-03-2024
16,Davangere,Potato,1000,1600,1200,06-03-2024
17,Davangere,Potato,1000,1600,1200,07-03-2024
18,Davangere,Potato,1000,1600,1300,01-03-2024
19,Davangere,Potato,1000,1600,1300,29-02-2024
20,Davangere,Potato,1000,1800,1500,14-03-2024
21,Davangere,Potato,1000,1800,1500,16-03-2024
22,Davangere,Potato,1000,2000,1500,04-04-2024
23,Davangere,Potato,1000,2000,1600,05-04-2024
24,Davangere,Potato,1100,1500,1300,08-02-2024
25,Davangere,Potato,1100,2000,1500,03-02-2024
26,Davangere,Potato,1200,1600,1400,09-02-2024
27,Davangere,Potato,1200,1600,1400,28-02-2024
28,Davangere,Potato,1200,1600,1400,31-01-2024
29,Davangere,Potato,1200,1600,1500,07-02-2024
30,Davangere,Potato,1200,1800,1500,01-02-2024
31,Davangere,Potato,1200,1800,1500,03-04-2024
32,Davangere,Potato,1200,1800,1500,12-03-2024
33,Davangere,Potato,1200,1800,1500,15-03-2024
34,Davangere,Potato,1200,1800,1500,22-03-2024
35,Davangere,Potato,1200,2000,1600,02-04-2024
36,Davangere,Potato,1200,2000,1600,02-02-2024
37,Davangere,Potato,1200,2000,1600,03-05-2024
38,Davangere,Potato,1200,2000,1600,13-03-2024
39,Davangere,Potato,1200,2000,1600,28-03-2024
40,Davangere,Potato,1200,2000,1600,30-03-2024
41,Davangere,Potato,1300,1600,1500,16-01-2024
42,Davangere,Potato,1400,2000,1600,26-03-2024
43,Davangere,Potato,1400,2000,1600,27-03-2024
44,Davangere,Potato,1500,2000,1800,02-01-2024
45,Davangere,Potato,1500,2000,1800,04-12-2024
46,Davangere,Potato,1500,2000,1800,04-05-2024
47,Davangere,Potato,1500,2000,1800,06-04-2024
48,Davangere,Potato,1500,2000,1800,09-01-2024
49,Davangere,Potato,1500,2000,1800,16-04-2024
50,Davangere,Potato,1500,2000,1800,17-04-2024
51,Davangere,Potato,1500,2000,1800,19-04-2024
52,Davangere,Potato,1500,2000,1800,20-04-2024
53,Davangere,Potato,1500,2000,1800,24-04-2024
54,Davangere,Potato,1500,2000,1800,26-04-2024
55,Davangere,Potato,1500,2000,1800,28-11-2024
56,Davangere,Potato,1500,2000,1800,29-05-2024
57,Davangere,Potato,1500,2000,1800,30-04-2024
58,Davangere,Potato,1500,2000,1800,30-05-2024
