Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharwad,Potato,1600,2600,2000,15-04-2024
2,Dharwad,Potato,2350,2750,2500,25-05-2024
3,Dharwad,Potato,2500,3000,2750,27-08-2024
4,Dharwad,Potato,300,2100,1400,21-12-2024
5,Dharwad,Potato,500,2800,2000,05-10-2024
6,Dharwad,Potato,700,2000,1300,20-12-2024
7,Dharwad,Potato,1000,1800,1400,01-01-2024
8,Dharwad,Potato,1100,2800,2000,19-09-2024
9,Dharwad,Potato,1300,1650,1450,18-01-2024
10,Dharwad,Potato,1500,1700,1600,20-01-2024
11,Dharwad,Potato,1600,2500,2000,23-09-2024
12,Dharwad,Potato,1700,1700,1700,18-03-2024
13,Dharwad,Potato,1700,1700,1700,22-01-2024
14,Dharwad,Potato,1800,1800,1800,11-01-2024
15,Dharwad,Potato,1800,1800,1800,12-01-2024
16,Dharwad,Potato,1800,1800,1800,21-09-2024
17,Dharwad,Potato,1800,1950,1850,03-02-2024
18,Dharwad,Potato,1800,2100,1900,08-01-2024
19,Dharwad,Potato,1900,1900,1900,14-02-2024
20,Dharwad,Potato,1900,2000,1950,05-02-2024
21,Dharwad,Potato,1900,2000,1950,12-02-2024
22,Dharwad,Potato,1900,2100,2000,13-02-2024
23,Dharwad,Potato,2000,2200,2100,28-10-2024
24,Dharwad,Potato,2000,2900,2500,24-08-2024
25,Dharwad,Potato,2000,3000,2500,22-08-2024
26,Dharwad,Potato,2100,2100,2100,09-02-2024
27,Dharwad,Potato,2100,2200,2150,04-01-2024
28,Dharwad,Potato,2200,2200,2200,20-05-2024
29,Dharwad,Potato,2500,2500,2500,04-06-2024
30,Dharwad,Potato,2500,2500,2500,25-06-2024
31,Dharwad,Potato,2600,2600,2600,03-07-2024
32,Dharwad,Potato,2600,2600,2600,28-03-2024
33,Dharwad,Potato,2600,2800,2700,31-08-2024
34,Dharwad,Potato,2600,2850,2700,19-08-2024
35,Dharwad,Potato,2750,2900,2850,27-04-2024
36,Dharwad,Potato,2800,2800,2800,07-08-2024
37,Dharwad,Potato,2800,3000,2900,12-06-2024
38,Dharwad,Potato,2800,3000,2900,13-07-2024
39,Dharwad,Potato,2900,2900,2900,06-08-2024
40,Dharwad,Potato,2900,3000,2950,25-04-2024
41,Dharwad,Potato,3100,3100,3100,19-07-2024
42,Dharwad,Potato,3200,3200,3200,04-07-2024
43,Dharwad,Potato,3300,3300,3300,08-07-2024
44,Dharwad,Potato,500,2000,1750,18-01-2024
45,Dharwad,Potato,500,2100,1600,09-01-2024
46,Dharwad,Potato,700,1500,1000,23-01-2024
47,Dharwad,Potato,700,2150,1600,18-03-2024
48,Dharwad,Potato,800,1700,1300,22-01-2024
49,Dharwad,Potato,800,1800,1500,17-01-2024
50,Dharwad,Potato,800,2000,1500,10-01-2024
51,Dharwad,Potato,800,2000,1500,12-01-2024
52,Dharwad,Potato,800,2100,1500,16-01-2024
53,Dharwad,Potato,800,2200,1800,08-01-2024
54,Dharwad,Potato,800,3100,2000,14-09-2024
55,Dharwad,Potato,900,1500,1200,14-02-2024
56,Dharwad,Potato,900,1600,1250,25-01-2024
57,Dharwad,Potato,900,2100,1400,11-01-2024
58,Dharwad,Potato,900,2300,1600,05-01-2024
59,Dharwad,Potato,1000,1800,1650,07-03-2024
60,Dharwad,Potato,1000,2000,1500,19-01-2024
61,Dharwad,Potato,1000,2050,1500,03-02-2024
62,Dharwad,Potato,1000,2100,1500,02-01-2024
63,Dharwad,Potato,1000,2300,1500,06-01-2024
