Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Faridabad,Potato,300,600,500,21-03-2024
2,Faridabad,Potato,300,700,700,30-01-2024
3,Faridabad,Potato,300,800,700,02-02-2024
4,Faridabad,Potato,300,800,700,07-02-2024
5,Faridabad,Potato,300,1000,500,04-03-2024
6,Faridabad,Potato,400,700,500,13-01-2024
7,Faridabad,Potato,400,700,700,16-02-2024
8,Faridabad,Potato,400,700,700,18-02-2024
9,Faridabad,Potato,400,700,700,26-02-2024
10,Faridabad,Potato,400,800,600,18-03-2024
11,Faridabad,Potato,400,800,700,03-02-2024
12,Faridabad,Potato,400,800,700,08-02-2024
13,Faridabad,Potato,400,800,700,09-01-2024
14,Faridabad,Potato,400,800,700,29-02-2024
15,Faridabad,Potato,400,800,800,06-02-2024
16,Faridabad,Potato,400,800,800,27-02-2024
17,Faridabad,Potato,400,1400,1000,19-03-2024
18,Faridabad,Potato,500,700,600,05-02-2024
19,Faridabad,Potato,500,800,600,16-05-2024
20,Faridabad,Potato,500,800,600,22-03-2024
21,Faridabad,Potato,500,800,700,10-04-2024
22,Faridabad,Potato,600,700,650,09-02-2024
23,Faridabad,Potato,600,700,700,13-02-2024
24,Faridabad,Potato,600,700,700,17-02-2024
25,Faridabad,Potato,600,700,700,19-02-2024
26,Faridabad,Potato,600,700,700,20-02-2024
27,Faridabad,Potato,600,700,700,22-02-2024
28,Faridabad,Potato,600,700,700,28-01-2024
29,Faridabad,Potato,600,800,700,05-01-2024
30,Faridabad,Potato,600,800,700,06-04-2024
31,Faridabad,Potato,600,800,700,06-01-2024
32,Faridabad,Potato,600,800,700,08-01-2024
33,Faridabad,Potato,600,800,700,08-05-2024
34,Faridabad,Potato,600,800,700,10-01-2024
35,Faridabad,Potato,600,800,700,11-01-2024
36,Faridabad,Potato,600,800,700,12-02-2024
37,Faridabad,Potato,600,800,700,14-01-2024
38,Faridabad,Potato,600,800,700,15-01-2024
39,Faridabad,Potato,600,800,700,16-01-2024
40,Faridabad,Potato,600,800,700,17-01-2024
41,Faridabad,Potato,600,800,700,18-01-2024
42,Faridabad,Potato,600,800,700,19-01-2024
43,Faridabad,Potato,600,800,700,20-01-2024
44,Faridabad,Potato,600,800,700,21-01-2024
45,Faridabad,Potato,600,800,700,22-01-2024
46,Faridabad,Potato,600,800,700,24-01-2024
47,Faridabad,Potato,600,800,700,25-02-2024
48,Faridabad,Potato,600,800,700,26-01-2024
49,Faridabad,Potato,600,800,700,27-01-2024
50,Faridabad,Potato,600,800,700,29-01-2024
51,Faridabad,Potato,600,800,800,02-03-2024
52,Faridabad,Potato,600,1000,800,04-04-2024
53,Faridabad,Potato,600,1000,800,07-05-2024
54,Faridabad,Potato,600,1100,1000,26-03-2024
55,Faridabad,Potato,600,1100,1000,30-03-2024
56,Faridabad,Potato,600,1200,1000,05-05-2024
57,Faridabad,Potato,600,1200,1000,27-03-2024
58,Faridabad,Potato,600,1300,900,16-03-2024
59,Faridabad,Potato,600,1300,1200,13-03-2024
60,Faridabad,Potato,600,1500,1000,25-04-2024
61,Faridabad,Potato,600,1600,1000,20-04-2024
62,Faridabad,Potato,600,1700,1000,23-05-2024
63,Faridabad,Potato,650,1800,1200,18-05-2024
64,Faridabad,Potato,700,700,700,23-01-2024
65,Faridabad,Potato,700,750,700,11-02-2024
66,Faridabad,Potato,700,750,700,24-02-2024
67,Faridabad,Potato,700,800,700,15-02-2024
68,Faridabad,Potato,700,800,800,21-02-2024
69,Faridabad,Potato,700,800,800,28-02-2024
70,Faridabad,Potato,700,900,800,02-01-2024
71,Faridabad,Potato,700,900,800,04-02-2024
72,Faridabad,Potato,700,900,800,04-01-2024
73,Faridabad,Potato,700,900,800,07-01-2024
74,Faridabad,Potato,700,1000,800,10-05-2024
75,Faridabad,Potato,700,1200,800,15-03-2024
76,Faridabad,Potato,700,1200,1000,07-03-2024
77,Faridabad,Potato,700,1200,1000,12-03-2024
78,Faridabad,Potato,700,1200,1000,17-04-2024
79,Faridabad,Potato,700,1500,1200,07-04-2024
80,Faridabad,Potato,700,1550,1200,03-04-2024
81,Faridabad,Potato,700,1800,1100,03-12-2024
82,Faridabad,Potato,800,1000,900,09-04-2024
83,Faridabad,Potato,800,1000,900,18-04-2024
84,Faridabad,Potato,800,1100,900,20-03-2024
85,Faridabad,Potato,800,1100,1000,17-03-2024
86,Faridabad,Potato,800,1200,900,08-06-2024
87,Faridabad,Potato,800,1200,1000,06-03-2024
88,Faridabad,Potato,800,1200,1000,15-05-2024
89,Faridabad,Potato,800,1200,1000,29-03-2024
90,Faridabad,Potato,800,1300,1000,28-03-2024
91,Faridabad,Potato,800,1400,1200,02-04-2024
92,Faridabad,Potato,800,1500,1300,08-04-2024
93,Faridabad,Potato,900,1600,1400,17-05-2024
94,Faridabad,Potato,1000,1300,1200,11-03-2024
95,Faridabad,Potato,1000,1400,1200,10-03-2024
96,Faridabad,Potato,1000,1400,1200,13-04-2024
97,Faridabad,Potato,1000,1400,1200,13-05-2024
98,Faridabad,Potato,1000,1400,1200,15-12-2024
99,Faridabad,Potato,1000,1400,1200,21-04-2024
100,Faridabad,Potato,1000,1400,1200,21-05-2024
101,Faridabad,Potato,1000,1400,1200,23-04-2024
102,Faridabad,Potato,1000,1400,1200,24-04-2024
103,Faridabad,Potato,1000,1400,1200,27-04-2024
104,Faridabad,Potato,1000,1500,1200,04-05-2024
105,Faridabad,Potato,1000,1500,1200,06-06-2024
106,Faridabad,Potato,1000,1500,1200,08-11-2024
107,Faridabad,Potato,1000,1500,1200,12-05-2024
108,Faridabad,Potato,1000,1500,1200,13-09-2024
109,Faridabad,Potato,1000,1500,1200,15-06-2024
110,Faridabad,Potato,1000,1500,1200,30-12-2024
111,Faridabad,Potato,1000,1600,1200,15-04-2024
112,Faridabad,Potato,1000,1600,1200,19-06-2024
113,Faridabad,Potato,1000,1700,1500,05-12-2024
114,Faridabad,Potato,1000,1700,1500,14-06-2024
115,Faridabad,Potato,1000,1700,1500,26-04-2024
116,Faridabad,Potato,1000,1800,1200,12-06-2024
117,Faridabad,Potato,1000,1800,1400,17-11-2024
118,Faridabad,Potato,1000,1800,1400,27-11-2024
119,Faridabad,Potato,1000,1800,1500,24-11-2024
120,Faridabad,Potato,1000,1800,1600,13-12-2024
121,Faridabad,Potato,1000,1800,1600,24-09-2024
122,Faridabad,Potato,1000,1800,1600,28-10-2024
123,Faridabad,Potato,1000,2000,1500,07-10-2024
124,Faridabad,Potato,1000,2000,1800,11-11-2024
125,Faridabad,Potato,1000,2000,1800,17-08-2024
126,Faridabad,Potato,1000,2000,1800,27-08-2024
127,Faridabad,Potato,1000,2200,1800,20-08-2024
128,Faridabad,Potato,1200,1200,1200,19-05-2024
129,Faridabad,Potato,1200,1400,1300,22-05-2024
130,Faridabad,Potato,1200,1500,1400,24-05-2024
131,Faridabad,Potato,1200,1500,1400,26-05-2024
132,Faridabad,Potato,1200,1500,1400,28-12-2024
133,Faridabad,Potato,1200,1600,1300,29-05-2024
134,Faridabad,Potato,1200,1600,1400,02-05-2024
135,Faridabad,Potato,1200,1600,1400,06-09-2024
136,Faridabad,Potato,1200,1600,1400,09-05-2024
137,Faridabad,Potato,1200,1600,1400,12-09-2024
138,Faridabad,Potato,1200,1600,1400,22-04-2024
139,Faridabad,Potato,1200,1600,1400,28-05-2024
140,Faridabad,Potato,1200,1600,1400,29-12-2024
141,Faridabad,Potato,1200,1600,1600,11-12-2024
142,Faridabad,Potato,1200,1700,1400,02-06-2024
143,Faridabad,Potato,1200,1700,1400,27-05-2024
144,Faridabad,Potato,1200,1700,1500,11-05-2024
145,Faridabad,Potato,1200,1700,1500,30-04-2024
146,Faridabad,Potato,1200,1700,1500,31-05-2024
147,Faridabad,Potato,1200,1800,1400,16-10-2024
148,Faridabad,Potato,1200,1800,1400,30-05-2024
149,Faridabad,Potato,1200,1800,1500,02-11-2024
150,Faridabad,Potato,1200,1800,1500,26-12-2024
151,Faridabad,Potato,1200,1800,1600,15-09-2024
152,Faridabad,Potato,1200,1800,1600,17-06-2024
153,Faridabad,Potato,1200,2000,1500,31-10-2024
154,Faridabad,Potato,1200,2000,1700,07-06-2024
155,Faridabad,Potato,1200,2000,1800,03-09-2024
156,Faridabad,Potato,1200,2200,1800,10-11-2024
157,Faridabad,Potato,1200,2200,1800,25-06-2024
158,Faridabad,Potato,1200,2400,2000,23-09-2024
159,Faridabad,Potato,1200,2400,2000,28-07-2024
160,Faridabad,Potato,1200,2600,2000,19-07-2024
161,Faridabad,Potato,1300,1700,1500,20-10-2024
162,Faridabad,Potato,1300,1800,1500,10-10-2024
163,Faridabad,Potato,1300,2000,1600,03-06-2024
164,Faridabad,Potato,1300,2000,1800,17-10-2024
165,Faridabad,Potato,1300,2600,2000,20-11-2024
166,Faridabad,Potato,1400,1800,1500,30-06-2024
167,Faridabad,Potato,1400,1800,1600,27-12-2024
168,Faridabad,Potato,1400,2000,1600,12-10-2024
169,Faridabad,Potato,1400,2000,1600,18-06-2024
170,Faridabad,Potato,1400,2000,1700,25-10-2024
171,Faridabad,Potato,1400,2000,1800,03-11-2024
172,Faridabad,Potato,1400,2000,1800,06-08-2024
173,Faridabad,Potato,1400,2000,1800,07-07-2024
174,Faridabad,Potato,1400,2000,1800,09-10-2024
175,Faridabad,Potato,1400,2000,1800,10-08-2024
176,Faridabad,Potato,1400,2000,1800,13-11-2024
177,Faridabad,Potato,1400,2000,1800,21-11-2024
178,Faridabad,Potato,1400,2000,1800,26-11-2024
179,Faridabad,Potato,1400,2200,1800,11-10-2024
180,Faridabad,Potato,1400,2200,2000,07-09-2024
181,Faridabad,Potato,1400,2500,1500,11-07-2024
182,Faridabad,Potato,1400,2600,2000,24-06-2024
183,Faridabad,Potato,1500,1700,1600,10-09-2024
184,Faridabad,Potato,1500,1700,1600,14-05-2024
185,Faridabad,Potato,1500,1800,1600,01-10-2024
186,Faridabad,Potato,1500,1800,1600,03-05-2024
187,Faridabad,Potato,1500,1800,1600,05-09-2024
188,Faridabad,Potato,1500,1800,1600,06-05-2024
189,Faridabad,Potato,1500,1800,1600,07-12-2024
190,Faridabad,Potato,1500,1800,1600,08-10-2024
191,Faridabad,Potato,1500,1800,1600,14-12-2024
192,Faridabad,Potato,1500,1800,1600,20-06-2024
193,Faridabad,Potato,1500,1800,1600,25-12-2024
194,Faridabad,Potato,1500,1800,1600,30-09-2024
195,Faridabad,Potato,1500,1800,1700,09-12-2024
196,Faridabad,Potato,1500,1800,1700,11-09-2024
197,Faridabad,Potato,1500,1800,1700,31-12-2024
198,Faridabad,Potato,1500,2000,1600,03-10-2024
199,Faridabad,Potato,1500,2000,1600,23-11-2024
200,Faridabad,Potato,1500,2000,1700,21-06-2024
201,Faridabad,Potato,1500,2000,1700,30-08-2024
202,Faridabad,Potato,1500,2000,1700,31-08-2024
203,Faridabad,Potato,1500,2000,1800,02-08-2024
