Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hissar,Potato,400,400,400,20-02-2024
2,Hissar,Potato,400,600,500,22-02-2024
3,Hissar,Potato,500,500,500,21-02-2024
4,Hissar,Potato,500,600,550,11-02-2024
5,Hissar,Potato,500,600,600,27-01-2024
6,Hissar,Potato,600,600,600,01-01-2024
7,Hissar,Potato,600,600,600,02-01-2024
8,Hissar,Potato,600,600,600,02-03-2024
9,Hissar,Potato,600,600,600,09-02-2024
10,Hissar,Potato,600,600,600,19-02-2024
11,Hissar,Potato,600,600,600,22-01-2024
12,Hissar,Potato,600,600,600,24-02-2024
13,Hissar,Potato,600,600,600,25-02-2024
14,Hissar,Potato,600,700,700,01-03-2024
15,Hissar,Potato,600,700,700,02-02-2024
16,Hissar,Potato,600,700,700,03-02-2024
17,Hissar,Potato,600,700,700,04-01-2024
18,Hissar,Potato,600,700,700,05-02-2024
19,Hissar,Potato,600,700,700,05-01-2024
20,Hissar,Potato,600,700,700,06-02-2024
21,Hissar,Potato,600,700,700,06-01-2024
22,Hissar,Potato,600,700,700,07-02-2024
23,Hissar,Potato,600,700,700,07-01-2024
24,Hissar,Potato,600,700,700,08-01-2024
25,Hissar,Potato,600,700,700,09-01-2024
26,Hissar,Potato,600,700,700,10-01-2024
27,Hissar,Potato,600,700,700,11-01-2024
28,Hissar,Potato,600,700,700,12-02-2024
29,Hissar,Potato,600,700,700,13-02-2024
30,Hissar,Potato,600,700,700,13-01-2024
31,Hissar,Potato,600,700,700,14-02-2024
32,Hissar,Potato,600,700,700,14-01-2024
33,Hissar,Potato,600,700,700,15-01-2024
34,Hissar,Potato,600,700,700,16-02-2024
35,Hissar,Potato,600,700,700,17-02-2024
36,Hissar,Potato,600,700,700,17-01-2024
37,Hissar,Potato,600,700,700,18-02-2024
38,Hissar,Potato,600,700,700,18-01-2024
39,Hissar,Potato,600,700,700,19-01-2024
40,Hissar,Potato,600,700,700,21-01-2024
41,Hissar,Potato,600,700,700,23-01-2024
42,Hissar,Potato,600,700,700,24-01-2024
43,Hissar,Potato,600,700,700,26-02-2024
44,Hissar,Potato,600,700,700,26-01-2024
45,Hissar,Potato,600,700,700,28-02-2024
46,Hissar,Potato,600,700,700,28-01-2024
47,Hissar,Potato,600,700,700,30-01-2024
48,Hissar,Potato,600,800,700,08-02-2024
49,Hissar,Potato,600,800,700,12-01-2024
50,Hissar,Potato,600,800,700,15-02-2024
51,Hissar,Potato,700,700,700,01-02-2024
52,Hissar,Potato,700,700,700,04-02-2024
53,Hissar,Potato,700,700,700,25-01-2024
54,Hissar,Potato,700,700,700,27-02-2024
55,Hissar,Potato,700,700,700,29-01-2024
56,Hissar,Potato,700,800,800,16-01-2024
57,Hissar,Potato,800,800,800,03-01-2024
58,Hissar,Potato,800,900,850,14-03-2024
59,Hissar,Potato,800,1000,900,01-04-2024
60,Hissar,Potato,800,1000,900,07-03-2024
61,Hissar,Potato,800,1000,900,12-03-2024
62,Hissar,Potato,800,1000,900,13-03-2024
63,Hissar,Potato,800,1000,900,15-03-2024
64,Hissar,Potato,800,1000,900,17-03-2024
65,Hissar,Potato,800,1000,900,19-03-2024
66,Hissar,Potato,800,1000,900,23-03-2024
67,Hissar,Potato,800,1000,900,26-03-2024
68,Hissar,Potato,800,1000,900,27-03-2024
69,Hissar,Potato,800,1000,900,29-03-2024
70,Hissar,Potato,900,1000,950,21-03-2024
71,Hissar,Potato,900,1000,950,22-03-2024
72,Hissar,Potato,900,1000,1000,04-03-2024
73,Hissar,Potato,900,1000,1000,05-03-2024
74,Hissar,Potato,900,1000,1000,06-03-2024
75,Hissar,Potato,900,1000,1000,11-12-2024
76,Hissar,Potato,900,1000,1000,20-03-2024
77,Hissar,Potato,900,1000,1000,28-03-2024
78,Hissar,Potato,900,1000,1000,30-03-2024
79,Hissar,Potato,1000,1000,1000,03-03-2024
80,Hissar,Potato,1000,1000,1000,16-03-2024
81,Hissar,Potato,1000,1000,1000,18-03-2024
82,Hissar,Potato,1000,1100,1050,11-03-2024
83,Hissar,Potato,1000,1100,1100,05-04-2024
84,Hissar,Potato,1000,1200,1100,02-04-2024
85,Hissar,Potato,1000,1200,1100,03-04-2024
86,Hissar,Potato,1000,1200,1100,04-04-2024
87,Hissar,Potato,1000,1200,1100,06-04-2024
88,Hissar,Potato,1000,1200,1100,07-04-2024
89,Hissar,Potato,1000,1200,1100,08-04-2024
90,Hissar,Potato,1000,1200,1100,09-04-2024
91,Hissar,Potato,1000,1200,1100,10-04-2024
92,Hissar,Potato,1000,1200,1100,11-04-2024
93,Hissar,Potato,1000,1200,1100,13-04-2024
94,Hissar,Potato,1000,1200,1100,14-04-2024
95,Hissar,Potato,1000,1200,1100,16-04-2024
96,Hissar,Potato,1000,1200,1100,17-04-2024
97,Hissar,Potato,1000,1200,1100,20-04-2024
98,Hissar,Potato,1000,1200,1200,08-03-2024
99,Hissar,Potato,1000,1200,1200,09-03-2024
100,Hissar,Potato,1000,2000,1500,05-08-2024
101,Hissar,Potato,1100,1200,1200,29-12-2024
102,Hissar,Potato,1200,1400,1300,27-12-2024
103,Hissar,Potato,1200,1400,1300,28-12-2024
104,Hissar,Potato,1200,1400,1300,30-12-2024
105,Hissar,Potato,1200,1500,1400,25-12-2024
106,Hissar,Potato,1200,1500,1400,26-04-2024
107,Hissar,Potato,1200,1500,1400,26-12-2024
108,Hissar,Potato,1200,1500,1400,27-04-2024
109,Hissar,Potato,1200,1600,1400,12-12-2024
110,Hissar,Potato,1200,1600,1400,16-12-2024
111,Hissar,Potato,1200,1800,1700,24-07-2024
112,Hissar,Potato,1300,1500,1400,02-05-2024
113,Hissar,Potato,1400,1500,1500,01-05-2024
114,Hissar,Potato,1400,1500,1500,03-05-2024
115,Hissar,Potato,1400,1500,1500,04-05-2024
116,Hissar,Potato,1400,1500,1500,06-05-2024
117,Hissar,Potato,1400,1500,1500,07-05-2024
118,Hissar,Potato,1400,1500,1500,12-05-2024
119,Hissar,Potato,1400,1500,1500,13-05-2024
120,Hissar,Potato,1400,1500,1500,24-04-2024
121,Hissar,Potato,1400,1500,1500,24-12-2024
122,Hissar,Potato,1400,1500,1500,28-04-2024
123,Hissar,Potato,1400,1600,1500,08-05-2024
124,Hissar,Potato,1400,1600,1500,14-05-2024
125,Hissar,Potato,1400,1600,1500,19-04-2024
126,Hissar,Potato,1400,1600,1500,29-04-2024
127,Hissar,Potato,1400,1600,1600,01-06-2024
128,Hissar,Potato,1400,2000,1800,11-06-2024
