Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hyderabad,Potato,1500,3300,2200,02-07-2024
2,Hyderabad,Potato,1000,3500,3000,18-09-2024
3,Hyderabad,Potato,1500,3200,2800,08-10-2024
4,Hyderabad,Potato,800,2200,1800,30-12-2024
5,Hyderabad,Potato,1000,2000,1600,07-02-2024
6,Hyderabad,Potato,1500,2700,2300,16-05-2024
7,Hyderabad,Potato,800,1500,1300,27-02-2024
8,Hyderabad,Potato,1500,3000,2500,18-06-2024
9,Hyderabad,Potato,800,2400,2000,20-12-2024
10,Hyderabad,Potato,1000,2600,2200,25-05-2024
11,Hyderabad,Potato,1500,3200,2800,10-07-2024
12,Hyderabad,Potato,800,2400,2000,13-03-2024
13,Hyderabad,Potato,1500,3200,2200,20-08-2024
14,Hyderabad,Potato,1500,2900,2600,09-06-2024
15,Hyderabad,Potato,1000,2800,2400,04-06-2024
16,Hyderabad,Potato,1500,3400,3000,12-09-2024
17,Hyderabad,Potato,1200,3300,2800,27-08-2024
18,Hyderabad,Potato,1000,3400,2800,12-10-2024
19,Hyderabad,Potato,800,2500,2000,18-05-2024
20,Hyderabad,Potato,1200,3200,2800,28-06-2024
21,Hyderabad,Potato,1000,3200,2800,13-07-2024
22,Hyderabad,Potato,1000,3400,3000,03-07-2024
23,Hyderabad,Potato,1000,3000,2500,08-12-2024
24,Hyderabad,Potato,800,1800,1400,06-03-2024
25,Hyderabad,Potato,1000,2200,1800,27-03-2024
26,Hyderabad,Potato,600,1600,1400,09-01-2024
27,Hyderabad,Potato,800,1900,1500,06-02-2024
28,Hyderabad,Potato,800,2200,1800,25-12-2024
29,Hyderabad,Potato,1500,3100,2800,14-08-2024
30,Hyderabad,Potato,800,1800,1500,05-03-2024
31,Hyderabad,Potato,1500,3300,2800,02-09-2024
32,Hyderabad,Potato,1500,3200,2800,24-11-2024
33,Hyderabad,Potato,1000,2800,2400,04-05-2024
34,Hyderabad,Potato,1000,3200,2600,17-10-2024
35,Hyderabad,Potato,1000,3500,3000,23-09-2024
36,Hyderabad,Potato,1000,2700,2200,13-04-2024
37,Hyderabad,Potato,1000,2500,2000,06-05-2024
38,Hyderabad,Potato,1000,2200,1800,03-02-2024
39,Hyderabad,Potato,1500,3300,2800,26-09-2024
40,Hyderabad,Potato,1000,2800,2200,07-05-2024
41,Hyderabad,Potato,1000,2600,2300,06-04-2024
42,Hyderabad,Potato,800,2000,1800,04-03-2024
43,Hyderabad,Potato,1000,2000,1600,15-02-2024
44,Hyderabad,Potato,1200,2400,2000,12-03-2024
45,Hyderabad,Potato,1500,3200,2800,09-08-2024
46,Hyderabad,Potato,1000,2000,1800,10-02-2024
47,Hyderabad,Potato,1000,2000,1800,20-03-2024
48,Hyderabad,Potato,1000,3300,2600,02-12-2024
49,Hyderabad,Potato,1000,3000,2500,19-06-2024
50,Hyderabad,Potato,1000,2800,2300,25-04-2024
51,Hyderabad,Potato,800,3000,2400,10-12-2024
52,Hyderabad,Potato,1000,1600,1400,02-02-2024
53,Hyderabad,Potato,1000,3200,2600,13-09-2024
54,Hyderabad,Potato,800,2400,2000,16-03-2024
55,Hyderabad,Potato,1000,2700,2000,15-04-2024
56,Hyderabad,Potato,800,2500,2000,17-12-2024
57,Hyderabad,Potato,600,2200,1800,23-12-2024
58,Hyderabad,Potato,1000,3200,2800,25-10-2024
59,Hyderabad,Potato,1500,3200,2800,11-11-2024
60,Hyderabad,Potato,1000,3300,2600,10-09-2024
61,Hyderabad,Potato,1200,3200,2600,27-11-2024
62,Hyderabad,Potato,1500,3300,2800,19-08-2024
63,Hyderabad,Potato,1000,3300,2600,22-07-2024
64,Hyderabad,Potato,1200,3400,3000,04-07-2024
65,Hyderabad,Potato,1000,3300,2800,10-11-2024
66,Hyderabad,Potato,1500,3200,2800,11-07-2024
67,Hyderabad,Potato,1500,3000,2500,12-06-2024
68,Hyderabad,Potato,800,2000,1600,16-01-2024
69,Hyderabad,Potato,1000,2500,2000,19-05-2024
70,Hyderabad,Potato,1000,3300,2600,17-07-2024
71,Hyderabad,Potato,800,1800,1600,31-01-2024
72,Hyderabad,Potato,600,1500,1400,14-02-2024
73,Hyderabad,Potato,1500,3100,2800,28-10-2024
74,Hyderabad,Potato,500,2000,1800,01-01-2024
75,Hyderabad,Potato,1000,2800,2200,24-04-2024
76,Hyderabad,Potato,1000,3000,2500,17-06-2024
