Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Potato,1300,1800,1500,12-03-2024
2,Jalgaon,Potato,1500,1800,1800,03-04-2024
3,Jalgaon,Potato,1000,1500,1200,17-01-2024
4,Jalgaon,Potato,2000,2500,2200,21-08-2024
5,Jalgaon,Potato,1400,1600,1600,04-01-2024
6,Jalgaon,Potato,2200,3000,2700,06-07-2024
7,Jalgaon,Potato,2500,2500,2500,09-08-2024
8,Jalgaon,Potato,2500,3000,2600,07-12-2024
9,Jalgaon,Potato,2500,3000,3000,02-07-2024
10,Jalgaon,Potato,2200,3000,2500,29-10-2024
11,Jalgaon,Potato,2200,3000,2500,30-07-2024
12,Jalgaon,Potato,2500,3000,2700,26-12-2024
13,Jalgaon,Potato,2000,2500,2200,30-08-2024
14,Jalgaon,Potato,2200,2600,2400,12-10-2024
15,Jalgaon,Potato,1500,2000,1800,06-01-2024
16,Jalgaon,Potato,2200,2800,2500,22-10-2024
17,Jalgaon,Potato,2000,2700,2200,07-09-2024
18,Jalgaon,Potato,1500,1600,1600,02-01-2024
19,Jalgaon,Potato,2000,2700,2200,13-07-2024
20,Jalgaon,Potato,2000,2500,2200,21-11-2024
21,Jalgaon,Potato,1200,1500,1400,26-01-2024
22,Jalgaon,Potato,2000,2500,2200,26-07-2024
23,Jalgaon,Potato,1400,1800,1600,27-03-2024
24,Jalgaon,Potato,2000,2500,2200,17-10-2024
25,Jalgaon,Potato,2200,3000,2500,28-11-2024
26,Jalgaon,Potato,2200,3000,2700,01-01-2025
27,Jalgaon,Potato,2300,2600,2400,18-08-2024
28,Jalgaon,Potato,2200,3000,2500,24-10-2024
29,Jalgaon,Potato,1300,1800,1500,20-03-2024
30,Jalgaon,Potato,2200,3000,2500,27-06-2024
31,Jalgaon,Potato,2200,3000,2500,21-09-2024
32,Jalgaon,Potato,2000,2500,2200,07-11-2024
33,Jalgaon,Potato,1200,1600,1400,23-02-2024
34,Jalgaon,Potato,2000,2500,2200,20-08-2024
35,Jalgaon,Potato,2200,2800,2500,01-10-2024
36,Jalgaon,Potato,2200,2500,2300,21-07-2024
37,Jalgaon,Potato,1400,2000,1600,10-01-2024
38,Jalgaon,Potato,2000,2500,2200,29-08-2024
39,Jalgaon,Potato,2000,2700,2200,19-09-2024
40,Jalgaon,Potato,1100,1500,1300,24-01-2024
41,Jalgaon,Potato,2000,3000,2500,20-09-2024
42,Jalgaon,Potato,1400,1600,1600,03-01-2024
43,Jalgaon,Potato,2400,2800,2600,02-11-2024
44,Jalgaon,Potato,1400,1800,1600,15-03-2024
45,Jalgaon,Potato,2000,2500,2200,31-08-2024
46,Jalgaon,Potato,2200,2500,2500,01-11-2024
47,Jalgaon,Potato,2200,3000,2500,23-10-2024
48,Jalgaon,Potato,1400,2000,1600,09-01-2024
49,Jalgaon,Potato,1500,2200,2000,21-05-2024
50,Jalgaon,Potato,1500,2000,1800,07-01-2024
51,Jalgaon,Potato,1000,1500,1300,30-01-2024
