Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jhajar,Potato,2200,2500,2400,06-07-2024
2,Jhajar,Potato,2200,2500,2400,16-07-2024
3,Jhajar,Potato,1800,2500,2000,04-10-2024
4,Jhajar,Potato,2200,2500,2400,14-07-2024
5,Jhajar,Potato,800,900,850,20-02-2024
6,Jhajar,Potato,2200,2700,2500,11-07-2024
7,Jhajar,Potato,2400,2600,2500,29-08-2024
8,Jhajar,Potato,1200,1500,1400,01-04-2024
9,Jhajar,Potato,2200,2800,2500,30-08-2024
10,Jhajar,Potato,2200,2500,2400,26-07-2024
11,Jhajar,Potato,1800,2500,2000,08-10-2024
12,Jhajar,Potato,2000,2500,2200,14-09-2024
13,Jhajar,Potato,2200,2500,2400,01-08-2024
14,Jhajar,Potato,2200,2500,2400,23-08-2024
15,Jhajar,Potato,2000,2500,2200,10-07-2024
16,Jhajar,Potato,2000,2500,2200,13-09-2024
17,Jhajar,Potato,500,600,550,23-01-2024
18,Jhajar,Potato,2000,2500,2200,31-08-2024
19,Jhajar,Potato,2200,2500,2400,17-07-2024
20,Jhajar,Potato,2000,2500,2200,07-09-2024
21,Jhajar,Potato,1800,2500,2000,10-10-2024
22,Jhajar,Potato,2300,2500,2400,10-08-2024
23,Jhajar,Potato,2000,2500,2200,27-09-2024
24,Jhajar,Potato,2000,2400,2200,16-10-2024
25,Jhajar,Potato,700,800,750,02-01-2024
26,Jhajar,Potato,1800,2500,2000,20-09-2024
27,Jhajar,Potato,2000,2400,2200,29-07-2024
28,Jhajar,Potato,600,700,650,05-02-2024
29,Jhajar,Potato,2200,2500,2400,13-07-2024
30,Jhajar,Potato,2200,2500,2400,22-07-2024
31,Jhajar,Potato,2500,3500,3000,24-09-2024
32,Jhajar,Potato,700,800,750,01-01-2024
33,Jhajar,Potato,2000,2500,2200,11-10-2024
34,Jhajar,Potato,2200,2500,2400,14-08-2024
35,Jhajar,Potato,2400,2500,2450,03-08-2024
36,Jhajar,Potato,2200,3500,3000,09-08-2024
37,Jhajar,Potato,2000,2500,2200,05-07-2024
38,Jhajar,Potato,500,600,550,09-01-2024
39,Jhajar,Potato,750,800,780,04-01-2024
40,Jhajar,Potato,1800,2500,2000,17-09-2024
41,Jhajar,Potato,550,600,580,19-01-2024
42,Jhajar,Potato,500,600,550,20-01-2024
43,Jhajar,Potato,2200,2500,2400,02-08-2024
44,Jhajar,Potato,2000,2500,2200,05-10-2024
45,Jhajar,Potato,700,800,750,16-02-2024
46,Jhajar,Potato,700,800,750,03-01-2024
47,Jhajar,Potato,2000,2500,2300,06-09-2024
48,Jhajar,Potato,500,800,600,25-01-2024
49,Jhajar,Potato,2300,2500,2400,11-08-2024
