Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Khurda,Potato,1500,2000,1700,16-05-2024
2,Khurda,Potato,1500,2000,1800,06-05-2024
3,Khurda,Potato,1800,2000,1900,04-05-2024
4,Khurda,Potato,1800,2500,2000,07-06-2024
5,Khurda,Potato,1800,2500,2000,17-05-2024
6,Khurda,Potato,2000,2500,2200,06-06-2024
7,Khurda,Potato,2000,2500,2200,10-05-2024
8,Khurda,Potato,2000,2500,2300,18-05-2024
9,Khurda,Potato,2000,2500,2300,24-05-2024
10,Khurda,Potato,2000,2600,2300,15-05-2024
11,Khurda,Potato,2000,2600,2300,23-05-2024
12,Khurda,Potato,2000,2600,2300,25-05-2024
13,Khurda,Potato,2000,2600,2400,27-05-2024
14,Khurda,Potato,2000,2700,2400,31-05-2024
15,Khurda,Potato,2000,2700,2500,26-05-2024
16,Khurda,Potato,2000,2800,2500,09-05-2024
17,Khurda,Potato,2000,2800,2500,29-05-2024
18,Khurda,Potato,2000,2900,2500,30-05-2024
19,Khurda,Potato,2000,3000,2500,01-06-2024
20,Khurda,Potato,2200,2500,2300,05-05-2024
21,Khurda,Potato,2200,2700,2500,28-05-2024
22,Khurda,Potato,2200,2800,2500,20-06-2024
23,Khurda,Potato,2200,2800,2500,20-05-2024
24,Khurda,Potato,2300,2800,2500,10-06-2024
25,Khurda,Potato,2300,2800,2500,14-05-2024
26,Khurda,Potato,2300,2800,2500,22-05-2024
27,Khurda,Potato,2300,2900,2500,02-06-2024
28,Khurda,Potato,2500,3000,2800,11-06-2024
29,Khurda,Potato,2500,3000,2800,12-06-2024
30,Khurda,Potato,2500,3000,2800,13-06-2024
31,Khurda,Potato,2500,3000,2800,13-05-2024
32,Khurda,Potato,2700,3500,3000,19-06-2024
33,Khurda,Potato,2800,3300,3000,12-07-2024
34,Khurda,Potato,2800,3300,3000,23-06-2024
35,Khurda,Potato,2800,3300,3100,16-07-2024
36,Khurda,Potato,2800,3300,3200,22-07-2024
37,Khurda,Potato,2800,3400,3000,13-07-2024
38,Khurda,Potato,2800,3400,3200,20-07-2024
39,Khurda,Potato,2800,3400,3200,21-06-2024
40,Khurda,Potato,2800,3500,3300,24-06-2024
41,Khurda,Potato,2900,3400,3200,14-07-2024
42,Khurda,Potato,3000,3400,3300,06-07-2024
43,Khurda,Potato,3000,3500,3200,07-05-2024
44,Khurda,Potato,3000,3500,3200,19-07-2024
45,Khurda,Potato,3000,3500,3200,25-07-2024
46,Khurda,Potato,3000,3500,3300,02-07-2024
47,Khurda,Potato,3000,3500,3300,03-07-2024
48,Khurda,Potato,3000,3500,3300,04-07-2024
49,Khurda,Potato,3000,3500,3300,05-07-2024
50,Khurda,Potato,3000,3500,3300,11-07-2024
51,Khurda,Potato,3000,3500,3300,15-07-2024
52,Khurda,Potato,3000,3500,3300,17-07-2024
53,Khurda,Potato,3000,3500,3300,18-07-2024
54,Khurda,Potato,3000,3500,3300,21-07-2024
55,Khurda,Potato,3000,3500,3300,23-07-2024
56,Khurda,Potato,3000,3500,3300,24-07-2024
57,Khurda,Potato,3000,3500,3300,25-06-2024
58,Khurda,Potato,3000,3500,3300,26-07-2024
59,Khurda,Potato,3000,3500,3300,26-06-2024
60,Khurda,Potato,3000,3500,3300,27-06-2024
61,Khurda,Potato,3000,3500,3300,28-06-2024
62,Khurda,Potato,3000,3500,3300,29-06-2024
63,Khurda,Potato,3000,3500,3300,30-06-2024
64,Khurda,Potato,3000,3600,3300,10-07-2024
65,Khurda,Potato,3000,3800,3500,08-05-2024
66,Khurda,Potato,3000,4000,3500,05-08-2024
67,Khurda,Potato,3000,4000,3500,07-07-2024
68,Khurda,Potato,3000,4000,3500,08-07-2024
69,Khurda,Potato,3000,4000,3500,09-07-2024
70,Khurda,Potato,3400,4000,3600,07-08-2024
71,Khurda,Potato,3500,4000,3700,06-08-2024
72,Khurda,Potato,3500,4000,3800,01-08-2024
73,Khurda,Potato,3500,4000,3800,11-08-2024
74,Khurda,Potato,3500,4200,3700,27-07-2024
75,Khurda,Potato,3500,4200,4000,28-07-2024
76,Khurda,Potato,3500,4200,4000,31-07-2024
77,Khurda,Potato,3600,4300,4000,03-08-2024
78,Khurda,Potato,3800,4200,4000,29-07-2024
79,Khurda,Potato,3800,4300,4000,08-08-2024
80,Khurda,Potato,3800,4300,4000,12-08-2024
81,Khurda,Potato,3800,4300,4000,13-08-2024
82,Khurda,Potato,3800,4300,4100,02-08-2024
83,Khurda,Potato,3800,4500,4200,30-07-2024
84,Khurda,Potato,4000,4500,4200,10-08-2024
85,Khurda,Potato,4000,4500,4200,14-08-2024
86,Khurda,Potato,4500,5500,5000,09-08-2024
